time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
29,6893;25,1940;2,0862;22,8300;1,9762;22,6379;22,8300;22,6379
58,2965;48,0920;1,6349;55,4500;1,2685;42,5379;55,4500;42,5379
87,4183;62,1400;1,3673;54,9800;1,3460;43,8517;54,9800;43,8517
117,5134;69,3800;1,2317;60,7800;1,1895;45,7655;60,7800;45,7655
148,3270;73,8280;1,1407;66,7600;0,9809;53,5172;66,7600;53,5172
175,3206;77,1680;1,0730;67,7300;0,9909;51,3724;67,7300;51,3724
206,1518;80,5720;0,9981;71,8000;0,8384;52,2586;71,8000;52,2586
235,3160;82,8900;0,9400;75,4300;0,7741;54,9310;75,4300;54,9310
263,9719;84,4560;0,9028;82,5500;0,5515;60,8138;82,5500;60,8138
293,1692;85,9840;0,8718;80,6700;0,6213;59,0448;80,6700;59,0448
323,2463;86,9280;0,8473;82,9500;0,5373;61,3931;82,9500;61,3931
355,2450;87,9640;0,8256;82,9900;0,5259;62,8207;82,9900;62,8207
385,2370;88,6460;0,8116;82,1900;0,5603;57,9345;82,1900;57,9345
414,6793;89,0760;0,7974;78,7400;0,6598;57,5276;78,7400;57,5276
445,4099;89,7620;0,7864;79,0500;0,6715;54,3897;79,0500;54,3897
475,8877;89,8160;0,7789;86,3700;0,4396;63,9310;86,3700;63,9310
507,1980;90,4880;0,7639;85,7100;0,4692;63,6069;85,7100;63,6069
536,8360;90,8580;0,7579;87,7100;0,4167;63,1310;87,7100;63,1310
567,3344;91,2320;0,7504;87,7500;0,3999;62,0172;87,7500;62,0172
595,9578;91,5100;0,7446;86,3600;0,4395;63,9931;86,3600;63,9931
626,5351;91,7120;0,7391;83,4400;0,5267;63,8897;83,4400;63,8897
655,3732;91,9600;0,7330;86,9700;0,4421;64,5862;86,9700;64,5862
684,5976;92,3760;0,7243;87,6400;0,4161;66,6069;87,6400;66,6069
714,1231;92,3240;0,7241;88,3900;0,3865;66,0345;88,3900;66,0345
744,5763;92,6920;0,7179;87,6000;0,4049;64,8207;87,6000;64,8207
776,7895;92,6240;0,7176;87,5200;0,4031;64,1586;87,5200;64,1586
806,8362;93,0340;0,7095;88,4700;0,3941;67,4138;88,4700;67,4138
834,2690;92,9760;0,7107;88,8000;0,3864;65,2345;88,8000;65,2345
864,3713;93,3080;0,7051;79,9600;0,6566;59,6414;79,9600;59,6414
893,9769;93,4720;0,7005;88,7100;0,3966;64,4448;88,7100;64,4448
924,3211;93,2660;0,7034;89,8300;0,3521;64,3621;89,8300;64,3621
955,4920;93,6140;0,6949;88,1800;0,4049;67,1276;88,1800;67,1276
985,5726;93,6960;0,6952;89,0600;0,3821;66,8000;89,0600;66,8000
1016,5336;93,9860;0,6891;89,9200;0,3502;67,1724;89,9200;67,1724
1045,1014;93,8440;0,6886;86,3900;0,4683;62,4793;86,3900;62,4793
1076,5443;93,9760;0,6867;85,9300;0,4652;62,8379;85,9300;62,8379
1106,8449;93,9720;0,6850;88,1700;0,4027;63,0414;88,1700;63,0414
1135,9427;94,1340;0,6825;88,4300;0,4052;65,5069;88,4300;65,5069
1166,1596;94,3580;0,6787;89,1800;0,3820;64,7448;89,1800;64,7448
1195,7321;94,3800;0,6774;90,0500;0,3658;65,9655;90,0500;65,9655
1225,5908;94,3820;0,6770;87,8400;0,4442;63,1897;87,8400;63,1897
1255,4452;94,5620;0,6754;87,7400;0,4193;62,2621;87,7400;62,2621
1287,4114;94,5080;0,6750;89,1700;0,3774;66,7793;89,1700;66,7793
1318,0556;94,8560;0,6679;89,8200;0,3623;66,6172;89,8200;66,6172
1349,3484;94,6400;0,6708;88,5500;0,4025;65,8241;88,5500;65,8241
1380,5336;94,9620;0,6637;89,5800;0,3701;67,0448;89,5800;67,0448
1411,0916;94,9960;0,6634;85,5100;0,4886;61,3000;85,5100;61,3000
1441,2097;95,0000;0,6631;89,1500;0,3836;63,7448;89,1500;63,7448
1472,1680;94,8860;0,6640;88,8000;0,3849;65,0862;88,8000;65,0862
1499,0992;95,2160;0,6609;89,3500;0,3756;64,8310;89,3500;64,8310
1530,2743;95,1880;0,6579;89,9000;0,3699;64,7931;89,9000;64,7931
1562,4226;95,4280;0,6541;88,5500;0,4047;63,2862;88,5500;63,2862
1594,4544;95,2260;0,6575;90,1700;0,3562;68,5241;90,1700;68,5241
