;config_125_avg
Standard_Acc;80,1500
RMSCE;0,0111
gaussian_noise;45,4760
shot_noise;54,0000
impulse_noise;57,5200
defocus_blur;71,7980
glass_blur;53,2200
motion_blur;65,8060
zoom_blur;69,5600
snow;67,7500
frost;63,7480
fog;70,2360
brightness;77,5500
contrast;70,4960
elastic_transform;69,0360
pixelate;57,9620
jpeg_compression;64,4280
speckle_noise;55,3780
gaussian_blur;67,9740
spatter;71,6480
saturate;71,0320
blue_noise;52,0760
brownish_noise;36,4120
checkerboard_cutout;63,5180
circular_motion_blur;74,4420
inverse_sparkles;38,9220
lines;54,4820
pinch_and_twirl;74,1140
ripple;62,6960
sparkles;64,8680
transverse_chromatic_abberation;37,3320
Acc_C-all-19;64,4536
Acc_C-original-15;63,9057
Acc_C-bar-10;55,8862
Acc_all-ex-pixelwise-noise-24;63,2929
RMSCE_C;0,0644
uniform-l1,15.7,False,max;80,0100
uniform-l2,0.4016,False,max;80,0500
uniform-linf,0.03333,False,max;78,4100
uniform-l0.5,25000.0,True,max;80,0400
uniform-l1,25.0,True,max;79,6400
uniform-l2,0.5,True,max;79,8500
uniform-l10,0.03,True,max;79,8000
uniform-l50,0.02,True,max;79,8700
uniform-linf,0.01,True,max;79,7200
uniform-l0-impulse,0.01,True,max;76,4200
uniform-l0-impulse,0.02,True,max;71,9000
uniform-l0-impulse,0.05,True,max;46,9100
uniform-l0-impulse,0.1,True,max;15,4000
uniform-l0-impulse,0.2,True,max;3,5300
uniform-l0-impulse,0.5,True,max;1,0200
uniform-l0.5,50000.0,False,max;79,4400
uniform-l0.5,100000.0,False,max;75,8700
uniform-l0.5,200000.0,False,max;61,9400
uniform-l0.5,500000.0,False,max;21,8200
uniform-l0.5,1000000.0,False,max;5,1800
uniform-l0.5,2000000.0,False,max;1,7200
uniform-l1,20.0,False,max;79,9600
uniform-l1,50.0,False,max;77,3000
uniform-l1,100.0,False,max;66,0000
uniform-l1,200.0,False,max;35,0100
uniform-l1,500.0,False,max;4,8600
uniform-l1,1000.0,False,max;1,4900
uniform-l2,0.5,False,max;80,0800
uniform-l2,1.0,False,max;78,7100
uniform-l2,2.0,False,max;71,6700
uniform-l2,5.0,False,max;33,4400
uniform-l2,10.0,False,max;7,4600
uniform-l2,20.0,False,max;1,5100
uniform-l10,0.02,False,max;79,9900
uniform-l10,0.05,False,max;79,1500
uniform-l10,0.1,False,max;73,8600
uniform-l10,0.2,False,max;51,8800
uniform-l10,0.5,False,max;9,4200
uniform-l10,1.0,False,max;1,8200
uniform-l50,0.01,False,max;80,0700
uniform-l50,0.02,False,max;79,8200
uniform-l50,0.05,False,max;75,8100
uniform-l50,0.1,False,max;59,8500
uniform-l50,0.2,False,max;24,3900
uniform-l50,0.5,False,max;2,4200
uniform-linf,0.01,False,max;80,1100
uniform-linf,0.02,False,max;79,6800
uniform-linf,0.05,False,max;74,4400
uniform-linf,0.1,False,max;56,6100
uniform-linf,0.2,False,max;20,5500
uniform-linf,0.5,False,max;2,1000
Class Separation Robustness;79,4900
imperceptible Robustness;79,8200
Average p-norm robustness;45,9669
