;config_788_avg;config_788_std;config_788_run_0;config_788_run_1;config_788_run_2
Standard_Acc;81,1133;0,2510;80,7600;81,2600;81,3200
RMSCE;0,0141;0,0029;0,0182;0,0115;0,0128
gaussian_noise;46,3507;1,4767;44,3660;46,7800;47,9060
shot_noise;54,0627;1,4193;52,0880;54,7380;55,3620
impulse_noise;58,9267;1,1720;58,6160;57,6720;60,4920
defocus_blur;75,9613;0,4128;75,4180;76,4180;76,0480
glass_blur;56,7653;1,4435;54,7560;58,0820;57,4580
motion_blur;70,4687;0,6175;69,9620;71,3380;70,1060
zoom_blur;73,2280;0,3303;72,8120;73,6200;73,2520
snow;70,7973;0,4805;70,1180;71,1240;71,1500
frost;66,9013;1,0137;65,5080;67,8900;67,3060
fog;74,7907;0,4229;74,2740;75,3100;74,7880
brightness;79,1487;0,4945;78,5700;79,7780;79,0980
contrast;76,3640;0,7776;75,3980;77,3020;76,3920
elastic_transform;70,8807;0,3216;70,4720;71,2580;70,9120
pixelate;58,5227;1,7614;56,0700;59,3720;60,1260
jpeg_compression;57,5467;0,2300;57,4300;57,3420;57,8680
speckle_noise;55,5380;1,4204;53,5940;56,0720;56,9480
gaussian_blur;74,0527;0,5499;73,3320;74,6660;74,1600
spatter;72,8187;0,3433;72,3380;73,1180;73,0000
saturate;74,4073;0,2589;74,0860;74,7200;74,4160
blue_noise;57,6240;1,4730;55,8840;57,5020;59,4860
brownish_noise;44,3613;0,6970;44,5920;45,0760;43,4160
checkerboard_cutout;67,3533;0,4023;66,7980;67,7380;67,5240
circular_motion_blur;74,8507;0,2759;74,5280;75,2020;74,8220
inverse_sparkles;45,2567;1,0847;43,8360;45,4660;46,4680
lines;54,8847;0,4889;54,7600;54,3580;55,5360
pinch_and_twirl;74,2633;0,2779;73,8740;74,4120;74,5040
ripple;60,9033;0,7009;60,7160;61,8400;60,1540
sparkles;66,4647;0,4449;65,8700;66,5840;66,9400
transverse_chromatic_abberation;54,1260;0,8347;53,8140;55,2680;53,2960
Acc_C-all-19;66,7122;0,6820;65,7478;67,1895;67,1994
Acc_C-original-15;66,0477;0,7004;65,0572;66,5349;66,5509
Acc_C-bar-10;60,0088;0,3866;59,4672;60,3446;60,2146
Acc_all-ex-pixelwise-noise-24;66,4633;0,4873;65,8055;66,9701;66,6142
RMSCE_C;0,0483;0,0030;0,0467;0,0524;0,0457
uniform-l1,15.7,True,max;80,2467;0,2485;79,9000;80,3700;80,4700
uniform-l2,0.4016,True,max;80,2867;0,1837;80,0600;80,2900;80,5100
uniform-linf,0.03333,True,max;69,5833;0,6746;68,6300;70,0900;70,0300
uniform-l0.5,25000.0,True,max;80,4233;0,4913;79,8500;80,3700;81,0500
uniform-l1,25.0,True,max;79,1500;0,3119;78,7200;79,4500;79,2800
uniform-l2,0.5,True,max;79,9000;0,3689;79,4100;79,9900;80,3000
uniform-l10,0.03,True,max;79,7533;0,3626;79,2500;79,9200;80,0900
uniform-l50,0.02,True,max;79,3067;0,2131;79,0600;79,2800;79,5800
uniform-linf,0.01,True,max;79,6567;0,3879;79,1100;79,8900;79,9700
uniform-l0-impulse,0.01,True,max;77,3800;0,4522;77,1600;76,9700;78,0100
uniform-l0-impulse,0.02,True,max;71,8067;0,6325;71,4000;71,3200;72,7000
uniform-l0-impulse,0.05,True,max;49,3100;1,9607;48,9000;47,1400;51,8900
uniform-l0-impulse,0.1,True,max;20,5267;1,2941;20,5300;18,9400;22,1100
uniform-l0-impulse,0.2,True,max;4,9900;0,5316;5,4100;4,2400;5,3200
uniform-l0-impulse,0.5,True,max;1,0167;0,0368;0,9700;1,0600;1,0200
uniform-l0.5,50000.0,False,max;78,6000;0,1657;78,3800;78,6400;78,7800
uniform-l0.5,100000.0,False,max;73,6600;0,6138;72,8800;73,7200;74,3800
uniform-l0.5,200000.0,False,max;60,2533;1,4036;58,4700;60,3900;61,9000
uniform-l0.5,500000.0,False,max;25,1300;1,4323;23,7700;24,5100;27,1100
uniform-l0.5,1000000.0,False,max;6,9033;0,5232;7,0900;6,1900;7,4300
uniform-l0.5,2000000.0,False,max;1,8967;0,1266;1,9600;1,7200;2,0100
uniform-l1,20.0,False,max;79,7967;0,1929;79,5300;79,8800;79,9800
uniform-l1,50.0,False,max;74,9233;0,4084;74,3500;75,2700;75,1500
uniform-l1,100.0,False,max;63,6033;1,0234;62,1900;64,0400;64,5800
uniform-l1,200.0,False,max;37,6600;1,7718;35,4100;37,8300;39,7400
uniform-l1,500.0,False,max;6,2600;0,5776;6,4400;5,4800;6,8600
uniform-l1,1000.0,False,max;1,3933;0,1040;1,3300;1,3100;1,5400
uniform-l2,0.5,False,max;79,9533;0,2368;79,6600;79,9600;80,2400
uniform-l2,1.0,False,max;77,0000;0,3303;76,5400;77,3000;77,1600
uniform-l2,2.0,False,max;68,4700;0,9093;67,2000;68,9300;69,2800
uniform-l2,5.0,False,max;36,8167;1,8837;34,2200;37,6000;38,6300
uniform-l2,10.0,False,max;9,8867;0,6133;9,8400;9,1600;10,6600
uniform-l2,20.0,False,max;1,6200;0,1349;1,5400;1,5100;1,8100
uniform-l10,0.02,False,max;80,5867;0,3175;80,1700;80,6500;80,9400
uniform-l10,0.05,False,max;77,6333;0,2684;77,2700;77,9100;77,7200
uniform-l10,0.1,False,max;70,4567;0,8557;69,2500;70,9800;71,1400
uniform-l10,0.2,False,max;52,0367;1,8024;49,5400;52,8400;53,7300
uniform-l10,0.5,False,max;12,7300;0,7109;12,3200;12,1400;13,7300
uniform-l10,1.0,False,max;1,9933;0,1297;2,0800;1,8100;2,0900
uniform-l50,0.01,False,max;80,6200;0,2765;80,2400;80,7300;80,8900
uniform-l50,0.02,False,max;79,3867;0,2733;79,0100;79,6500;79,5000
uniform-l50,0.05,False,max;73,1367;0,7760;72,0400;73,6500;73,7200
uniform-l50,0.1,False,max;58,1300;1,3860;56,1700;59,0900;59,1300
uniform-l50,0.2,False,max;28,8267;1,2940;27,1500;29,0300;30,3000
uniform-l50,0.5,False,max;3,0667;0,3300;3,3000;2,6000;3,3000
uniform-linf,0.01,False,max;80,6633;0,2995;80,2500;80,7900;80,9500
uniform-linf,0.02,False,max;79,0300;0,2920;78,6500;79,0800;79,3600
uniform-linf,0.05,False,max;72,0133;0,7590;70,9400;72,5400;72,5600
uniform-linf,0.1,False,max;55,0967;1,3771;53,1500;56,0200;56,1200
uniform-linf,0.2,False,max;24,6267;1,2913;22,9300;24,8900;26,0600
uniform-linf,0.5,False,max;2,2567;0,2248;2,3900;1,9400;2,4400
Class Separation Robustness;76,7056;0,3616;76,1967;76,9167;77,0033
imperceptible Robustness;79,6983;0,3418;79,2333;79,8167;80,0450
Average p-norm robustness;46,2178;0,5834;45,5243;46,1774;46,9517
