;Train-Train;Train-Test;Test-Test
non-zero images;49982,000000;9994,000000;9996,000000
Mean Distance;393,312439;396,416412;420,382141
Minimal Distance;31,399990;40,905884;121,227425
2th;31,399990;59,435299;121,227425
3th;31,686226;108,223526;146,435303
4th;31,686226;109,537277;146,435303
5th;31,870590;113,913696;147,807831
6th;31,870590;114,466675;149,435303
7th;33,466667;117,160774;149,435303
8th;33,466667;122,015656;153,015656
9th;36,156864;126,556862;155,807739
10th;36,156864;126,858833;156,203918
11th;38,941177;127,752953;156,203918
12th;38,941177;128,454895;158,737244
13th;39,952942;132,274506;158,737244
14th;39,952942;138,427444;159,325500
15th;41,380394;139,376480;159,325500
16th;41,380394;140,949020;164,050964
17th;59,250984;141,215622;164,470596
18th;59,250984;143,000000;165,596085
19th;66,027451;143,670563;165,596085
20th;66,027451;145,015686;170,003952
21th;86,897934;145,505875;170,003952
22th;86,897934;147,443146;174,250977
23th;93,258827;147,650970;176,564697
24th;93,258827;148,596069;178,619537
25th;98,658867;149,474487;180,231384
26th;98,658867;149,921509;180,231384
27th;108,596085;151,705872;181,713730
28th;112,509811;154,474518;181,713730
29th;112,509811;154,549011;181,792160
30th;112,556870;155,984314;186,168640
31th;112,556870;156,015625;187,835297
32th;115,368553;156,207840;188,070587
33th;115,368553;157,949020;188,070587
34th;116,376465;162,074524;188,192154
35th;116,376465;163,298050;189,121582
36th;118,254906;163,678452;189,529388
37th;118,254906;164,494125;189,529388
38th;118,427444;164,639206;189,843140
39th;118,564697;165,364716;189,843140
40th;122,811821;165,658813;190,180420
41th;124,639206;166,007843;190,180420
42th;125,619614;166,278427;191,313751
43th;127,780396;167,211655;191,313751
44th;129,592163;167,517654;191,619614
45th;129,592163;168,235291;191,619614
46th;129,709900;169,701965;191,835220
47th;129,733292;169,745102;194,733337
48th;129,733292;170,050995;194,733337
49th;131,145111;170,250977;195,737244
50th;131,643127;170,537262;195,945099
51th;131,643127;170,607834;196,035309
52th;132,097961;170,909805;196,035309
53th;132,097961;171,603912;196,670593
54th;132,333328;171,760788;196,823517
55th;133,580353;171,862732;197,282349
56th;134,831268;171,901978;197,372559
57th;134,831375;172,305893;197,372559
58th;135,007858;173,062714;198,952942
59th;135,007858;173,513733;198,952942
60th;136,270599;173,917679;199,427460
61th;136,968689;174,333344;200,168625
62th;137,070587;174,694122;200,196121
63th;137,274506;174,862732;200,356812
64th;137,274506;174,972565;200,356812
65th;137,329407;176,035309;200,584320
66th;137,329407;176,066650;200,882355
67th;137,403915;176,690216;200,945099
68th;138,199997;177,305878;202,078430
69th;138,199997;177,631363;202,356873
70th;138,341187;177,635315;202,356873
71th;139,341187;177,835327;202,956879
72th;139,345093;178,031311;202,956879
73th;140,203857;178,129410;203,862762
74th;140,576416;178,294113;204,003906
75th;140,917603;179,647018;204,733337
76th;140,945038;179,776489;205,337265
77th;141,521652;180,050949;205,337265
78th;141,796082;180,086304;206,235291
79th;141,796082;180,164734;206,564697
80th;142,376495;180,584244;207,439224
81th;142,376495;180,725464;207,439224
82th;142,560791;181,105896;208,568665
83th;142,784302;181,266663;208,568665
84th;142,784302;182,874527;208,635284
85th;143,678421;183,768646;208,643127
86th;143,678421;184,227448;209,313736
87th;143,768585;184,239227;209,313736
88th;144,199982;184,325500;209,537231
89th;144,199982;185,811768;209,764740
90th;144,352936;186,494064;209,764740
91th;144,592041;186,647064;209,941162
92th;145,662750;186,772552;209,941162
93th;145,662750;186,819611;210,035309
94th;145,701950;187,184296;210,956879
95th;145,854919;187,494141;211,019608
96th;146,682373;187,505890;211,305847
97th;146,682373;187,905914;211,556885
98th;146,713623;188,090179;211,615677
99th;146,713623;188,313721;211,741180
100th;147,043121;188,443146;212,572540
101th;147,050980;188,509857;213,137253
102th;147,274506;188,682251;213,203918
103th;147,709747;188,690186;213,564728
104th;147,882324;188,898041;213,564728
105th;148,062744;189,231369;214,098053
106th;148,870575;189,321564;214,631317
107th;148,901947;189,694061;216,407837
108th;148,901947;189,905884;216,862762
109th;149,937256;190,050949;216,862762
110th;149,937256;190,113739;217,462616
111th;150,086212;190,141220;217,697998
112th;150,478424;190,690186;217,847061
113th;150,482346;191,019623;218,043121
114th;150,482346;191,152954;218,043121
115th;150,827454;191,427460;218,372559
116th;150,843109;191,470612;218,635315
117th;151,035309;191,498032;218,933350
118th;151,098022;192,709808;218,941177
119th;151,250977;192,874512;218,941177
120th;151,376434;193,215698;219,470551
121th;151,890198;193,607849;219,603928
122th;151,890198;193,796082;219,647064
123th;151,945099;194,392181;219,792175
124th;151,945099;194,490204;219,870590
125th;152,019653;194,501968;220,066711
126th;152,145050;194,533325;220,066711
127th;152,192200;194,890198;220,748901
128th;152,192200;195,196106;220,874512
129th;152,219604;195,227448;221,247086
130th;152,415649;195,231384;221,247086
131th;152,482361;195,325500;221,262756
132th;152,815689;195,443146;221,419617
133th;152,815689;195,733353;222,600006
134th;153,007843;195,807770;222,600006
135th;153,274506;195,807861;222,729431
136th;153,356873;195,862762;223,176483
137th;153,470551;195,952942;223,176483
138th;153,470551;196,011780;223,356873
139th;153,521545;196,031418;223,501968
140th;153,772552;196,258850;224,070587
141th;153,772552;196,643097;224,105896
142th;153,858826;197,074463;224,172577
143th;153,858826;197,168640;224,211792
144th;154,031433;197,192078;224,682373
145th;154,290176;197,290146;224,682373
146th;154,294128;197,741180;225,392059
147th;154,294128;198,050980;225,392059
148th;154,294128;198,196060;225,407776
149th;154,384323;198,749023;225,819595
150th;154,384323;198,815704;226,121582
151th;154,466614;199,290192;226,188232
152th;154,741180;199,407867;226,254913
153th;155,156860;200,000015;226,329468
154th;155,156860;200,372559;226,415680
155th;155,313736;200,784241;226,454926
156th;155,388245;200,960785;226,596024
157th;155,654800;201,109802;226,827454
158th;155,701965;201,145111;226,827454
159th;155,752838;201,254913;226,941193
160th;155,874527;201,698059;226,952942
161th;155,886292;201,850983;226,952942
162th;155,937256;202,015686;226,984344
163th;155,952957;202,341187;227,760803
164th;156,372528;202,372559;227,780396
165th;156,501984;202,839233;227,917664
166th;156,670532;202,905884;228,407867
167th;156,721512;203,235291;228,701981
168th;157,141174;203,376480;229,396072
169th;157,188309;203,486267;229,407806
170th;157,435257;203,894165;230,200012
171th;157,721558;203,901978;230,556915
172th;157,733337;203,972580;230,556915
173th;158,192169;204,062744;231,125504
174th;158,192169;204,419617;231,125504
175th;158,254913;204,482361;231,329422
176th;158,400024;204,619629;231,329422
177th;158,407837;204,752960;231,454803
178th;158,748917;204,858841;231,454803
179th;158,819611;204,890213;231,529449
180th;158,819611;205,184326;231,545105
181th;158,956863;205,239227;231,611786
182th;159,086273;205,792160;231,646973
183th;159,352936;205,968628;231,646973
184th;159,352936;206,007843;231,678467
