;Train-Train;Train-Test;Test-Test
non-zero images;49982,000000;9994,000000;9996,000000
Mean Distance;0,467471;0,469828;0,496249
Minimal Distance;0,066667;0,113725;0,184314
2th;0,066667;0,129412;0,184314
3th;0,078431;0,160784;0,231373
4th;0,078431;0,223529;0,231373
5th;0,078431;0,223529;0,243137
6th;0,078431;0,227451;0,247059
7th;0,109804;0,227451;0,247059
8th;0,109804;0,227451;0,250980
9th;0,117647;0,227451;0,262745
10th;0,117647;0,231373;0,262745
11th;0,121569;0,231373;0,262745
12th;0,121569;0,235294;0,262745
13th;0,121569;0,235294;0,266667
14th;0,121569;0,235294;0,266667
15th;0,121569;0,239216;0,270588
16th;0,121569;0,239216;0,274510
17th;0,141176;0,243137;0,274510
18th;0,141176;0,243137;0,274510
19th;0,145098;0,243137;0,278431
20th;0,145098;0,247059;0,278431
21th;0,149020;0,247059;0,286275
22th;0,149020;0,247059;0,286275
23th;0,180392;0,250980;0,286275
24th;0,180392;0,250980;0,286275
25th;0,188235;0,250980;0,290196
26th;0,188235;0,254902;0,290196
27th;0,200000;0,254902;0,290196
28th;0,200000;0,254902;0,290196
29th;0,203922;0,254902;0,290196
30th;0,203922;0,254902;0,290196
31th;0,203922;0,254902;0,290196
32th;0,207843;0,258824;0,294118
33th;0,207843;0,258824;0,294118
34th;0,207843;0,262745;0,294118
35th;0,215686;0,262745;0,294118
36th;0,215686;0,262745;0,294118
37th;0,215686;0,262745;0,294118
38th;0,215686;0,262745;0,294118
39th;0,219608;0,262745;0,298039
40th;0,219608;0,262745;0,298039
41th;0,219608;0,262745;0,298039
42th;0,219608;0,266667;0,298039
43th;0,219608;0,266667;0,298039
44th;0,219608;0,266667;0,298039
45th;0,219608;0,266667;0,298039
46th;0,223529;0,270588;0,298039
47th;0,223529;0,270588;0,298039
48th;0,223529;0,270588;0,301961
49th;0,223529;0,270588;0,301961
50th;0,223529;0,270588;0,305882
51th;0,223529;0,270588;0,309804
52th;0,223529;0,270588;0,309804
53th;0,223529;0,274510;0,309804
54th;0,227451;0,274510;0,309804
55th;0,227451;0,274510;0,309804
56th;0,227451;0,278431;0,309804
57th;0,227451;0,278431;0,309804
58th;0,227451;0,278431;0,313726
59th;0,227451;0,278431;0,313726
60th;0,231373;0,282353;0,313726
61th;0,231373;0,282353;0,313726
62th;0,231373;0,282353;0,313726
63th;0,231373;0,282353;0,313726
64th;0,231373;0,282353;0,313726
65th;0,231373;0,282353;0,313726
66th;0,231373;0,282353;0,313726
67th;0,231373;0,282353;0,317647
68th;0,231373;0,282353;0,317647
69th;0,231373;0,282353;0,317647
70th;0,231373;0,282353;0,317647
71th;0,231373;0,282353;0,317647
72th;0,231373;0,286274;0,321569
