;config_355_avg
Standard_Acc;96,6604
RMSCE;0,1287
gaussian_noise;82,7000
shot_noise;82,1000
impulse_noise;86,4000
defocus_blur;70,4000
glass_blur;76,2000
motion_blur;76,7000
zoom_blur;88,5000
snow;52,3000
frost;54,1000
fog;48,8000
brightness;56,2000
contrast;69,2000
elastic_transform;95,6000
pixelate;94,6000
jpeg_compression;97,1000
speckle_noise;86,2000
gaussian_blur;71,2000
spatter;81,4000
saturate;86,1000
blue_noise_sample;85,0000
brownish_noise;79,9000
caustic_refraction;90,7000
checkerboard_cutout;82,1000
cocentric_sine_waves;76,7000
inverse_sparkles;85,5000
perlin_noise;62,6000
plasma_noise;59,4000
single_frequency_greyscale;80,5000
sparkles;89,0000
Acc_C-all-19;76,6211
Acc_C-original-15;75,3933
Acc_C-bar-10;79,1400
Acc_all-ex-pixelwise-noise-24;76,0333
RMSCE_C;0,1053
uniform-l1,938.9,False,max;96,6604
uniform-l2,3.875,False,max;96,6604
uniform-linf,0.08893,False,max;96,5343
uniform-l0.5,200000000.0,True,max;96,4713
uniform-l1,2500.0,True,max;96,5974
uniform-l2,8.0,True,max;96,5974
uniform-l10,0.07,True,max;96,5974
uniform-l50,0.035,True,max;96,5974
uniform-linf,0.015,True,max;96,5974
uniform-l0-impulse,0.01,True,max;96,5343
uniform-l0-impulse,0.02,True,max;96,5343
uniform-l0-impulse,0.05,True,max;95,8412
uniform-l0-impulse,0.1,True,max;92,4386
uniform-l0-impulse,0.2,True,max;71,4556
uniform-l0-impulse,0.5,True,max;57,2149
uniform-l0.5,200000000.0,False,max;96,5974
uniform-l0.5,500000000.0,False,max;96,5343
uniform-l0.5,1000000000.0,False,max;96,2193
uniform-l0.5,2000000000.0,False,max;93,0687
uniform-l0.5,5000000000.0,False,max;63,9572
uniform-l0.5,10000000000.0,False,max;57,2149
uniform-l1,1000.0,False,max;96,6604
uniform-l1,5000.0,False,max;96,5974
uniform-l1,10000.0,False,max;96,4083
uniform-l1,20000.0,False,max;92,7536
uniform-l1,50000.0,False,max;58,7272
uniform-l1,100000.0,False,max;57,2149
uniform-l2,5.0,False,max;96,7864
uniform-l2,10.0,False,max;96,5343
uniform-l2,20.0,False,max;96,6604
uniform-l2,50.0,False,max;96,5343
uniform-l2,100.0,False,max;73,9761
uniform-l2,200.0,False,max;57,2149
uniform-l10,0.05,False,max;96,5343
uniform-l10,0.1,False,max;96,5974
uniform-l10,0.2,False,max;96,5343
uniform-l10,0.5,False,max;96,5974
uniform-l10,1.0,False,max;82,7347
uniform-l10,2.0,False,max;57,2149
uniform-l50,0.02,False,max;96,5974
uniform-l50,0.05,False,max;96,4713
uniform-l50,0.1,False,max;96,4713
uniform-l50,0.2,False,max;96,8494
uniform-l50,0.5,False,max;72,2117
uniform-l50,1.0,False,max;57,2149
uniform-linf,0.02,False,max;96,6604
uniform-linf,0.05,False,max;96,4713
uniform-linf,0.1,False,max;96,5343
uniform-linf,0.2,False,max;96,5974
uniform-linf,0.5,False,max;65,0914
uniform-linf,1.0,False,max;57,2149
Class Separation Robustness;96,6184
imperceptible Robustness;96,5763
Average p-norm robustness;85,2447
