;config_395_avg;config_395_std;config_395_run_0;config_395_run_1;config_395_run_2
Standard_Acc;99,4872;0,0659;99,4406;99,4406;99,5804
RMSCE;0,1219;0,0027;0,1255;0,1212;0,1191
gaussian_noise;76,3636;3,1544;77,6224;72,0280;79,4406
shot_noise;78,3217;3,6596;75,8042;75,6643;83,4965
impulse_noise;80,7459;4,4262;78,8811;76,5035;86,8531
defocus_blur;69,1841;0,1744;69,2308;68,9510;69,3706
glass_blur;71,7483;1,2085;72,8671;70,0699;72,3077
motion_blur;74,9184;2,5949;78,3217;74,4056;72,0280
zoom_blur;66,8065;2,0566;69,3706;64,3357;66,7133
snow;57,7622;3,5179;53,1469;61,6783;58,4615
frost;50,2564;3,1071;45,8741;52,1678;52,7273
fog;47,2261;3,9066;48,9510;50,9091;41,8182
brightness;52,4476;4,0406;47,1329;56,9231;53,2867
contrast;69,9301;2,7785;68,2517;67,6923;73,8462
elastic_transform;98,3683;0,0659;98,4615;98,3217;98,3217
pixelate;89,9767;1,9120;91,3287;87,2727;91,3287
jpeg_compression;99,4872;0,2377;99,1608;99,5804;99,7203
speckle_noise;79,2075;3,3959;75,3846;78,6014;83,6364
gaussian_blur;73,7063;0,4978;74,4056;73,2867;73,4266
spatter;78,7413;2,1149;77,7622;76,7832;81,6783
saturate;97,8555;0,3671;97,3427;98,0420;98,1818
blue_noise_sample;70,6760;4,1004;66,8531;68,8112;76,3636
brownish_noise;91,8415;1,4278;91,8881;90,0699;93,5664
caustic_refraction;91,0023;0,9159;89,9301;92,1678;90,9091
checkerboard_cutout;85,3613;2,0311;86,4336;82,5175;87,1329
cocentric_sine_waves;75,6643;2,3319;74,6853;73,4266;78,8811
inverse_sparkles;85,2681;1,3137;83,6364;85,3147;86,8531
perlin_noise;73,7995;3,3417;76,5035;75,8042;69,0909
plasma_noise;70,5828;1,1266;69,6503;69,9301;72,1678
single_frequency_greyscale;76,6900;2,3744;75,5245;74,5455;80,0000
sparkles;92,3543;1,7104;91,7483;90,6294;94,6853
Acc_C-all-19;74,3712;0,8819;73,6474;73,8535;75,6128
Acc_C-original-15;72,2362;0,7647;71,6270;71,7669;73,3147
Acc_C-bar-10;81,3240;1,1698;80,6853;80,3217;82,9650
Acc_all-ex-pixelwise-noise-24;76,7075;0,4607;76,3170;76,4510;77,3543
RMSCE_C;0,1079;0,0051;0,1049;0,1150;0,1037
uniform-l1,938.9,False,max;99,4872;0,0659;99,4406;99,4406;99,5804
uniform-l2,3.875,False,max;99,4872;0,0659;99,4406;99,4406;99,5804
uniform-linf,0.08893,False,max;99,7669;0,1319;99,5804;99,8601;99,8601
uniform-l0.5,200000000.0,True,max;99,5804;0,0000;99,5804;99,5804;99,5804
uniform-l1,2500.0,True,max;99,5804;0,0000;99,5804;99,5804;99,5804
uniform-l2,8.0,True,max;99,5804;0,0000;99,5804;99,5804;99,5804
uniform-l10,0.07,True,max;99,4872;0,0659;99,4406;99,4406;99,5804
uniform-l50,0.035,True,max;99,4872;0,0659;99,4406;99,4406;99,5804
uniform-linf,0.015,True,max;99,5338;0,0659;99,5804;99,4406;99,5804
uniform-l0-impulse,0.01,True,max;99,5804;0,0000;99,5804;99,5804;99,5804
uniform-l0-impulse,0.02,True,max;99,6737;0,0659;99,7203;99,7203;99,5804
uniform-l0-impulse,0.05,True,max;96,3636;2,6610;95,3846;93,7063;100,0000
uniform-l0-impulse,0.1,True,max;81,1655;8,4754;78,6014;72,3077;92,5874
uniform-l0-impulse,0.2,True,max;66,5734;4,3529;63,6364;63,3566;72,7273
uniform-l0-impulse,0.5,True,max;63,2634;0,1319;63,3566;63,3566;63,0769
uniform-l0.5,200000000.0,False,max;99,6270;0,0659;99,5804;99,7203;99,5804
uniform-l0.5,500000000.0,False,max;99,6737;0,1744;99,4406;99,7203;99,8601
uniform-l0.5,1000000000.0,False,max;91,3753;7,5889;94,2657;80,9790;98,8811
uniform-l0.5,2000000000.0,False,max;71,7016;3,2002;71,8881;67,6923;75,5245
uniform-l0.5,5000000000.0,False,max;65,0816;2,4394;63,3566;63,3566;68,5315
uniform-l0.5,10000000000.0,False,max;63,5897;0,3297;63,3566;63,3566;64,0559
uniform-l1,1000.0,False,max;99,4872;0,0659;99,4406;99,4406;99,5804
uniform-l1,5000.0,False,max;99,8135;0,0659;99,7203;99,8601;99,8601
uniform-l1,10000.0,False,max;93,7529;5,7238;96,0839;85,8741;99,3007
uniform-l1,20000.0,False,max;69,8368;2,3301;70,4895;66,7133;72,3077
uniform-l1,50000.0,False,max;64,3823;1,4505;63,3566;63,3566;66,4336
uniform-l1,100000.0,False,max;63,3566;0,0000;63,3566;63,3566;63,3566
uniform-l2,5.0,False,max;99,4872;0,0659;99,4406;99,4406;99,5804
uniform-l2,10.0,False,max;99,5804;0,0000;99,5804;99,5804;99,5804
uniform-l2,20.0,False,max;99,7669;0,0659;99,7203;99,8601;99,7203
uniform-l2,50.0,False,max;76,2238;4,4242;78,3217;70,0699;80,2797
uniform-l2,100.0,False,max;65,7809;3,1322;63,4965;63,6364;70,2098
uniform-l2,200.0,False,max;63,8695;0,7252;63,3566;63,3566;64,8951
uniform-l10,0.05,False,max;99,4872;0,0659;99,4406;99,4406;99,5804
uniform-l10,0.1,False,max;99,5338;0,0659;99,4406;99,5804;99,5804
uniform-l10,0.2,False,max;99,6737;0,1319;99,5804;99,8601;99,5804
uniform-l10,0.5,False,max;80,6061;7,0407;83,4965;70,9091;87,4126
uniform-l10,1.0,False,max;67,7855;2,4233;68,6713;64,4755;70,2098
