time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
20,9047;49,7668;1,4059;36,6434;9,2125;38,3196;36,6434;38,3196
40,0159;48,9979;1,3935;62,7972;1,2174;58,2807;62,7972;58,2807
59,7115;51,4433;1,0209;63,3566;1,8771;60,4662;63,3566;60,4662
79,2908;57,1537;0,8702;66,2937;1,3003;59,7377;66,2937;59,7377
98,9468;63,3556;0,7898;52,5874;1,7765;47,8388;52,5874;47,8388
118,1705;72,2677;0,7352;67,2727;0,8173;61,1462;67,2727;61,1462
137,7939;77,8772;0,6969;62,2378;0,9814;52,7441;62,2378;52,7441
157,1212;81,7849;0,6133;84,8951;0,3767;71,2967;84,8951;71,2967
176,9472;83,9027;0,5673;66,2937;0,6509;61,2919;66,2937;61,2919
196,6909;88,7810;0,4898;67,1329;0,5343;63,1374;67,1329;63,1374
216,3203;91,0753;0,4640;77,0629;0,4162;62,5546;77,0629;62,5546
235,9187;93,2938;0,4201;98,0420;0,2250;69,7426;98,0420;69,7426
254,9904;94,1258;0,4063;99,1608;0,1512;75,1821;99,1608;75,1821
274,1319;95,0586;0,3919;92,4476;0,2520;72,7052;92,4476;72,7052
293,8773;95,4242;0,3839;95,3846;0,2526;66,1972;95,3846;66,1972
314,1026;95,6763;0,3833;99,0210;0,1580;72,7052;99,0210;72,7052
333,8569;96,4957;0,3759;99,3007;0,1305;74,3079;99,3007;74,3079
353,0887;97,1890;0,3680;99,3007;0,1380;75,6678;99,3007;75,6678
372,7789;96,8990;0,3673;99,3007;0,1338;74,5022;99,3007;74,5022
392,8565;97,0125;0,3676;99,3007;0,1326;74,1622;99,3007;74,1622
412,2011;92,4997;0,4409;90,0699;0,2965;66,1486;90,0699;66,1486
432,2819;91,5291;0,4481;73,4266;0,5027;61,9718;73,4266;61,9718
451,8127;93,1048;0,4232;96,3636;0,2111;76,5906;96,3636;76,5906
471,7977;94,1888;0,4120;80,0000;0,4030;70,5197;80,0000;70,5197
491,5785;94,1006;0,4074;80,5594;0,3645;69,6940;80,5594;69,6940
511,9925;95,4494;0,3919;96,5035;0,1950;73,3851;96,5035;73,3851
531,1799;95,7141;0,3865;92,3077;0,2830;66,3429;92,3077;66,3429
551,1123;95,1469;0,3957;82,0979;0,3839;63,5746;82,0979;63,5746
570,3157;96,1175;0,3812;83,6364;0,3967;64,2059;83,6364;64,2059
590,3027;96,7352;0,3768;97,7622;0,1625;74,1622;97,7622;74,1622
610,7138;96,7856;0,3691;96,2238;0,2147;70,2283;96,2238;70,2283
629,9470;96,3570;0,3775;97,2028;0,1662;74,7936;97,2028;74,7936
649,3281;97,0629;0,3674;99,7203;0,1268;71,0539;99,7203;71,0539
668,5822;96,8864;0,3664;98,3217;0,1407;74,0165;98,3217;74,0165
687,7620;97,3402;0,3628;78,1818;0,4681;69,0141;78,1818;69,0141
707,7528;97,6680;0,3565;99,1608;0,1430;70,2283;99,1608;70,2283
728,0726;97,3276;0,3611;99,5804;0,1259;69,2084;99,5804;69,2084
749,4621;97,3024;0,3587;99,5804;0,1533;73,2394;99,5804;73,2394
770,9158;97,6302;0,3598;98,3217;0,1446;68,3827;98,3217;68,3827
792,1170;98,1344;0,3551;99,8601;0,1192;70,7625;99,8601;70,7625
812,4773;98,0461;0,3546;99,3007;0,1297;72,3167;99,3007;72,3167
832,6011;98,3235;0,3492;95,5245;0,1846;73,1423;95,5245;73,1423
853,7332;98,1470;0,3511;99,7203;0,1200;72,6081;99,7203;72,6081
874,4502;98,3739;0,3479;99,4406;0,1285;72,7052;99,4406;72,7052
895,1261;98,4369;0,3467;99,8601;0,1201;70,9082;99,8601;70,9082
915,9880;98,6890;0,3455;100,0000;0,1213;72,9480;100,0000;72,9480
936,4454;98,6890;0,3445;99,7203;0,1294;71,9767;99,7203;71,9767
956,2410;98,6134;0,3441;99,8601;0,1272;70,8111;99,8601;70,8111
975,4851;98,7016;0,3429;99,4406;0,1379;69,0627;99,4406;69,0627
994,4781;98,6260;0,3432;99,7203;0,1288;73,8708;99,7203;73,8708
1013,4845;98,9159;0,3414;100,0000;0,1210;71,8796;100,0000;71,8796
1032,6378;98,9916;0,3390;99,8601;0,1253;71,8310;99,8601;71,8310
1051,5743;98,9411;0,3403;100,0000;0,1205;71,9767;100,0000;71,9767
1070,8406;98,9285;0,3404;100,0000;0,1234;71,2967;100,0000;71,2967
1089,6975;98,8529;0,3407;100,0000;0,1269;70,9082;100,0000;70,9082
1108,7449;98,8781;0,3410;100,0000;0,1220;72,0738;100,0000;72,0738
1128,4580;98,9537;0,3401;100,0000;0,1222;71,6367;100,0000;71,6367
1147,8376;99,0420;0,3382;100,0000;0,1236;71,4424;100,0000;71,4424
1166,8206;99,0042;0,3388;100,0000;0,1236;71,5396;100,0000;71,5396
1185,6577;99,0042;0,3387;100,0000;0,1215;71,9281;100,0000;71,9281
1204,5712;97,3402;0,3658;76,9231;0,4976;63,9145;76,9231;63,9145
1223,4463;97,1007;0,3665;75,3846;0,5107;69,3055;75,3846;69,3055
1242,9937;97,4159;0,3605;96,7832;0,1910;74,7936;96,7832;74,7936
1262,2232;97,5797;0,3623;99,5804;0,1627;72,0738;99,5804;72,0738
1281,4275;97,1511;0,3714;81,2587;0,4364;64,6916;81,2587;64,6916
1301,7467;97,8571;0,3604;79,8601;0,4326;63,9145;79,8601;63,9145
1320,8079;98,1974;0,3561;99,7203;0,1278;71,4910;99,7203;71,4910
1339,7403;97,8318;0,3618;98,8811;0,1741;71,5396;98,8811;71,5396
1359,6615;97,8192;0,3586;70,2098;0,5280;72,8995;70,2098;72,8995
1379,0207;97,9327;0,3561;72,8671;0,5588;64,0602;72,8671;64,0602
1397,8331;98,3613;0,3493;99,1608;0,1295;74,8422;99,1608;74,8422
1417,1789;97,9831;0,3531;99,4406;0,1334;72,8995;99,4406;72,8995
