time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
11,7151;65,9168;1,6281;66,8828;1,1980;67,0690;66,8828;67,0690
23,0717;66,5667;1,5037;66,9327;1,0134;64,7414;66,9327;64,7414
34,4866;66,8291;1,4896;60,7481;1,0444;59,1034;60,7481;59,1034
46,1668;66,5667;1,5003;65,7357;1,0816;62,1724;65,7357;62,1724
57,7433;66,9541;1,5041;64,6883;1,0422;58,4138;64,6883;58,4138
69,4144;67,5791;1,4970;68,7781;0,9311;65,5172;68,7781;65,5172
80,8340;66,2917;1,4947;67,4314;0,9850;64,1379;67,4314;64,1379
92,7664;66,8166;1,4793;68,1796;0,9198;65,3621;68,1796;65,3621
104,6169;66,7167;1,4947;67,3317;0,9461;62,9483;67,3317;62,9483
116,4038;66,5792;1,4814;67,6309;0,9532;65,2414;67,6309;65,2414
128,1644;67,2541;1,4787;68,3292;0,9338;65,9138;68,3292;65,9138
140,0303;66,8041;1,4867;62,9925;1,1492;55,3966;62,9925;55,3966
151,8167;67,7040;1,4736;70,3242;0,9165;63,6552;70,3242;63,6552
163,1838;67,1041;1,4747;69,5262;0,8718;66,3448;69,5262;66,3448
174,8953;66,9916;1,4657;70,2743;0,8776;65,5172;70,2743;65,5172
186,7254;67,5916;1,4779;67,8304;0,9382;65,7414;67,8304;65,7414
198,4238;67,2916;1,4705;69,2269;0,8840;65,9828;69,2269;65,9828
210,1571;67,2166;1,4546;58,0050;1,1946;43,4310;58,0050;43,4310
221,6497;68,4289;1,4457;65,8853;1,0637;52,3621;65,8853;52,3621
233,2999;68,1665;1,4451;69,0773;0,9045;67,2586;69,0773;67,2586
245,0291;68,1915;1,4410;69,4763;0,8811;65,9483;69,4763;65,9483
256,4350;67,4541;1,4498;69,2768;0,9070;63,9828;69,2768;63,9828
268,0278;67,6540;1,4600;69,0773;0,8639;60,1724;69,0773;60,1724
279,9883;68,1415;1,4531;70,2244;0,8587;59,3103;70,2244;59,3103
291,3753;67,9665;1,4557;70,8728;0,8174;63,0172;70,8728;63,0172
302,9296;68,3040;1,4442;70,9227;0,8554;57,4828;70,9227;57,4828
314,1244;67,6915;1,4478;69,7756;0,8643;58,8966;69,7756;58,8966
325,5199;67,8165;1,4416;71,7207;0,7959;66,6034;71,7207;66,6034
336,7997;68,7914;1,4287;69,4264;0,8442;58,7069;69,4264;58,7069
348,4842;68,0290;1,4449;69,0274;0,8240;63,4483;69,0274;63,4483
360,0475;68,2540;1,4523;70,8229;0,8566;62,1724;70,8229;62,1724
371,8419;68,3915;1,4439;69,4763;0,8316;59,8621;69,4763;59,8621
383,8560;69,3413;1,4164;71,6708;0,7936;58,9483;71,6708;58,9483
395,9024;68,5289;1,4335;70,3242;0,8147;58,7069;70,3242;58,7069
407,4991;67,9040;1,4305;70,7232;0,8508;61,0172;70,7232;61,0172
419,3457;68,5914;1,4302;71,6209;0,7715;63,9655;71,6209;63,9655
431,0482;69,1914;1,4313;71,8703;0,7507;64,1207;71,8703;64,1207
442,6254;68,3915;1,4382;72,0698;0,7939;61,7069;72,0698;61,7069
454,0746;68,8789;1,4276;71,1222;0,7957;65,3103;71,1222;65,3103
465,6985;68,4414;1,4314;72,3192;0,7579;58,9483;72,3192;58,9483
476,9607;69,4413;1,4212;72,2195;0,7950;62,4483;72,2195;62,4483
488,6719;68,1665;1,4227;71,9701;0,7697;59,6207;71,9701;59,6207
500,4399;69,1789;1,4158;72,0200;0,7575;58,1897;72,0200;58,1897
512,1786;68,9539;1,4340;72,8180;0,7520;60,6034;72,8180;60,6034
523,7352;68,9539;1,4404;71,9202;0,8080;62,0000;71,9202;62,0000
535,2235;69,2413;1,4080;70,1247;0,8367;55,3103;70,1247;55,3103
546,8365;69,0539;1,4174;71,4713;0,7925;65,1897;71,4713;65,1897
558,5649;69,1664;1,4204;72,9177;0,7622;61,1897;72,9177;61,1897
570,1068;68,9039;1,4182;75,1122;0,7196;65,4138;75,1122;65,4138
581,5325;69,6538;1,4236;71,6209;0,8170;60,8621;71,6209;60,8621
593,1019;69,8288;1,4220;73,0673;0,7615;64,0690;73,0673;64,0690
604,8647;69,3163;1,4142;73,1671;0,7272;59,9483;73,1671;59,9483
616,6105;69,3288;1,4243;71,6209;0,7732;66,0000;71,6209;66,0000
628,4589;69,4538;1,4130;73,2668;0,7570;62,3448;73,2668;62,3448
639,9863;69,3038;1,4210;70,2244;0,8620;54,7069;70,2244;54,7069
651,5000;69,8288;1,4230;73,4165;0,7259;66,0172;73,4165;66,0172
663,0497;69,6538;1,4199;73,5661;0,7396;63,3448;73,5661;63,3448
674,6320;69,3163;1,4152;74,1646;0,7350;63,2586;74,1646;63,2586
686,3549;69,4413;1,4089;74,9127;0,7393;65,6897;74,9127;65,6897
698,0770;70,1537;1,4134;74,1646;0,7507;61,5000;74,1646;61,5000
709,3969;69,6038;1,4202;74,9626;0,7219;62,6207;74,9626;62,6207
721,1037;69,3413;1,4149;74,4638;0,7152;66,4828;74,4638;66,4828
732,7716;69,3038;1,4098;74,0150;0,7330;64,6207;74,0150;64,6207
744,4966;69,2288;1,4160;75,3117;0,7232;60,5690;75,3117;60,5690
756,0904;69,6413;1,3973;74,2145;0,7551;61,4655;74,2145;61,4655
768,5438;70,9786;1,3964;74,2643;0,7152;63,4138;74,2643;63,4138
780,4478;70,2537;1,4050;75,5611;0,6887;63,5862;75,5611;63,5862
792,0470;69,4663;1,4188;74,3641;0,7351;60,9483;74,3641;60,9483
803,5784;70,3537;1,3991;74,3142;0,7302;63,9310;74,3142;63,9310
815,0378;70,0787;1,3899;75,9102;0,6998;66,0517;75,9102;66,0517
826,3732;69,4913;1,4132;76,1097;0,6843;63,8448;76,1097;63,8448
837,9472;70,1287;1,4133;73,6658;0,7354;63,4138;73,6658;63,4138
849,5807;70,1287;1,3944;73,5162;0,7344;59,3448;73,5162;59,3448
861,2644;69,9163;1,4101;74,2643;0,7276;62,2414;74,2643;62,2414
872,9564;69,7788;1,4108;74,5636;0,7033;64,2241;74,5636;64,2241
884,6658;70,4662;1,3911;75,0623;0,7141;63,9138;75,0623;63,9138
896,5059;70,7787;1,3941;72,7182;0,7857;57,2414;72,7182;57,2414
908,1977;70,1912;1,3973;76,1097;0,6716;65,3103;76,1097;65,3103
919,8994;70,5412;1,3960;74,7631;0,7104;63,5000;74,7631;63,5000
931,6037;70,5537;1,3938;75,6110;0,6920;66,6897;75,6110;66,6897
943,3827;70,2787;1,3870;73,8653;0,7437;61,1034;73,8653;61,1034
956,4077;70,9411;1,3970;76,4090;0,6840;65,9483;76,4090;65,9483
969,3649;70,4787;1,3942;76,2095;0,6771;63,8103;76,5087;66,4138
982,6822;70,2037;1,3876;75,7107;0,6844;66,8448;76,2095;66,3966
995,7327;70,0662;1,4017;75,2618;0,7239;63,8621;75,0623;64,1379
1008,7867;70,7037;1,3916;75,0125;0,6859;64,7069;76,6085;66,0345
1021,7331;70,3162;1,3834;71,3217;0,8103;55,0172;76,0100;66,8103
1034,9132;70,8161;1,3914;75,9601;0,7001;64,0172;76,1596;64,6552
1048,2013;70,3787;1,4034;74,8130;0,7063;63,0517;75,3117;64,3276
1061,0275;70,6037;1,3962;75,2120;0,7068;60,3276;76,1097;65,5517
1074,1822;70,4037;1,3842;75,2120;0,6897;66,7931;75,5611;65,4828
1087,2175;70,2912;1,3797;72,8678;0,7600;56,3793;75,4613;64,8966
1100,6582;70,6412;1,3901;74,8628;0,7023;63,1034;75,9102;65,0690
1113,4720;70,2412;1,4096;76,0599;0,6734;66,4483;74,9626;65,3448
1126,3719;69,7538;1,4138;73,1172;0,7664;63,9310;76,4090;64,2931
1139,8104;69,8788;1,4057;76,0100;0,6891;64,4483;74,8130;64,6034
1152,6985;70,2912;1,4024;74,5636;0,7061;63,0862;75,1621;66,1379
1165,7656;70,9411;1,3851;75,3616;0,7103;64,7414;74,9626;66,7069
1178,9445;70,5662;1,3902;76,7581;0,6757;66,1552;73,4663;63,4483
1192,0397;70,1537;1,4024;76,2594;0,6820;65,5517;71,8204;58,8448
