;config_644_avg
Standard_Acc;77,6060
RMSCE;0,0550
gaussian_noise;75,0623
shot_noise;75,9601
impulse_noise;75,3616
defocus_blur;77,4065
glass_blur;76,1097
motion_blur;76,7581
zoom_blur;77,6060
snow;64,8379
frost;59,6010
fog;55,8105
brightness;73,9651
contrast;62,4938
elastic_transform;77,1072
pixelate;77,5062
jpeg_compression;76,9077
speckle_noise;75,4115
gaussian_blur;71,4713
spatter;72,3691
saturate;59,0025
blue_noise;70,4239
brownish_noise;65,5362
checkerboard_cutout;41,7955
circular_motion_blur;70,7731
inverse_sparkles;69,5262
lines;61,3965
pinch_and_twirl;36,7082
ripple;65,2868
sparkles;65,7357
transverse_chromatic_abberation;73,5661
Acc_C-all-19;71,6183
Acc_C-original-15;72,1663
Acc_C-bar-10;62,0748
Acc_all-ex-pixelwise-noise-24;67,0532
RMSCE_C;0,0702
uniform-l1,24.476,False,max;77,9551
uniform-l2,0.666,False,max;77,9052
uniform-linf,0.05294,False,max;77,2070
uniform-l0.5,25000.0,True,max;77,8055
uniform-l1,25.0,True,max;77,4564
uniform-l2,0.5,True,max;77,4564
uniform-l10,0.03,True,max;77,6060
uniform-l50,0.02,True,max;77,6559
uniform-linf,0.01,True,max;77,8554
uniform-l0-impulse,0.01,True,max;77,8554
uniform-l0-impulse,0.02,True,max;76,2594
uniform-l0-impulse,0.05,True,max;74,7132
uniform-l0-impulse,0.1,True,max;71,5711
uniform-l0-impulse,0.2,True,max;68,3791
uniform-l0-impulse,0.5,True,max;66,7830
uniform-l0.5,50000.0,False,max;78,0050
uniform-l0.5,100000.0,False,max;77,8055
uniform-l0.5,200000.0,False,max;77,0574
uniform-l0.5,500000.0,False,max;73,4663
uniform-l0.5,1000000.0,False,max;70,0748
uniform-l0.5,2000000.0,False,max;66,8828
uniform-l1,20.0,False,max;77,6060
uniform-l1,50.0,False,max;77,6559
uniform-l1,100.0,False,max;76,9576
uniform-l1,200.0,False,max;74,8130
uniform-l1,500.0,False,max;69,1771
uniform-l1,1000.0,False,max;66,9327
uniform-l2,0.5,False,max;77,6559
uniform-l2,1.0,False,max;77,7057
uniform-l2,2.0,False,max;77,2569
uniform-l2,5.0,False,max;75,5112
uniform-l2,10.0,False,max;71,8204
uniform-l2,20.0,False,max;67,2818
uniform-l10,0.02,False,max;77,7057
uniform-l10,0.05,False,max;77,7057
uniform-l10,0.1,False,max;77,5561
uniform-l10,0.2,False,max;75,9601
uniform-l10,0.5,False,max;71,3217
uniform-l10,1.0,False,max;67,0324
uniform-l50,0.01,False,max;77,5062
uniform-l50,0.02,False,max;77,6559
uniform-l50,0.05,False,max;77,7057
uniform-l50,0.1,False,max;76,2594
uniform-l50,0.2,False,max;74,6135
uniform-l50,0.5,False,max;67,2818
uniform-linf,0.01,False,max;77,5561
uniform-linf,0.02,False,max;77,6559
uniform-linf,0.05,False,max;77,6559
uniform-linf,0.1,False,max;76,1596
uniform-linf,0.2,False,max;74,4140
uniform-linf,0.5,False,max;66,9327
Class Separation Robustness;77,6891
imperceptible Robustness;77,6392
Average p-norm robustness;74,2358
