;config_794_avg;config_794_std;config_794_run_0;config_794_run_1;config_794_run_2
Standard_Acc;77,6559;0,2851;77,6559;77,3067;78,0050
RMSCE;0,0310;0,0010;0,0323;0,0309;0,0299
gaussian_noise;69,0108;0,9691;69,2269;67,7307;70,0748
shot_noise;69,1937;1,2620;68,1796;68,4289;70,9726
impulse_noise;66,9327;0,9799;66,8329;65,7855;68,1796
defocus_blur;75,5943;0,3997;75,3117;76,1596;75,3117
glass_blur;74,9293;1,2783;73,1671;75,4613;76,1596
motion_blur;74,8462;0,7568;74,4140;75,9102;74,2145
zoom_blur;75,3283;0,3463;75,3117;75,7606;74,9127
snow;60,5320;1,5742;59,6509;59,2020;62,7431
frost;63,4414;0,5387;62,6933;63,6908;63,9401
fog;65,9850;1,4183;65,4364;64,5885;67,9302
brightness;75,1122;0,2670;75,4115;75,1621;74,7631
contrast;71,3882;0,0940;71,3217;71,3217;71,5212
elastic_transform;76,2926;0,4467;75,6608;76,6085;76,6085
pixelate;76,3092;0,0814;76,4090;76,2095;76,3092
jpeg_compression;76,0266;0,4079;76,2095;75,4613;76,4090
speckle_noise;68,1131;1,1118;67,8803;66,8828;69,5761
gaussian_blur;71,4879;0,2351;71,3217;71,8204;71,3217
spatter;70,2244;1,1424;70,1247;68,8778;71,6708
saturate;64,7215;0,2488;64,7880;64,3890;64,9875
blue_noise;67,2153;0,7197;68,2294;66,6334;66,7830
brownish_noise;64,1230;1,7738;65,8853;61,6958;64,7880
checkerboard_cutout;40,4156;6,3437;49,1771;34,3641;37,7057
circular_motion_blur;66,6334;1,2663;66,2843;65,2868;68,3292
inverse_sparkles;64,0732;0,9017;65,3367;63,5910;63,2918
lines;69,5262;0,2937;69,6259;69,1272;69,8254
pinch_and_twirl;42,0116;1,3896;41,8454;40,3990;43,7905
ripple;55,5112;6,0939;62,5436;47,6808;56,3092
sparkles;65,6692;0,5529;66,0848;66,0349;64,8878
transverse_chromatic_abberation;69,1937;1,0792;68,1297;68,7781;70,6733
Acc_C-all-19;70,8142;0,4517;70,4922;70,4974;71,4529
Acc_C-original-15;71,3948;0,4346;71,0158;71,1654;72,0033
Acc_C-bar-10;60,4372;1,6209;62,3142;58,3591;60,6384
Acc_all-ex-pixelwise-noise-24;67,0574;0,6453;67,5894;66,1492;67,4335
RMSCE_C;0,0522;0,0026;0,0489;0,0552;0,0527
uniform-l1,24.476,False,max;77,6725;0,5793;78,0050;76,8579;78,1546
uniform-l2,0.666,False,max;77,6891;0,2050;77,6559;77,4564;77,9551
uniform-linf,0.05294,False,max;75,9435;1,2461;75,0623;75,0623;77,7057
uniform-l0.5,25000.0,True,max;77,8221;0,1309;77,7556;77,7057;78,0050
uniform-l1,25.0,True,max;77,5561;0,4011;77,7057;77,0075;77,9551
uniform-l2,0.5,True,max;77,6060;0,2543;77,7057;77,2569;77,8554
uniform-l10,0.03,True,max;77,6725;0,2711;77,5062;77,4564;78,0549
uniform-l50,0.02,True,max;77,6725;0,2711;77,7556;77,3067;77,9551
uniform-linf,0.01,True,max;77,5561;0,5199;77,7057;76,8579;78,1047
uniform-l0-impulse,0.01,True,max;74,7631;0,7759;74,2145;74,2145;75,8603
uniform-l0-impulse,0.02,True,max;70,0249;1,8719;68,8279;68,5786;72,6683
uniform-l0-impulse,0.05,True,max;62,1280;1,3160;62,7431;60,2993;63,3416
uniform-l0-impulse,0.1,True,max;56,3757;2,0774;58,9526;56,3092;53,8653
