;Train-Train;Train-Test;Test-Test
non-zero images;8010,000000;2005,000000;2005,000000
Mean Distance;3,755387;3,788139;4,175275
Minimal Distance;1,331705;1,324259;1,733530
2th;1,331705;1,560937;1,733530
3th;1,381421;1,662356;1,781216
4th;1,427957;1,672131;1,781216
5th;1,427957;1,718679;1,838479
6th;1,471324;1,731628;1,838479
7th;1,471324;1,733530;1,898036
8th;1,484745;1,772629;1,898036
9th;1,484745;1,775518;1,914238
10th;1,524859;1,776446;1,914238
11th;1,538805;1,778369;1,921970
12th;1,566051;1,780770;1,923621
13th;1,608199;1,798607;1,923621
14th;1,608199;1,803216;1,945171
15th;1,609640;1,820933;1,945171
16th;1,615054;1,842922;2,000732
17th;1,634848;1,847223;2,000732
18th;1,634848;1,856221;2,019195
19th;1,639881;1,862196;2,019195
20th;1,640327;1,870894;2,026918
21th;1,640327;1,872166;2,073244
22th;1,643227;1,872948;2,073244
23th;1,643227;1,886715;2,074097
24th;1,647197;1,891335;2,078419
25th;1,647234;1,891367;2,078419
26th;1,654296;1,922764;2,078771
27th;1,656950;1,929735;2,078771
28th;1,658092;1,957744;2,093313
29th;1,691835;1,959957;2,093313
30th;1,705560;1,971538;2,103174
31th;1,705560;1,979633;2,103174
32th;1,707277;1,982098;2,106190
33th;1,707313;1,994622;2,115241
34th;1,713593;2,006551;2,119363
35th;1,713593;2,009377;2,124684
36th;1,719779;2,017713;2,142364
37th;1,719779;2,018711;2,150638
38th;1,727322;2,020102;2,177712
39th;1,727322;2,023483;2,177712
40th;1,741469;2,023573;2,189341
41th;1,745110;2,027250;2,192684
42th;1,750767;2,027822;2,217759
43th;1,750767;2,031791;2,218503
44th;1,755189;2,033863;2,223284
45th;1,755850;2,039886;2,228439
46th;1,755850;2,049706;2,228439
47th;1,769285;2,059716;2,231532
48th;1,769975;2,061790;2,246063
49th;1,769975;2,062707;2,248345
50th;1,776859;2,063802;2,261149
51th;1,776859;2,068145;2,265625
52th;1,782620;2,070593;2,265625
53th;1,801150;2,077449;2,283523
54th;1,803182;2,078419;2,306766
55th;1,816368;2,087502;2,306845
56th;1,816368;2,088789;2,307453
57th;1,819088;2,089344;2,331976
58th;1,819088;2,091621;2,331976
59th;1,823177;2,092525;2,336525
60th;1,830961;2,101141;2,336525
61th;1,843949;2,108854;2,340884
62th;1,843949;2,113307;2,346847
63th;1,845041;2,113624;2,346847
64th;1,845371;2,121838;2,352899
65th;1,849765;2,137572;2,352899
66th;1,850326;2,142278;2,362271
67th;1,850326;2,148281;2,371399
68th;1,854313;2,151830;2,371399
69th;1,858226;2,152425;2,374537
70th;1,861704;2,152907;2,374563
71th;1,861737;2,160040;2,384003
72th;1,863703;2,165120;2,387304
73th;1,863703;2,165543;2,387304
74th;1,869523;2,166388;2,389655
75th;1,873209;2,173785;2,389655
76th;1,873209;2,182528;2,404651
77th;1,873307;2,183450;2,406148
78th;1,878675;2,194270;2,406174
79th;1,884384;2,194520;2,412077
80th;1,891464;2,201545;2,412077
81th;1,891464;2,204814;2,412583
82th;1,891980;2,208604;2,412583
83th;1,894688;2,209709;2,413645
