;config_415_avg
Standard_Acc;68,3278
RMSCE;0,0429
gaussian_noise;44,4000
shot_noise;44,7000
impulse_noise;43,4000
defocus_blur;28,4000
glass_blur;32,8000
motion_blur;42,5000
zoom_blur;37,2000
snow;37,0000
frost;41,9000
fog;49,0000
brightness;65,6000
contrast;54,8000
elastic_transform;58,2000
pixelate;59,1000
jpeg_compression;64,3000
speckle_noise;53,1000
gaussian_blur;27,5000
spatter;43,6000
saturate;58,5000
blue_noise_sample;46,3000
brownish_noise;62,7000
caustic_refraction;50,6000
checkerboard_cutout;45,3000
cocentric_sine_waves;29,3000
inverse_sparkles;33,1000
perlin_noise;53,6000
plasma_noise;48,1000
single_frequency_greyscale;40,6000
sparkles;61,4000
Acc_C-all-19;46,6316
Acc_C-original-15;46,8867
Acc_C-bar-10;47,1000
Acc_all-ex-pixelwise-noise-24;46,8792
RMSCE_C;0,1136
uniform-l1,1631.4,False,max;67,7741
uniform-l2,7.51,False,max;67,6633
uniform-linf,0.069,False,max;66,0022
uniform-l0.5,200000000.0,True,max;67,8848
uniform-l1,2500.0,True,max;67,3311
uniform-l2,8.0,True,max;67,3311
uniform-l10,0.07,True,max;67,4419
uniform-l50,0.035,True,max;67,8848
uniform-linf,0.015,True,max;67,8848
uniform-l0-impulse,0.01,True,max;64,2303
uniform-l0-impulse,0.02,True,max;61,0188
uniform-l0-impulse,0.05,True,max;53,7099
uniform-l0-impulse,0.1,True,max;45,8472
uniform-l0-impulse,0.2,True,max;35,3267
uniform-l0-impulse,0.5,True,max;16,7220
uniform-l0.5,200000000.0,False,max;67,5526
uniform-l0.5,500000000.0,False,max;63,4551
uniform-l0.5,1000000000.0,False,max;56,9214
uniform-l0.5,2000000000.0,False,max;46,2901
uniform-l0.5,5000000000.0,False,max;26,6888
uniform-l0.5,10000000000.0,False,max;15,1717
uniform-l1,1000.0,False,max;67,7741
uniform-l1,5000.0,False,max;65,5592
uniform-l1,10000.0,False,max;58,1395
uniform-l1,20000.0,False,max;46,9546
uniform-l1,50000.0,False,max;24,6955
uniform-l1,100000.0,False,max;10,8527
uniform-l2,5.0,False,max;67,5526
uniform-l2,10.0,False,max;68,2171
uniform-l2,20.0,False,max;64,3411
uniform-l2,50.0,False,max;52,4917
uniform-l2,100.0,False,max;36,7663
uniform-l2,200.0,False,max;16,5006
uniform-l10,0.05,False,max;67,5526
uniform-l10,0.1,False,max;67,1096
uniform-l10,0.2,False,max;65,4485
uniform-l10,0.5,False,max;56,5891
uniform-l10,1.0,False,max;40,6423
uniform-l10,2.0,False,max;18,4939
uniform-l50,0.02,False,max;67,6633
uniform-l50,0.05,False,max;67,6633
uniform-l50,0.1,False,max;65,2270
uniform-l50,0.2,False,max;56,0354
uniform-l50,0.5,False,max;35,8804
uniform-l50,1.0,False,max;14,0642
uniform-linf,0.02,False,max;67,4419
uniform-linf,0.05,False,max;67,3311
uniform-linf,0.1,False,max;63,3444
uniform-linf,0.2,False,max;53,5991
uniform-linf,0.5,False,max;32,2259
uniform-linf,1.0,False,max;10,1883
Class Separation Robustness;67,1465
imperceptible Robustness;67,6264
Average p-norm robustness;48,7924
