time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
41,6977;2,1055;4,0259;2,0390;3,9158;2,3399;2,0390;2,3399
80,7969;2,1277;3,8988;3,9007;4,1603;2,2475;3,9007;2,2475
112,6205;2,4823;3,9167;2,3050;4,5425;2,6786;2,3050;2,6786
157,0527;2,8590;3,9761;1,8617;5,4691;2,1244;1,8617;2,1244
192,8902;2,8147;4,0695;2,5709;9,7493;2,7094;2,5709;2,7094
232,0578;2,7039;4,2404;3,0142;7,0707;2,6786;3,0142;2,6786
269,7309;3,6126;4,0930;5,8511;12,6324;5,2032;5,8511;5,2032
308,5811;5,2083;3,9551;5,5851;13,1106;4,6490;5,5851;4,6490
346,9222;5,6294;3,8480;5,4078;32,2926;4,0333;5,4078;4,0333
386,3535;6,2057;3,7802;7,4468;3,6883;6,4039;7,4468;6,4039
424,2606;7,7571;3,7408;7,2695;5,9903;5,6034;7,2695;5,6034
459,9018;9,1090;3,7214;8,3333;3,5822;7,1121;8,3333;7,1121
496,1643;9,1090;3,6954;9,4858;3,6271;6,7118;9,4858;6,7118
532,1278;9,9069;3,6775;9,0426;10,1907;7,3584;9,0426;7,3584
569,8070;10,3723;3,6758;10,1950;3,5066;8,6207;10,1950;8,6207
606,5882;10,1064;3,6702;11,0816;4,1447;8,5899;11,0816;8,5899
644,0921;10,6161;3,6539;11,9681;3,7380;8,6823;11,9681;8,6823
681,8376;11,1037;3,6488;12,6773;3,6303;9,1133;12,6773;9,1133
722,1720;12,0346;3,6047;11,8794;6,0033;8,4975;11,8794;8,4975
762,2735;12,5222;3,6201;14,6277;3,3806;10,7451;14,6277;10,7451
802,3989;12,4557;3,5905;13,5638;3,4315;10,0985;13,5638;10,0985
835,7090;14,2066;3,5728;16,7553;3,4282;11,4840;16,7553;11,4840
872,9298;13,4752;3,5911;14,0071;3,6285;10,3448;14,0071;10,3448
908,1308;14,0071;3,5676;14,8050;3,4078;10,6835;14,8050;10,6835
947,3591;14,1179;3,5519;14,1844;3,8133;10,4680;14,1844;10,4680
985,4866;15,4920;3,5423;16,8440;3,6885;10,3756;16,8440;10,3756
1022,5936;16,6223;3,5026;14,1844;3,3572;9,3596;14,1844;9,3596
1059,3605;14,6720;3,5119;14,7163;3,3055;11,1453;14,7163;11,1453
1099,4188;15,9131;3,5006;15,5142;3,5594;11,2685;15,5142;11,2685
1137,7834;16,7110;3,4897;16,1348;3,2499;11,5148;16,1348;11,5148
1178,4658;16,9105;3,4601;16,6667;3,2999;12,1305;16,6667;12,1305
1211,8537;16,5337;3,4959;16,4894;3,3149;11,7303;16,4894;11,7303
1250,2930;18,3067;3,4216;18,4397;3,1892;12,5924;18,4397;12,5924
1287,0949;17,3759;3,4658;18,4397;3,2461;12,8695;18,4397;12,8695
1323,4489;18,6835;3,4462;17,3759;3,5813;12,9618;17,3759;12,9618
1361,1801;17,7970;3,4523;18,6170;3,2828;13,1158;18,6170;13,1158
1399,8954;19,2376;3,3832;19,0603;3,1535;13,2389;19,0603;13,2389
1437,7635;19,0603;3,3928;17,6418;3,5428;13,2081;17,6418;13,2081
1476,3705;18,9273;3,4057;19,2376;3,1433;13,7007;19,2376;13,7007
1513,6906;20,8112;3,3321;21,8972;3,0040;15,9175;21,8972;15,9175
1544,5498;21,6312;3,3493;19,4149;4,4290;14,1318;19,4149;14,1318
1582,5466;22,0301;3,3812;20,5674;3,0315;14,8707;20,5674;14,8707
1619,5178;19,8803;3,4142;24,0248;3,0564;15,8251;24,0248;15,8251
1655,9519;22,0523;3,3480;20,9220;3,2843;14,6860;20,9220;14,6860
1693,3948;21,4982;3,3885;16,8440;3,7179;12,1613;16,8440;12,1613
1731,5904;23,2934;3,3167;23,1383;3,0199;16,7488;23,1383;16,7488
1771,8229;22,0966;3,3503;23,0496;3,0571;16,1022;23,0496;16,1022
1812,6366;24,2686;3,2659;23,7589;3,3254;15,6404;23,7589;15,6404
1852,4102;23,9362;3,3063;26,2411;2,8640;16,9951;26,2411;16,9951
1892,0576;23,0718;3,2848;23,6702;2,9184;16,5640;23,6702;16,5640
1925,2571;25,3768;3,2628;24,9113;2,8516;16,6564;24,9113;16,6564
1962,5657;27,9699;3,1061;26,5071;2,7395;19,1195;26,5071;19,1195
1998,0948;27,6374;3,1922;24,3794;3,1055;17,6724;24,3794;17,6724
2034,9694;26,8174;3,2176;25,4433;3,1747;16,9027;25,4433;16,9027
2074,0120;28,5239;3,1580;28,2801;2,8270;19,0579;28,2801;19,0579
2112,1973;27,8590;3,1748;26,5957;2,8691;19,0579;26,5957;19,0579
2152,7441;27,2163;3,1889;26,5071;2,9169;17,2722;26,5071;17,2722
2192,4084;29,9424;3,1258;26,6844;2,7848;17,7648;26,6844;17,7648
2232,1010;27,4158;3,2056;26,0638;5,6997;18,3805;26,0638;18,3805
2298,0166;29,8094;3,1439;28,0142;3,1012;19,4889;28,0142;19,4889
2336,5821;28,9450;3,1856;27,5709;2,7935;19,7044;27,5709;19,7044
2372,7982;30,0532;3,0999;31,4716;2,6068;21,9520;31,4716;21,9520
2410,1368;31,2278;3,1005;26,4184;3,4188;16,5948;26,4184;16,5948
2448,5575;31,1613;3,1367;31,3830;3,9877;20,6897;31,3830;20,6897
2487,9472;31,7154;3,0881;28,5461;2,8831;19,1195;28,5461;19,1195
2528,1003;30,0310;3,1477;31,9149;2,8281;20,6281;31,9149;20,6281
2567,3521;30,5186;3,1173;31,4716;2,6211;22,4446;31,4716;22,4446
2612,7922;32,8901;3,1312;36,2589;2,5084;23,2143;36,2589;23,2143
2651,9183;31,5381;3,1094;34,6631;2,4818;23,2759;34,6631;23,2759
2685,4268;31,7154;3,0333;28,9007;2,7228;20,9667;28,9007;20,9667
2722,6936;34,6188;2,9772;31,7376;2,5708;22,2906;31,7376;22,2906
2760,1863;32,8014;3,0883;33,4220;2,6355;23,1835;33,4220;23,1835
2798,2792;33,8209;2,9932;30,3191;2,8003;21,1207;30,3191;21,1207
2837,3960;34,9069;3,0097;35,5496;2,6755;25,9852;35,5496;25,9852
2875,9198;36,3475;2,9896;33,8652;3,1799;24,4150;33,8652;24,4150
2914,7337;34,6188;3,0432;30,6738;2,8970;21,1515;30,6738;21,1515
2954,9320;35,0621;2,9823;33,7766;2,6114;23,8608;33,7766;23,8608
2993,4004;37,0567;2,9643;33,9539;2,7350;24,6305;33,9539;24,6305
3032,2616;38,6746;2,9062;35,2837;2,4363;25,0308;35,2837;25,0308
3072,6370;35,7270;2,9826;34,6631;3,8618;23,7685;34,6631;23,7685
3110,2799;37,0124;2,9187;36,9681;2,4357;24,9692;36,9681;24,9692
3141,4857;39,8493;2,8437;37,2340;2,3416;24,3227;37,2340;24,3227
3178,6620;37,9211;2,8879;39,8936;2,3634;27,2167;39,8936;27,2167
3215,8803;36,9459;2,9641;39,8936;2,4723;26,4470;39,8936;26,4470
3252,3319;37,2119;2,9811;37,2340;2,5778;26,2007;37,2340;26,2007
3290,3761;39,2509;2,9385;33,5993;2,6434;23,6761;33,5993;23,6761
3330,5371;41,1791;2,8212;39,9823;2,5950;26,6010;39,9823;26,6010
3368,1845;42,3537;2,8119;42,1099;2,3584;27,7401;42,1099;27,7401
3409,2862;41,2677;2,8519;39,0071;2,2517;26,6933;39,0071;26,6933
3448,2646;38,8963;2,8715;41,0461;2,6696;28,0788;41,0461;28,0788
3487,7579;40,1596;2,8786;38,7411;2,3284;26,2931;38,7411;26,2931
3531,4579;40,2926;2,8907;38,9184;2,4714;28,3559;38,9184;28,3559
3576,2382;38,5195;2,9233;32,4468;2,6519;24,8153;32,4468;24,8153
3613,8684;39,1401;2,9670;37,5887;2,3552;26,5702;37,5887;26,5702
3655,4351;37,5665;2,9100;39,8050;2,6608;27,4938;39,8050;27,4938
