;config_762_avg;config_762_std;config_762_run_0;config_762_run_1;config_762_run_2
Standard_Acc;69,2967;0,5806;70,0355;69,2376;68,6170
RMSCE;0,0426;0,0089;0,0353;0,0374;0,0551
gaussian_noise;41,0846;0,8297;40,6303;42,2487;40,3748
shot_noise;39,8353;1,1307;40,1193;41,0562;38,3305
impulse_noise;39,4946;1,2755;40,0341;40,7155;37,7342
defocus_blur;23,6229;0,9893;24,1908;22,2317;24,4463
glass_blur;27,9103;0,8696;27,1721;27,4276;29,1312
motion_blur;35,8035;0,3431;35,5196;35,6048;36,2862
zoom_blur;33,5889;0,7239;32,8790;33,3049;34,5826
snow;35,0937;1,0292;36,5417;34,4974;34,2419
frost;37,3935;0,4868;36,9676;38,0750;37,1380
fog;45,2868;0,6610;46,0818;45,3152;44,4634
brightness;59,1993;1,5158;60,4770;60,0511;57,0698
contrast;51,8171;0,9770;53,0664;51,7036;50,6814
elastic_transform;56,4736;0,4343;56,0477;56,3032;57,0698
pixelate;58,2907;0,9340;59,1141;58,7734;56,9847
jpeg_compression;59,7672;0,5915;60,4770;59,7956;59,0290
speckle_noise;44,8893;0,1205;44,9744;44,9744;44,7189
gaussian_blur;26,7746;0,8121;25,8944;26,5758;27,8535
spatter;42,2203;0,6272;43,0153;41,4821;42,1635
saturate;56,1045;0,9050;57,2402;56,0477;55,0256
blue_noise_sample;43,8671;0,1840;43,6968;44,1227;43,7819
brownish_noise;60,5338;0,4249;60,9881;59,9659;60,6474
caustic_refraction;50,4543;0,3830;50,9370;50,0000;50,4259
checkerboard_cutout;48,4100;0,1062;48,5520;48,2964;48,3816
cocentric_sine_waves;28,4781;0,4525;27,9387;28,4497;29,0460
inverse_sparkles;34,0148;1,4427;34,3271;35,6048;32,1124
perlin_noise;51,0505;0,4631;51,1925;51,5332;50,4259
plasma_noise;44,7473;0,4249;45,3152;44,2930;44,6337
single_frequency_greyscale;37,8762;0,6861;38,8416;37,3083;37,4787
sparkles;61,1016;0,5664;61,4140;61,5843;60,3066
Acc_C-all-19;42,8764;0,2876;43,1812;42,9571;42,4908
Acc_C-original-15;42,9775;0,3400;43,2879;43,1403;42,5043
Acc_C-bar-10;46,0534;0,2474;46,3203;46,1158;45,7240
Acc_all-ex-pixelwise-noise-24;44,4172;0,2533;44,7580;44,3427;44,1511
RMSCE_C;0,1434;0,0036;0,1383;0,1462;0,1458
uniform-l1,1631.4,True,max;68,7943;0,5745;69,0603;69,3262;67,9965
uniform-l2,7.51,True,max;68,5875;0,5851;69,2376;68,7057;67,8191
uniform-linf,0.069,True,max;60,3132;1,7195;61,7021;61,3475;57,8901
uniform-l0.5,200000000.0,True,max;68,3215;0,5135;68,4397;68,8830;67,6418
uniform-l1,2500.0,True,max;68,6170;0,3830;68,7943;68,9716;68,0851
uniform-l2,8.0,True,max;68,4397;0,7830;69,2376;68,7057;67,3759
uniform-l10,0.07,True,max;68,8239;0,7940;69,5922;69,1489;67,7305
uniform-l50,0.035,True,max;68,7057;0,6981;69,3262;69,0603;67,7305
uniform-linf,0.015,True,max;69,0307;0,7030;69,7695;69,2376;68,0851
uniform-l0-impulse,0.01,True,max;63,0319;0,9041;62,6773;64,2730;62,1454
uniform-l0-impulse,0.02,True,max;58,7470;0,8992;58,1560;60,0177;58,0674
uniform-l0-impulse,0.05,True,max;49,3203;0,6156;48,5816;50,0887;49,2908
uniform-l0-impulse,0.1,True,max;41,1643;0,9774;41,1348;42,3759;39,9823
uniform-l0-impulse,0.2,True,max;30,4374;0,4710;30,4078;31,0284;29,8759
uniform-l0-impulse,0.5,True,max;14,3913;0,1822;14,1844;14,3617;14,6277
uniform-l0.5,200000000.0,False,max;68,0556;0,5433;68,4397;68,4397;67,2872
uniform-l0.5,500000000.0,False,max;62,9137;0,8071;63,6525;63,2979;61,7908
uniform-l0.5,1000000000.0,False,max;53,3983;1,3967;52,0390;55,3191;52,8369
uniform-l0.5,2000000000.0,False,max;40,8688;1,4692;40,5142;42,8191;39,2730
uniform-l0.5,5000000000.0,False,max;23,7293;1,0744;23,4043;25,1773;22,6064
uniform-l0.5,10000000000.0,False,max;13,7411;0,1448;13,5638;13,9184;13,7411
uniform-l1,1000.0,False,max;69,0898;0,5084;69,6809;69,1489;68,4397
uniform-l1,5000.0,False,max;65,2482;0,7129;65,5142;65,9574;64,2730
uniform-l1,10000.0,False,max;56,0284;0,9951;57,0922;56,2943;54,6986
uniform-l1,20000.0,False,max;42,2281;1,1128;41,5780;43,7943;41,3121
uniform-l1,50000.0,False,max;21,3357;0,0836;21,2766;21,4539;21,2766
uniform-l1,100000.0,False,max;8,9539;0,3317;9,3085;8,5106;9,0426
uniform-l2,5.0,False,max;69,1194;0,5433;69,7695;69,1489;68,4397
uniform-l2,10.0,False,max;68,1442;0,6156;68,1738;68,8830;67,3759
uniform-l2,20.0,False,max;64,1548;1,2955;65,0709;65,0709;62,3227
uniform-l2,50.0,False,max;49,1430;0,5481;48,6702;49,9113;48,8475
uniform-l2,100.0,False,max;33,0378;0,4654;32,6241;33,6879;32,8014
uniform-l2,200.0,False,max;14,2730;0,3830;14,0957;13,9184;14,8050
uniform-l10,0.05,False,max;69,3262;0,7660;70,0355;69,6809;68,2624
uniform-l10,0.1,False,max;68,6761;0,9307;69,1489;69,5035;67,3759
uniform-l10,0.2,False,max;65,0709;0,6310;65,4255;65,6028;64,1844
uniform-l10,0.5,False,max;52,9255;0,7238;52,9255;53,8121;52,0390
uniform-l10,1.0,False,max;36,9976;1,3451;35,6383;38,8298;36,5248
uniform-l10,2.0,False,max;15,9574;0,2895;16,3121;15,9574;15,6028
uniform-l50,0.02,False,max;69,0898;0,6955;69,8582;69,2376;68,1738
uniform-l50,0.05,False,max;68,2033;0,5528;68,7943;68,3511;67,4645
uniform-l50,0.1,False,max;64,3322;1,1315;64,5390;65,6028;62,8546
uniform-l50,0.2,False,max;54,5508;0,9108;54,6986;55,5851;53,3688
uniform-l50,0.5,False,max;33,1856;1,3056;33,0674;34,8404;31,6489
uniform-l50,1.0,False,max;12,1158;0,3987;12,5887;11,6135;12,1454
uniform-linf,0.02,False,max;69,1785;0,6528;69,9468;69,2376;68,3511
uniform-linf,0.05,False,max;67,8783;0,4820;68,2624;68,1738;67,1986
uniform-linf,0.1,False,max;63,0910;1,3587;64,0957;64,0071;61,1702
uniform-linf,0.2,False,max;50,1478;0,6528;50,0887;50,9752;49,3794
uniform-linf,0.5,False,max;27,2459;0,7030;27,0390;28,1915;26,5071
uniform-linf,1.0,False,max;8,6584;0,1106;8,6879;8,7766;8,5106
Class Separation Robustness;65,8983;0,9441;66,6667;66,4598;64,5686
imperceptible Robustness;68,6564;0,6283;69,1933;69,0012;67,7748
Average p-norm robustness;47,0759;0,5762;47,1610;47,7351;46,3315
