;Train-Train;Train-Test;Test-Test
non-zero images;4512,000000;1128,000000;1128,000000
Mean Distance;20033,244141;20240,421875;21097,679688
Minimal Distance;407,447266;4459,509766;5860,276367
2th;407,447266;4594,479492;5860,276367
3th;3203,496582;4769,450195;5963,971191
4th;3203,496582;5381,826172;6210,105957
5th;3262,894531;5610,775391;6210,105957
6th;3566,100586;5772,100098;6372,561523
7th;4299,678223;5865,657227;6372,561523
8th;4299,678223;5912,558594;6518,297852
9th;4609,286621;5999,677734;6518,297852
10th;4609,286621;6134,143066;6549,982422
11th;4758,439453;6159,181152;6607,270508
12th;4758,439453;6186,136719;6762,015625
13th;4825,343750;6275,094727;7039,927734
14th;4838,969727;6334,717773;7039,927734
15th;4981,822754;6353,725586;7111,551758
16th;5063,151367;6381,792969;7111,551758
17th;5063,151367;6447,682129;7328,447266
18th;5099,666992;6480,505371;7397,683105
19th;5219,814453;6492,495117;7757,139648
20th;5228,251465;6722,806152;7781,204102
21th;5427,086914;6909,710449;7789,640137
22th;5485,691406;7005,856934;7898,773926
23th;5485,691406;7096,121094;7898,773926
24th;5543,220215;7117,606934;8035,937012
25th;5549,044922;7133,582031;8038,089844
26th;5560,149902;7235,007812;8038,089844
27th;5560,149902;7255,988770;8150,015625
28th;5705,635742;7518,293457;8459,216797
29th;5744,459961;7599,408203;8459,216797
30th;5786,627930;7634,666016;8466,657227
31th;5822,199219;7686,490234;8569,509766
32th;5831,321777;7753,091797;8700,597656
33th;5831,321777;7795,250977;8735,396484
34th;5867,727539;7870,608398;8772,657227
35th;5868,547852;7929,094727;8975,125977
36th;5895,983398;7979,899414;8975,125977
37th;5915,856445;8042,230469;8979,252930
38th;5960,516113;8046,899414;8979,252930
39th;6011,206543;8091,603516;8983,208984
40th;6011,206543;8106,336914;8983,208984
41th;6052,240234;8176,826172;9074,488281
42th;6052,736328;8201,031250;9138,810547
43th;6087,279785;8218,081055;9322,690430
44th;6124,504883;8224,334961;9322,690430
45th;6124,504883;8232,789062;9381,324219
46th;6196,667480;8371,333984;9410,493164
47th;6196,997070;8382,454102;9475,191406
48th;6226,179688;8404,394531;9475,191406
49th;6228,211914;8436,236328;9495,578125
50th;6247,568359;8498,928711;9495,578125
51th;6279,307617;8504,548828;9532,870117
52th;6295,666992;8514,625000;9580,746094
53th;6316,535156;8514,766602;9580,746094
54th;6345,881836;8527,277344;9639,996094
55th;6354,061035;8535,260742;9778,352539
56th;6398,174316;8538,494141;9781,117188
57th;6449,829102;8578,830078;9864,409180
58th;6465,438477;8580,368164;9870,777344
59th;6564,038574;8598,581055;9914,015625
60th;6575,199219;8604,841797;9927,814453
61th;6583,196777;8666,505859;9944,988281
62th;6583,745605;8672,557617;9969,034180
63th;6596,647461;8731,743164;9989,036133
64th;6618,135742;8744,866211;10034,849609
65th;6618,135742;8761,002930;10034,849609
66th;6692,476074;8764,099609;10042,742188
67th;6692,476074;8765,244141;10045,813477
68th;6709,919922;8796,476562;10082,462891
69th;6709,919922;8841,555664;10082,462891
70th;6742,984375;8854,369141;10087,261719
71th;6742,984375;8857,697266;10112,500000
72th;6820,375000;8880,194336;10153,341797
73th;6834,851562;8920,384766;10170,136719
74th;6835,193359;8943,678711;10224,982422
75th;6869,854492;8948,557617;10242,236328
76th;6874,152344;8953,960938;10249,072266
77th;6894,871094;9015,626953;10249,409180
