;config_11_avg
Standard_Acc;97,6667
RMSCE;0,0495
gaussian_noise;12,3704
shot_noise;12,5185
impulse_noise;14,8333
defocus_blur;59,4259
glass_blur;44,9074
motion_blur;82,7407
zoom_blur;66,2593
snow;30,0370
frost;38,7037
fog;50,2593
brightness;60,4074
contrast;33,4259
elastic_transform;90,5556
pixelate;92,0741
jpeg_compression;65,7037
speckle_noise;11,2593
gaussian_blur;46,8148
spatter;34,5556
saturate;51,9259
blue_noise_sample;23,7407
brownish_noise;39,2222
caustic_refraction;32,0556
checkerboard_cutout;46,0741
cocentric_sine_waves;14,3148
inverse_sparkles;24,7037
perlin_noise;38,1667
plasma_noise;14,2963
single_frequency_greyscale;24,8333
sparkles;62,5370
Acc_C-all-19;47,3041
Acc_C-original-15;50,2815
Acc_C-bar-10;31,9944
Acc_all-ex-pixelwise-noise-24;47,6667
RMSCE_C;0,4604
uniform-l1,34.09,True,max;96,5000
uniform-l2,0.4137,True,max;97,0185
uniform-linf,0.0157,True,max;62,0556
uniform-l0.5,700000.0,True,max;73,1111
uniform-l1,125.0,True,max;67,4630
uniform-l2,2.0,True,max;51,1296
uniform-l10,0.06,True,max;57,5741
uniform-l50,0.04,True,max;44,2407
uniform-linf,0.01,True,max;79,9259
uniform-l0-impulse,0.01,True,max;27,6296
uniform-l0-impulse,0.02,True,max;13,5185
uniform-l0-impulse,0.05,True,max;11,1667
uniform-l0-impulse,0.1,True,max;11,1111
uniform-l0-impulse,0.2,True,max;11,1111
uniform-l0-impulse,0.5,True,max;11,1111
uniform-l0.5,500000.0,False,max;82,3333
uniform-l0.5,1000000.0,False,max;51,2037
uniform-l0.5,2000000.0,False,max;22,2037
uniform-l0.5,5000000.0,False,max;11,5556
uniform-l0.5,10000000.0,False,max;11,1111
uniform-l0.5,20000000.0,False,max;11,1111
uniform-l1,100.0,False,max;76,3333
uniform-l1,200.0,False,max;38,7593
uniform-l1,500.0,False,max;13,3704
uniform-l1,1000.0,False,max;11,1481
uniform-l1,2000.0,False,max;11,1111
uniform-l1,5000.0,False,max;11,1111
uniform-l2,1.0,False,max;82,4630
uniform-l2,2.0,False,max;51,1481
uniform-l2,5.0,False,max;15,6481
uniform-l2,10.0,False,max;11,3148
uniform-l2,20.0,False,max;11,1111
uniform-l2,50.0,False,max;11,1111
uniform-l10,0.05,False,max;69,7222
uniform-l10,0.1,False,max;31,3148
uniform-l10,0.2,False,max;13,5370
uniform-l10,0.5,False,max;11,1111
uniform-l10,1.0,False,max;11,1111
uniform-l10,2.0,False,max;11,1111
uniform-l50,0.02,False,max;79,5185
uniform-l50,0.05,False,max;33,9259
uniform-l50,0.1,False,max;14,1111
uniform-l50,0.2,False,max;11,2037
uniform-l50,0.5,False,max;11,1111
uniform-l50,1.0,False,max;11,1111
uniform-linf,0.01,False,max;91,5556
uniform-linf,0.02,False,max;76,4074
uniform-linf,0.05,False,max;29,3148
uniform-linf,0.1,False,max;13,1852
uniform-linf,0.2,False,max;11,1667
uniform-linf,0.5,False,max;11,1111
Class Separation Robustness;85,1914
imperceptible Robustness;62,2407
Average p-norm robustness;27,6530
