time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
52,4033;25,9907;2,2114;43,4074;1,7533;34,1207;43,4074;34,1207
108,2315;46,6512;2,0020;54,0926;1,4547;38,3103;54,0926;38,3103
159,7052;52,1944;1,9348;70,7222;1,1038;48,3103;70,7222;48,3103
212,2001;54,2531;1,9090;55,4815;1,2983;40,7241;55,4815;40,7241
263,0960;57,0478;1,8713;72,3704;1,0538;47,3793;72,3704;47,3793
314,1432;60,4367;1,8336;72,4630;0,9885;48,4828;72,4630;48,4828
363,0382;66,4275;1,7523;73,4074;0,9330;50,1897;73,4074;50,1897
412,9508;66,6667;1,7536;77,7963;0,8250;51,7931;77,7963;51,7931
458,8533;70,4151;1,6834;77,7778;0,7174;53,2931;77,7778;53,2931
507,2408;72,2485;1,6591;86,2963;0,7669;56,9310;86,2963;56,9310
555,4651;73,8735;1,6395;80,7593;0,8063;53,5517;80,7593;53,5517
601,4102;76,0725;1,5861;78,3148;0,8394;50,9828;78,3148;50,9828
649,3130;77,2083;1,5787;83,6667;0,6705;53,5345;83,6667;53,5345
697,8689;79,6651;1,5389;89,0000;0,4929;57,0172;89,0000;57,0172
747,5555;78,4182;1,5350;88,1296;0,6700;59,6034;88,1296;59,6034
795,4631;79,4336;1,5060;86,8148;0,6070;55,5345;86,8148;55,5345
842,6426;80,6111;1,4769;90,6296;0,4095;55,7241;90,6296;55,7241
892,4493;79,6358;1,5142;84,7222;0,6223;55,4828;84,7222;55,4828
942,7398;79,8040;1,4849;90,5000;0,4894;56,8793;90,5000;56,8793
991,1799;79,2515;1,5056;91,7778;0,4793;60,7759;91,7778;60,7759
1043,7138;81,7978;1,4792;89,0185;0,4879;57,3276;89,0185;57,3276
1099,0899;81,0401;1,4520;92,9259;0,4879;62,0862;92,9259;62,0862
1155,1740;80,9012;1,4527;89,0741;0,5808;57,2241;89,0741;57,2241
1203,4047;83,0062;1,4070;93,7222;0,3714;58,4655;93,7222;58,4655
1251,6511;81,5725;1,4397;92,1481;0,4716;59,9138;92,1481;59,9138
1303,2675;80,5509;1,4474;92,6111;0,4812;59,0172;92,6111;59,0172
1352,0817;82,1883;1,4315;95,8519;0,4779;63,9138;95,8519;63,9138
1401,3553;82,8133;1,4047;94,7778;0,3523;60,7931;94,7778;60,7931
1449,4402;81,9599;1,4238;93,7222;0,3690;60,6897;93,7222;60,6897
1499,4481;82,1080;1,4185;94,3704;0,4006;61,6724;94,3704;61,6724
1552,0537;81,9120;1,4343;93,1296;0,4027;62,0172;93,1296;62,0172
1604,8421;81,5910;1,4093;91,8333;0,5208;58,2586;91,8333;58,2586
1653,8265;83,9182;1,3843;95,0741;0,5260;63,9828;95,0741;63,9828
1700,4217;84,7963;1,3358;95,2407;0,2964;60,9828;95,2407;60,9828
1748,9219;81,4985;1,3972;94,0556;0,3681;58,5345;94,0556;58,5345
1795,6138;86,1343;1,3454;95,6852;0,4806;62,4655;95,6852;62,4655
1845,0824;83,3148;1,3921;95,2407;0,3378;62,4828;95,2407;62,4828
1892,9845;83,6204;1,3756;95,2593;0,3245;63,8103;95,2593;63,8103
1947,4079;82,1574;1,4237;94,2593;0,3196;61,4655;94,2593;61,4655
1994,4595;84,6373;1,3594;95,2593;0,5318;60,2241;95,2593;60,2241
2043,5159;83,9846;1,3536;94,6296;0,3947;62,9483;94,6296;62,9483
2095,8408;83,4028;1,3660;95,6667;0,4512;63,0517;95,6667;63,0517
2147,6455;84,3781;1,3447;95,0370;0,4046;65,2759;95,0370;65,2759
2197,9721;85,3133;1,3480;93,8333;0,3393;60,3793;93,8333;60,3793
2252,6001;84,3781;1,3350;95,8889;0,5663;63,6724;95,8889;63,6724
2304,6429;85,5000;1,3313;95,7593;0,3156;61,4655;95,7593;61,4655
2356,2393;85,0154;1,3379;96,2778;0,3494;62,6724;96,2778;62,6724
2406,8308;84,3966;1,3307;95,6667;0,3518;61,4138;95,6667;61,4138
2458,6320;85,3580;1,3347;97,0000;0,3912;65,7586;97,0000;65,7586
2506,4060;84,2747;1,3323;95,7222;0,2883;61,2931;95,7222;61,2931
2559,3805;85,4522;1,3140;96,6852;0,2721;61,9828;96,6852;61,9828
2610,5738;84,3796;1,3015;96,9815;0,3591;64,2241;96,9815;64,2241
2663,7833;86,0386;1,3161;96,1296;0,2854;61,6034;96,1296;61,6034
2714,7501;85,2932;1,3225;95,2222;0,3772;60,7586;95,2222;60,7586
2768,2016;84,3395;1,3505;96,5370;0,2688;61,3966;96,5370;61,3966
2817,1569;85,0648;1,3261;94,1481;0,4000;60,7759;94,1481;60,7759
2864,4199;86,2762;1,2902;97,0556;0,2847;63,2414;97,0556;63,2414
2921,4198;86,1775;1,3193;95,8148;0,3009;61,7931;95,8148;61,7931
2973,0777;84,6944;1,3138;96,7778;0,2762;63,1379;96,7778;63,1379
3029,6724;86,5556;1,2950;96,6111;0,2780;63,0517;96,6111;63,0517
3077,7002;86,1867;1,2886;96,7222;0,4131;63,6724;96,7222;63,6724
3125,8798;85,5880;1,3097;96,3519;0,3382;62,8966;96,3519;62,8966
3174,2932;85,7315;1,3352;96,9259;0,3788;64,3448;96,9259;64,3448
3223,4754;86,1821;1,2890;96,8889;0,2550;63,2069;96,8889;63,2069
3271,8015;87,8302;1,2449;97,2593;0,2331;63,5690;97,2593;63,5690
3318,1119;87,5170;1,2681;97,0741;0,3178;62,8448;97,0741;62,8448
3367,5392;86,7037;1,2812;96,2407;0,3716;62,6552;96,2407;62,6552
3417,3231;89,0833;1,2384;97,3519;0,2447;63,1034;97,3519;63,1034
3464,8819;86,9151;1,2647;97,1852;0,2469;63,0862;97,1852;63,0862
3515,7593;87,7469;1,2449;97,2963;0,3915;64,6552;97,2963;64,6552
3564,6873;87,4120;1,2701;96,5185;0,2708;63,0345;96,5185;63,0345
3613,6258;86,0046;1,2643;97,4815;0,2521;65,5172;97,4815;65,5172
3662,8353;87,0355;1,2781;97,3889;0,3702;64,5517;97,3889;64,5517
3712,4505;86,0139;1,2544;97,5926;0,2327;64,4138;97,5926;64,4138
3761,8056;86,1775;1,2681;97,4259;0,2623;64,2586;97,4259;64,2586
3812,5492;88,3225;1,2252;97,5370;0,2366;63,3103;97,5370;63,3103
3869,2004;87,3735;1,2526;97,5926;0,2468;64,4655;97,5926;64,4655
3930,9869;89,0463;1,2286;97,6481;0,2577;64,3276;97,7778;65,9138
3986,5799;88,2191;1,2350;97,7037;0,2275;64,1034;97,6667;65,6379
4040,1470;86,8133;1,2649;97,7407;0,3105;65,8793;97,5000;64,4483
4093,1075;88,2315;1,2567;97,2593;0,2386;65,6034;97,5741;65,2759
4143,9697;87,9074;1,2364;96,8519;0,3060;62,9138;97,4630;63,6552
4197,8432;85,7469;1,3029;97,5926;0,3521;66,9655;96,7593;62,6724
4247,8760;89,3765;1,2064;97,7778;0,2418;64,4655;97,6667;63,5862
4301,8093;86,2994;1,2872;97,1852;0,2974;64,6552;97,3333;63,8966
4353,8328;87,4028;1,2683;97,5556;0,3150;65,8793;97,7778;66,9483
4406,6690;88,9167;1,2510;97,0000;0,3529;64,6552;97,7963;65,6897
4461,5007;87,2022;1,2275;97,5741;0,3916;64,9483;97,6111;66,7931
4516,7414;87,2361;1,2386;97,7222;0,2300;64,7241;96,8519;64,6724
4566,4801;86,5247;1,2467;97,7037;0,3123;63,2931;95,4444;63,3103
4617,5735;86,0864;1,2507;97,5926;0,3804;65,5172;96,3704;64,7931
4667,3571;87,4182;1,2367;96,8889;0,2548;63,2069;96,7222;64,3448
4722,1663;85,9691;1,2849;97,6111;0,2786;64,5000;95,7037;61,3966
4781,4399;87,8580;1,2449;97,7222;0,2487;64,2586;95,3148;63,2759
4839,0396;87,2083;1,2599;97,5370;0,2862;64,8276;96,6852;62,7586
4897,9911;88,5478;1,2287;97,4074;0,2821;63,4483;95,9815;62,8793
4952,1029;87,7222;1,2376;96,7407;0,2870;64,1207;96,6667;63,8448
5005,2608;87,9892;1,2602;97,3519;0,2953;63,6379;96,4444;64,8793
5057,6535;87,6991;1,2321;97,3148;0,2638;63,5000;96,5185;62,6379
5114,3952;87,7562;1,2474;96,8148;0,2966;63,2586;96,7407;63,6552
