;config_295_avg;config_295_std;config_295_run_0;config_295_run_1;config_295_run_2
Standard_Acc;98,2037;0,1966;98,3519;97,9259;98,3333
RMSCE;0,0382;0,0031;0,0397;0,0339;0,0410
gaussian_noise;29,4012;1,2062;27,7778;29,7593;30,6667
shot_noise;36,6173;1,6353;34,5556;36,7407;38,5556
impulse_noise;36,7037;0,8539;37,2222;35,5000;37,3889
defocus_blur;72,6420;0,4823;71,9630;73,0370;72,9259
glass_blur;55,5926;1,4300;55,8148;57,2222;53,7407
motion_blur;88,6049;0,8255;87,6296;89,6481;88,5370
zoom_blur;78,0123;0,1666;78,0000;78,2222;77,8148
snow;46,4012;0,8411;47,3889;46,4815;45,3333
frost;47,1481;1,7029;47,5556;49,0000;44,8889
fog;77,3519;2,1745;76,6481;80,2963;75,1111
brightness;90,4136;0,4592;91,0370;89,9444;90,2593
contrast;68,9012;1,5822;66,9074;69,0185;70,7778
elastic_transform;96,0494;0,3978;96,6111;95,7407;95,7963
pixelate;96,8148;0,3124;97,2222;96,4630;96,7593
jpeg_compression;73,3889;0,7335;73,9259;73,8889;72,3519
speckle_noise;27,7716;1,3751;26,0000;27,9630;29,3519
gaussian_blur;63,8827;0,6264;63,5556;64,7593;63,3333
spatter;51,0370;1,9458;50,5926;48,9074;53,6111
saturate;77,9630;1,1032;78,9630;78,5000;76,4259
blue_noise_sample;37,3210;1,9863;37,8519;34,6667;39,4444
brownish_noise;58,3457;1,0632;56,8519;58,9444;59,2407
caustic_refraction;38,5123;1,7274;38,3519;40,7037;36,4815
checkerboard_cutout;50,6975;0,7096;51,3148;49,7037;51,0741
cocentric_sine_waves;25,3395;1,8801;27,1852;22,7593;26,0741
inverse_sparkles;31,6235;1,1311;30,7778;33,2222;30,8704
perlin_noise;37,3086;1,5001;37,0556;39,2593;35,6111
plasma_noise;28,3704;0,6781;28,1852;29,2778;27,6481
single_frequency_greyscale;26,8086;1,6808;25,2037;29,1296;26,0926
sparkles;74,5000;1,4280;75,9444;72,5556;75,0000
Acc_C-all-19;63,9314;0,2550;63,6511;64,2680;63,8752
Acc_C-original-15;66,2695;0,3267;66,0173;66,7309;66,0605
Acc_C-bar-10;40,8827;0,1099;40,8722;41,0222;40,7537
Acc_all-ex-pixelwise-noise-24;60,6546;0,3572;60,6119;61,1119;60,2400
RMSCE_C;0,2942;0,0035;0,2979;0,2894;0,2952
uniform-l1,34.09,False,max;97,8889;0,1744;98,1296;97,7222;97,8148
uniform-l2,0.4137,False,max;97,9691;0,1286;98,1481;97,8519;97,9074
uniform-linf,0.0157,False,max;95,9136;1,2006;96,6296;96,8889;94,2222
uniform-l0.5,700000.0,True,max;94,2901;1,6774;95,0556;95,8519;91,9630
uniform-l1,125.0,True,max;92,9198;1,6066;93,5185;94,5185;90,7222
uniform-l2,2.0,True,max;90,6111;1,2479;90,3333;92,2593;89,2407
uniform-l10,0.06,True,max;91,7778;1,4367;91,7407;93,5556;90,0370
uniform-l50,0.04,True,max;88,5309;1,2637;87,1852;90,2222;88,1852
uniform-linf,0.01,True,max;95,4383;1,2860;96,0556;96,6111;93,6481
uniform-l0-impulse,0.01,True,max;73,7531;0,7411;74,6481;72,8333;73,7778
uniform-l0-impulse,0.02,True,max;53,6975;3,0701;56,7037;49,4815;54,9074
uniform-l0-impulse,0.05,True,max;25,3580;0,8663;25,4815;24,2407;26,3519
uniform-l0-impulse,0.1,True,max;11,2778;0,0151;11,2593;11,2778;11,2963
uniform-l0-impulse,0.2,True,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l0-impulse,0.5,True,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l0.5,500000.0,False,max;96,1235;1,1234;96,6852;97,1296;94,5556
uniform-l0.5,1000000.0,False,max;91,2531;1,2134;91,3889;92,6667;89,7037
uniform-l0.5,2000000.0,False,max;75,4691;3,5049;71,4630;74,9444;80,0000
uniform-l0.5,5000000.0,False,max;36,0062;1,3720;34,0926;37,2407;36,6852
uniform-l0.5,10000000.0,False,max;11,9877;0,0315;12,0185;11,9444;12,0000
uniform-l0.5,20000000.0,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l1,100.0,False,max;94,4938;1,4803;95,1481;95,8889;92,4444
uniform-l1,200.0,False,max;86,6420;1,4860;84,5741;88,0000;87,3519
uniform-l1,500.0,False,max;53,0247;1,8090;50,4815;54,0556;54,5370
uniform-l1,1000.0,False,max;20,1420;0,9904;18,8519;20,3148;21,2593
uniform-l1,2000.0,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l1,5000.0,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l2,1.0,False,max;96,0679;1,1776;96,6481;97,1296;94,4259
uniform-l2,2.0,False,max;90,5679;1,3099;90,0370;92,3704;89,2963
uniform-l2,5.0,False,max;63,6296;2,8502;60,1481;63,6111;67,1296
uniform-l2,10.0,False,max;30,9074;1,4748;28,8519;32,2407;31,6296
uniform-l2,20.0,False,max;11,1235;0,0175;11,1111;11,1481;11,1111
uniform-l2,50.0,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l10,0.05,False,max;93,3765;1,4783;93,8704;94,8889;91,3704
uniform-l10,0.1,False,max;81,5494;2,5771;78,0370;82,4630;84,1481
uniform-l10,0.2,False,max;54,2284;2,0404;51,3889;55,2037;56,0926
uniform-l10,0.5,False,max;12,8642;0,1950;12,6667;12,7963;13,1296
uniform-l10,1.0,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l10,2.0,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l50,0.02,False,max;95,3395;1,4370;95,7037;96,8889;93,4259
uniform-l50,0.05,False,max;83,5062;2,1433;80,5370;84,4630;85,5185
uniform-l50,0.1,False,max;57,3272;2,1566;54,4630;57,8519;59,6667
uniform-l50,0.2,False,max;24,4630;1,3474;22,6111;25,0000;25,7778
uniform-l50,0.5,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-l50,1.0,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
uniform-linf,0.01,False,max;97,4383;0,3717;97,8704;97,4815;96,9630
uniform-linf,0.02,False,max;94,4877;1,5538;95,0370;96,0556;92,3704
uniform-linf,0.05,False,max;80,4815;2,9652;76,6481;80,9259;83,8704
uniform-linf,0.1,False,max;52,2901;1,9776;49,5000;53,5185;53,8519
uniform-linf,0.2,False,max;18,7901;0,9792;17,4630;19,1111;19,7963
uniform-linf,0.5,False,max;11,1111;0,0000;11,1111;11,1111;11,1111
Class Separation Robustness;97,2572;0,4349;97,6358;97,4877;96,6481
imperceptible Robustness;92,2613;1,3085;92,3148;93,8364;90,6327
Average p-norm robustness;47,3783;0,5436;46,6098;47,7474;47,7778
