;config_130_avg;config_130_std;config_130_run_0;config_130_run_1;config_130_run_2
Standard_Acc;40,2667;1,5434;42,4000;38,8000;39,6000
RMSCE;0,1518;0,0055;0,1541;0,1572;0,1443
gaussian_noise;28,9456;0,6483;29,0766;29,6660;28,0943
shot_noise;26,9155;0,2778;27,1120;26,5226;27,1120
impulse_noise;27,6359;0,3705;27,8978;27,1120;27,8978
defocus_blur;26,4571;0,4037;25,9332;26,9155;26,5226
glass_blur;21,2836;0,3339;21,6110;20,8251;21,4145
motion_blur;34,0537;0,9669;34,1847;32,8094;35,1670
zoom_blur;32,8749;0,4901;32,2200;33,0059;33,3988
snow;20,5632;0,4037;20,0393;20,6287;21,0216
frost;20,8906;0,9399;20,0393;22,2004;20,4322
fog;22,7898;1,2111;22,5933;24,3615;21,4145
brightness;31,3687;0,6483;31,2377;30,6483;32,2200
contrast;23,7066;0,4037;23,7721;23,1827;24,1650
elastic_transform;37,5246;2,2458;38,7033;34,3811;39,4892
pixelate;37,8520;1,9138;39,4892;35,1670;38,8998
jpeg_compression;37,0661;1,2146;37,7210;35,3635;38,1139
speckle_noise;28,5527;0,8232;29,6660;28,2908;27,7014
gaussian_blur;17,8127;0,4901;17,6817;18,4676;17,2888
spatter;32,3510;0,8074;32,2200;33,3988;31,4342
saturate;26,5226;2,2458;26,5226;29,2731;23,7721
blue_noise_sample;26,5226;1,1229;24,9509;27,5049;27,1120
brownish_noise;29,0111;1,5580;30,6483;26,9155;29,4695
caustic_refraction;35,7564;1,5799;37,9175;35,1670;34,1847
checkerboard_cutout;35,8874;1,8592;38,5069;34,7741;34,3811
cocentric_sine_waves;28,8802;1,1229;29,8625;29,4695;27,3084
inverse_sparkles;26,9810;1,5826;27,8978;24,7544;28,2908
perlin_noise;31,8271;1,3892;33,7917;30,8448;30,8448
plasma_noise;19,6464;0,3208;19,6464;20,0393;19,2534
single_frequency_greyscale;29,0111;1,7670;26,5226;30,4519;30,0589
sparkles;38,8343;1,1267;40,2750;37,5246;38,7033
Acc_C-all-19;28,1667;0,1191;28,3011;28,0116;28,1874
Acc_C-original-15;28,6619;0,3515;28,7754;28,1860;29,0242
Acc_C-bar-10;30,2358;0,5489;31,0020;29,7446;29,9607
Acc_all-ex-pixelwise-noise-24;29,1230;0,3181;29,5432;28,7737;29,0521
RMSCE_C;0,2373;0,0075;0,2480;0,2318;0,2322
uniform-l1,8269.2,False,max;34,9333;1,0873;33,4000;35,8000;35,6000
uniform-l2,27.179,False,max;35,3333;0,8380;34,2000;35,6000;36,2000
uniform-linf,0.2557,False,max;31,2000;0,9933;30,4000;32,6000;30,6000
uniform-l0.5,200000000.0,True,max;39,5333;1,7913;42,0000;37,8000;38,8000
uniform-l1,2500.0,True,max;39,7333;1,8927;42,2000;37,6000;39,4000
uniform-l2,8.0,True,max;39,8000;1,7205;42,0000;37,8000;39,6000
uniform-l10,0.07,True,max;39,8000;1,7049;42,2000;38,4000;38,8000
uniform-l50,0.035,True,max;39,8000;1,8547;42,4000;38,2000;38,8000
uniform-linf,0.015,True,max;39,7333;1,6111;42,0000;38,4000;38,8000
uniform-l0-impulse,0.01,True,max;37,6000;0,3266;37,2000;38,0000;37,6000
uniform-l0-impulse,0.02,True,max;35,4667;0,6182;34,6000;35,8000;36,0000
uniform-l0-impulse,0.05,True,max;31,5333;0,9843;30,4000;31,4000;32,8000
uniform-l0-impulse,0.1,True,max;28,4000;1,0708;28,2000;29,8000;27,2000
uniform-l0-impulse,0.2,True,max;23,6667;0,4110;24,2000;23,6000;23,2000
uniform-l0-impulse,0.5,True,max;14,5333;1,7613;17,0000;13,6000;13,0000
uniform-l0.5,200000000.0,False,max;39,8000;1,8833;42,4000;38,0000;39,0000
uniform-l0.5,500000000.0,False,max;36,8000;0,9798;36,8000;35,6000;38,0000
uniform-l0.5,1000000000.0,False,max;33,3333;0,6600;32,4000;33,8000;33,8000
uniform-l0.5,2000000000.0,False,max;28,5333;0,5735;28,6000;29,2000;27,8000
uniform-l0.5,5000000000.0,False,max;21,6667;1,2257;23,4000;20,8000;20,8000
uniform-l0.5,10000000000.0,False,max;14,3333;1,7461;16,2000;14,8000;12,0000
uniform-l1,1000.0,False,max;40,1333;1,7613;42,6000;38,6000;39,2000
uniform-l1,5000.0,False,max;38,2000;0,7483;39,0000;37,2000;38,4000
uniform-l1,10000.0,False,max;33,6667;1,4817;31,6000;34,4000;35,0000
uniform-l1,20000.0,False,max;29,3333;0,8055;29,8000;30,0000;28,2000
uniform-l1,50000.0,False,max;20,4000;1,7664;22,8000;19,8000;18,6000
uniform-l1,100000.0,False,max;12,3333;1,7988;14,6000;12,2000;10,2000
uniform-l2,5.0,False,max;39,9333;1,8927;42,6000;38,4000;38,8000
uniform-l2,10.0,False,max;39,6000;1,3952;41,4000;38,0000;39,4000
uniform-l2,20.0,False,max;37,4667;0,5735;37,4000;36,8000;38,2000
uniform-l2,50.0,False,max;31,5333;0,4989;31,0000;32,2000;31,4000
uniform-l2,100.0,False,max;25,6667;1,3300;26,8000;26,4000;23,8000
uniform-l2,200.0,False,max;15,4667;1,8571;18,0000;14,8000;13,6000
