time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
10,1336;10,2500;2,4958;10,0000;2,3207;9,6552;10,0000;9,6552
36,5207;11,2500;2,4470;10,0000;2,3321;9,6552;10,0000;9,6552
66,5471;9,5000;2,4189;10,0000;2,3271;10,3448;10,0000;10,3448
83,9727;10,0000;2,3767;11,0000;2,3206;9,6552;11,0000;9,6552
100,2475;6,7500;2,4265;8,0000;2,3364;6,8966;8,0000;6,8966
126,5452;9,2500;2,4073;10,0000;2,4661;10,3448;10,0000;10,3448
153,4443;13,2500;2,4571;11,0000;2,6345;11,3793;11,0000;11,3793
170,1215;11,5000;2,4665;10,0000;4,5793;10,0000;10,0000;10,0000
182,0313;13,7500;2,6108;10,0000;4,4575;13,7931;10,0000;13,7931
198,4092;10,7500;2,7165;9,0000;8,3608;8,6207;9,0000;8,6207
210,2384;12,7500;2,7616;9,0000;6,5169;9,6552;9,0000;9,6552
220,2104;11,7500;2,6213;10,0000;12,3597;10,3448;10,0000;10,3448
231,5319;11,2500;2,6908;11,0000;7,2458;8,9655;11,0000;8,9655
247,2917;13,0000;2,6576;10,0000;7,7478;9,6552;10,0000;9,6552
271,5095;13,2500;2,6097;12,0000;6,1106;10,0000;12,0000;10,0000
286,1490;11,5000;2,6788;13,0000;7,9126;12,7586;13,0000;12,7586
297,1647;10,7500;3,1096;15,0000;4,0664;12,4138;15,0000;12,4138
310,1364;11,7500;2,6802;10,0000;5,6204;9,3103;10,0000;9,3103
330,9985;12,0000;2,8370;18,0000;3,2773;13,4483;18,0000;13,4483
347,2923;12,7500;3,0750;11,0000;3,6902;11,3793;11,0000;11,3793
359,7796;12,7500;2,9097;13,0000;3,3794;13,7931;13,0000;13,7931
372,1725;14,2500;2,7553;10,0000;4,8303;9,3103;10,0000;9,3103
383,5182;12,7500;3,0887;19,0000;2,6376;20,6897;19,0000;20,6897
401,4120;15,2500;2,7272;19,0000;2,3074;17,5862;19,0000;17,5862
431,5855;15,7500;2,6499;14,0000;3,1123;9,3103;14,0000;9,3103
454,4681;11,7500;2,8005;19,0000;2,3594;20,6897;19,0000;20,6897
478,9718;17,7500;2,9060;14,0000;3,0179;10,6897;14,0000;10,6897
508,0470;13,5000;2,7571;18,0000;2,6938;16,5517;18,0000;16,5517
534,9626;18,0000;2,9709;16,0000;9,3590;16,2069;16,0000;16,2069
557,2802;18,5000;2,8402;23,0000;2,2669;22,7586;23,0000;22,7586
576,8373;21,7500;2,5051;25,0000;2,3507;25,1724;25,0000;25,1724
607,1633;16,7500;2,9350;21,0000;2,6283;17,9310;21,0000;17,9310
628,5606;16,0000;2,6245;20,0000;40,6700;20,3448;20,0000;20,3448
655,4662;17,2500;3,0579;18,0000;66,4217;18,6207;18,0000;18,6207
685,9042;14,7500;2,6920;18,0000;33,2577;15,8621;18,0000;15,8621
717,7595;13,0000;2,6279;19,0000;3,2167;16,2069;19,0000;16,2069
750,2121;14,5000;2,5286;20,0000;2,4018;20,6897;20,0000;20,6897
779,5833;20,0000;2,5915;22,0000;2,2900;21,7241;22,0000;21,7241
809,3690;21,2500;2,2280;24,0000;2,0764;25,8621;24,0000;25,8621
