;config_77_avg
Standard_Acc;40,0000
RMSCE;0,1648
gaussian_noise;27,8978
shot_noise;24,7544
impulse_noise;26,7191
defocus_blur;23,5756
glass_blur;20,8251
motion_blur;29,2731
zoom_blur;29,0766
snow;21,4145
frost;21,8075
fog;21,0216
brightness;31,2377
contrast;19,4499
elastic_transform;36,3458
pixelate;35,7564
jpeg_compression;37,1316
speckle_noise;27,5049
gaussian_blur;16,5029
spatter;30,0589
saturate;25,7367
blue_noise_sample;23,5756
brownish_noise;29,2731
caustic_refraction;34,5776
checkerboard_cutout;36,9352
cocentric_sine_waves;28,4872
inverse_sparkles;26,9155
perlin_noise;31,4342
plasma_noise;20,4322
single_frequency_greyscale;24,5580
sparkles;38,7033
Acc_C-all-19;26,6363
Acc_C-original-15;27,0858
Acc_C-bar-10;29,4892
Acc_all-ex-pixelwise-noise-24;27,9388
RMSCE_C;0,2564
uniform-l1,8269.2,False,max;32,0000
uniform-l2,27.179,False,max;31,8000
uniform-linf,0.2557,False,max;28,8000
uniform-l0.5,200000000.0,True,max;38,6000
uniform-l1,2500.0,True,max;38,4000
uniform-l2,8.0,True,max;38,0000
uniform-l10,0.07,True,max;39,4000
uniform-l50,0.035,True,max;39,2000
uniform-linf,0.015,True,max;39,4000
uniform-l0-impulse,0.01,True,max;35,8000
uniform-l0-impulse,0.02,True,max;33,0000
uniform-l0-impulse,0.05,True,max;31,0000
uniform-l0-impulse,0.1,True,max;27,2000
uniform-l0-impulse,0.2,True,max;23,8000
uniform-l0-impulse,0.5,True,max;17,4000
uniform-l0.5,200000000.0,False,max;38,4000
uniform-l0.5,500000000.0,False,max;34,8000
uniform-l0.5,1000000000.0,False,max;32,2000
uniform-l0.5,2000000000.0,False,max;27,8000
uniform-l0.5,5000000000.0,False,max;21,0000
uniform-l0.5,10000000000.0,False,max;16,4000
uniform-l1,1000.0,False,max;39,4000
uniform-l1,5000.0,False,max;35,8000
uniform-l1,10000.0,False,max;31,6000
uniform-l1,20000.0,False,max;28,2000
uniform-l1,50000.0,False,max;20,2000
uniform-l1,100000.0,False,max;13,4000
uniform-l2,5.0,False,max;39,8000
uniform-l2,10.0,False,max;38,8000
uniform-l2,20.0,False,max;34,8000
uniform-l2,50.0,False,max;30,8000
uniform-l2,100.0,False,max;24,6000
uniform-l2,200.0,False,max;16,0000
uniform-l10,0.05,False,max;39,8000
uniform-l10,0.1,False,max;38,6000
uniform-l10,0.2,False,max;36,4000
uniform-l10,0.5,False,max;31,0000
uniform-l10,1.0,False,max;27,0000
uniform-l10,2.0,False,max;17,0000
uniform-l50,0.02,False,max;39,6000
uniform-l50,0.05,False,max;38,6000
uniform-l50,0.1,False,max;35,6000
uniform-l50,0.2,False,max;30,8000
uniform-l50,0.5,False,max;26,2000
uniform-l50,1.0,False,max;15,4000
uniform-linf,0.02,False,max;39,6000
uniform-linf,0.05,False,max;38,8000
uniform-linf,0.1,False,max;34,0000
uniform-linf,0.2,False,max;31,2000
uniform-linf,0.5,False,max;23,2000
uniform-linf,1.0,False,max;13,2000
Class Separation Robustness;30,8667
imperceptible Robustness;38,8333
Average p-norm robustness;29,7190
