;config_162_avg
Standard_Acc;99,6754
RMSCE;0,0718
gaussian_noise;94,0972
shot_noise;98,3112
impulse_noise;99,3924
defocus_blur;99,5975
glass_blur;96,4646
motion_blur;99,1872
zoom_blur;99,4239
snow;94,0262
frost;95,5414
fog;94,6496
brightness;99,2661
contrast;99,5581
elastic_transform;98,5401
pixelate;99,4792
jpeg_compression;96,8119
speckle_noise;99,3292
gaussian_blur;99,3608
spatter;97,9482
saturate;98,7532
blue_noise;97,5221
brownish_noise;80,9817
checkerboard_cutout;87,7289
circular_motion_blur;99,6922
inverse_sparkles;80,3662
lines;83,8226
pinch_and_twirl;98,3033
ripple;99,0057
sparkles;85,8191
transverse_chromatic_abberation;97,7194
Acc_C-all-19;97,8809
Acc_C-original-15;97,6231
Acc_C-bar-10;91,0961
Acc_all-ex-pixelwise-noise-24;95,0853
RMSCE_C;0,0653
uniform-l1,130.9,False,max;97,1417
uniform-l2,2.611,False,max;97,1496
uniform-linf,0.1303,False,max;92,6049
uniform-l0.5,700000.0,True,max;90,6492
uniform-l1,125.0,True,max;97,2367
uniform-l2,2.0,True,max;98,3769
uniform-l10,0.06,True,max;99,4062
uniform-l50,0.04,True,max;99,3112
uniform-linf,0.01,True,max;99,6041
uniform-l0-impulse,0.01,True,max;99,6279
uniform-l0-impulse,0.02,True,max;99,6912
uniform-l0-impulse,0.05,True,max;99,3983
uniform-l0-impulse,0.1,True,max;98,0918
uniform-l0-impulse,0.2,True,max;92,5653
uniform-l0-impulse,0.5,True,max;47,6960
uniform-l0.5,50000.0,False,max;99,6041
uniform-l0.5,100000.0,False,max;99,3903
uniform-l0.5,200000.0,False,max;98,3690
uniform-l0.5,500000.0,False,max;94,1568
uniform-l0.5,1000000.0,False,max;84,5289
uniform-l0.5,2000000.0,False,max;61,2668
uniform-l1,20.0,False,max;99,6754
uniform-l1,50.0,False,max;99,4220
uniform-l1,100.0,False,max;98,1156
uniform-l1,200.0,False,max;94,2835
uniform-l1,500.0,False,max;77,6326
uniform-l1,1000.0,False,max;44,0063
uniform-l2,0.5,False,max;99,6595
uniform-l2,1.0,False,max;99,4062
uniform-l2,2.0,False,max;98,3848
uniform-l2,5.0,False,max;92,1615
uniform-l2,10.0,False,max;78,2740
uniform-l2,20.0,False,max;44,4972
uniform-l10,0.02,False,max;99,6675
uniform-l10,0.05,False,max;99,5487
uniform-l10,0.1,False,max;98,4402
uniform-l10,0.2,False,max;94,6160
uniform-l10,0.5,False,max;77,4505
uniform-l10,1.0,False,max;43,2462
uniform-l50,0.01,False,max;99,6595
uniform-l50,0.02,False,max;99,6120
uniform-l50,0.05,False,max;98,8836
uniform-l50,0.1,False,max;95,9382
uniform-l50,0.2,False,max;86,9517
uniform-l50,0.5,False,max;53,6975
uniform-linf,0.01,False,max;99,6516
uniform-linf,0.02,False,max;99,6200
uniform-linf,0.05,False,max;98,5115
uniform-linf,0.1,False,max;95,3523
uniform-linf,0.2,False,max;85,9066
uniform-linf,0.5,False,max;49,3191
Class Separation Robustness;95,6321
imperceptible Robustness;97,4307
Average p-norm robustness;87,5233
