;config_195_avg;config_195_std;config_195_run_0;config_195_run_1;config_195_run_2
Standard_Acc;99,2346;0,0611;99,1766;99,3191;99,2082
RMSCE;0,0414;0,0128;0,0589;0,0287;0,0368
gaussian_noise;77,8593;0,8633;78,1723;76,6809;78,7247
shot_noise;92,6373;0,5190;92,2664;92,2743;93,3712
impulse_noise;81,7024;0,9815;81,9444;80,3977;82,7652
defocus_blur;98,6927;0,0484;98,6348;98,7532;98,6900
glass_blur;89,7359;0,8486;88,5417;90,2304;90,4356
motion_blur;97,7799;0,0926;97,6957;97,9088;97,7352
zoom_blur;98,6348;0,0258;98,6348;98,6032;98,6664
snow;84,8248;0,2306;84,6985;84,6275;85,1484
frost;89,7938;0,1050;89,8516;89,8832;89,6465
fog;90,8723;0,0903;90,8381;90,9959;90,7828
brightness;98,6506;0,1540;98,6900;98,8163;98,4454
contrast;98,9031;0,0170;98,9189;98,8794;98,9110
elastic_transform;97,1407;0,1341;97,0092;97,3248;97,0881
pixelate;98,4507;0,0331;98,4848;98,4612;98,4059
jpeg_compression;92,6268;0,3556;92,8583;92,1244;92,8977
speckle_noise;96,2174;0,1671;95,9833;96,3068;96,3621
gaussian_blur;98,1271;0,1131;97,9956;98,1140;98,2718
spatter;93,9368;0,2315;93,6316;94,1919;93,9867
saturate;96,5935;0,2548;96,6935;96,2437;96,8434
blue_noise;87,9051;0,8422;86,7819;88,8100;88,1234
brownish_noise;70,9622;0,7071;71,7645;70,0442;71,0780
checkerboard_cutout;80,2031;0,2756;80,1294;79,9085;80,5713
circular_motion_blur;99,1688;0,0394;99,1162;99,1793;99,2109
inverse_sparkles;58,0887;1,5981;60,3456;56,8576;57,0628
lines;78,4538;0,3045;78,1645;78,3223;78,8747
pinch_and_twirl;96,7040;0,1646;96,7172;96,8987;96,4962
ripple;97,5721;0,1430;97,4116;97,7588;97,5458
sparkles;80,3241;0,3836;79,8453;80,3425;80,7844
transverse_chromatic_abberation;95,0442;0,3037;95,3993;95,0758;94,6575
Acc_C-all-19;93,3252;0,1496;93,2391;93,2009;93,5357
Acc_C-original-15;92,5537;0,1644;92,4826;92,3974;92,7809
Acc_C-bar-10;84,4426;0,1012;84,5676;84,3198;84,4405
Acc_all-ex-pixelwise-noise-24;90,8868;0,0513;90,9196;90,8144;90,9265
RMSCE_C;0,0515;0,0045;0,0578;0,0484;0,0482
uniform-l1,130.9,False,max;83,8031;0,9451;84,0063;82,5574;84,8456
uniform-l2,2.611,False,max;88,4534;0,6162;88,5669;87,6485;89,1449
uniform-linf,0.1303,False,max;75,7904;0,7188;75,9382;74,8456;76,5875
uniform-l0.5,700000.0,True,max;47,3872;1,6919;46,8488;45,6374;49,6754
uniform-l1,125.0,True,max;84,8720;0,6723;84,8773;84,0459;85,6928
uniform-l2,2.0,True,max;93,4468;0,4241;93,5788;92,8741;93,8876
uniform-l10,0.06,True,max;98,4297;0,0099;98,4165;98,4402;98,4323
uniform-l50,0.04,True,max;98,1605;0,1135;98,1473;98,0285;98,3056
uniform-linf,0.01,True,max;99,0684;0,0628;99,0024;99,1528;99,0499
uniform-l0-impulse,0.01,True,max;97,8068;0,1291;97,8464;97,6326;97,9414
uniform-l0-impulse,0.02,True,max;94,0644;0,5172;94,0538;93,4363;94,7031
uniform-l0-impulse,0.05,True,max;71,9134;1,8485;72,7474;69,3508;73,6421
uniform-l0-impulse,0.1,True,max;46,5347;1,8364;46,5875;44,2597;48,7569
uniform-l0-impulse,0.2,True,max;22,6973;1,7814;22,0744;20,8947;25,1227
uniform-l0-impulse,0.5,True,max;5,9567;0,9642;5,7007;4,9248;7,2447
uniform-l0.5,50000.0,False,max;98,9285;0,0306;98,9153;98,9707;98,8994
uniform-l0.5,100000.0,False,max;97,2922;0,2459;97,2763;96,9992;97,6010
uniform-l0.5,200000.0,False,max;87,9916;0,5245;87,9493;87,3713;88,6540
uniform-l0.5,500000.0,False,max;61,0003;1,2773;60,9501;59,4616;62,5891
uniform-l0.5,1000000.0,False,max;34,1779;1,7091;33,5075;32,5020;36,5241
uniform-l0.5,2000000.0,False,max;13,4363;1,4695;13,1750;11,7815;15,3523
uniform-l1,20.0,False,max;99,1264;0,0579;99,0816;99,2082;99,0895
uniform-l1,50.0,False,max;98,0232;0,1196;98,0206;97,8781;98,1710
uniform-l1,100.0,False,max;89,8680;0,4314;89,8179;89,3666;90,4196
uniform-l1,200.0,False,max;71,7076;0,6966;71,5914;70,9184;72,6128
uniform-l1,500.0,False,max;33,5603;1,6260;33,1512;31,8052;35,7245
uniform-l1,1000.0,False,max;9,7123;1,4711;9,6675;7,9335;11,5360
uniform-l2,0.5,False,max;99,1291;0,0505;99,0974;99,2003;99,0895
uniform-l2,1.0,False,max;98,5247;0,0771;98,5669;98,4165;98,5907
uniform-l2,2.0,False,max;93,4178;0,4507;93,4679;92,8424;93,9430
uniform-l2,5.0,False,max;71,0319;0,7773;71,1006;70,0475;71,9477
uniform-l2,10.0,False,max;41,1797;1,4880;40,8314;39,5566;43,1512
uniform-l2,20.0,False,max;12,0586;1,4973;11,7419;10,4038;14,0301
uniform-l10,0.02,False,max;99,1554;0,0917;99,0340;99,2557;99,1766
uniform-l10,0.05,False,max;98,7833;0,0135;98,7886;98,7965;98,7648
uniform-l10,0.1,False,max;95,1095;0,3348;94,9565;94,7981;95,5740
uniform-l10,0.2,False,max;80,7786;0,4978;80,7680;80,1742;81,3935
uniform-l10,0.5,False,max;46,3157;1,3661;46,0016;44,8219;48,1235
uniform-l10,1.0,False,max;14,4365;1,3832;14,0618;12,9612;16,2866
uniform-l50,0.01,False,max;99,1713;0,0587;99,1053;99,2478;99,1607
uniform-l50,0.02,False,max;99,1027;0,0819;99,0261;99,2162;99,0657
uniform-l50,0.05,False,max;96,9200;0,1947;96,9755;96,6587;97,1259
uniform-l50,0.1,False,max;85,2415;0,5857;85,2019;84,5447;85,9778
uniform-l50,0.2,False,max;64,0406;1,0009;63,8242;62,9375;65,3603
uniform-l50,0.5,False,max;21,5862;1,4556;21,0372;20,1425;23,5788
uniform-linf,0.01,False,max;99,2162;0,0786;99,1686;99,3270;99,1528
uniform-linf,0.02,False,max;99,0024;0,1040;98,8836;99,1370;98,9865
uniform-linf,0.05,False,max;96,0412;0,2394;95,9620;95,7957;96,3658
