time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
26,3672;21,5390;2,9669;25,6611;2,9419;22,5000;25,6611;22,5000
51,3870;49,8799;2,0255;38,0048;2,3855;30,4310;38,0048;30,4310
75,9451;82,9992;1,2417;67,7118;1,0476;56,7586;67,7118;56,7586
101,1131;94,1517;0,9383;82,7791;0,5789;67,2241;82,7791;67,2241
125,9367;96,9670;0,8365;89,1686;0,4328;72,9310;89,1686;72,9310
151,2594;98,3821;0,7872;92,1457;0,3950;75,0000;92,1457;75,0000
176,2935;99,1854;0,7553;87,9177;0,4267;73,4655;87,9177;73,4655
202,1643;99,2680;0,7473;94,5368;0,2802;79,3448;94,5368;79,3448
227,0435;99,5420;0,7342;94,3389;0,3005;79,4483;94,3389;79,4483
252,7942;99,7635;0,7256;94,2993;0,3149;78,0172;94,2993;78,0172
279,0045;99,7710;0,7253;94,5131;0,2956;79,0690;94,5131;79,0690
305,1916;99,8761;0,7170;95,4790;0,2475;81,3103;95,4790;81,3103
330,2418;99,9324;0,7140;96,3104;0,2246;82,5172;96,3104;82,5172
355,2078;99,9512;0,7124;96,3341;0,2405;82,9310;96,3341;82,9310
380,1149;99,9700;0,7103;96,1045;0,2370;82,5690;96,1045;82,5690
405,9978;99,9737;0,7094;96,4054;0,2193;82,4655;96,4054;82,4655
431,0168;99,9925;0,7089;96,3341;0,2301;82,8966;96,3341;82,8966
456,8213;99,9850;0,7091;96,4766;0,2099;83,0345;96,4766;83,0345
481,8558;99,9925;0,7082;96,4925;0,2191;83,3621;96,4925;83,3621
507,0598;99,9925;0,7089;96,6033;0,2084;83,4483;96,6033;83,4483
531,9663;99,0841;0,7445;91,5044;0,4369;74,5690;91,5044;74,5690
557,8430;99,2980;0,7420;86,5083;0,5820;69,0862;86,5083;69,0862
583,7954;99,5158;0,7312;92,7395;0,3419;78,1552;92,7395;78,1552
610,1695;99,4745;0,7303;94,2676;0,2820;79,4138;94,2676;79,4138
636,4122;99,8348;0,7164;95,4315;0,2415;82,4655;95,4315;82,4655
662,5051;99,7785;0,7154;94,3072;0,3038;81,1897;94,3072;81,1897
688,8571;99,6584;0,7189;96,2629;0,2300;82,0000;96,2629;82,0000
715,4861;99,8874;0,7124;96,2391;0,2277;80,9310;96,2391;80,9310
741,6592;99,9399;0,7089;96,8488;0,1935;83,9138;96,8488;83,9138
766,5933;99,9625;0,7079;96,2708;0,2075;83,1207;96,2708;83,1207
792,3931;99,9962;0,7048;96,7458;0,2032;84,1897;96,7458;84,1897
818,6102;99,9962;0,7044;96,7379;0,1962;84,4310;96,7379;84,4310
844,8219;99,9775;0,7042;96,2549;0,2082;83,9310;96,2549;83,9310
870,8969;99,9512;0,7067;96,5954;0,2090;84,0517;96,5954;84,0517
897,2759;99,9399;0,7066;96,3737;0,2190;83,9483;96,3737;83,9483
923,6915;99,9737;0,7048;96,7538;0,1933;83,3793;96,7538;83,3793
949,9382;99,9887;0,7044;96,8329;0,1960;83,6207;96,8329;83,6207
976,0125;99,9512;0,7051;96,5162;0,2007;85,0000;96,5162;85,0000
1001,9492;99,9775;0,7034;96,3420;0,2108;84,0345;96,3420;84,0345
1027,9849;99,9925;0,7029;96,7142;0,2059;84,4828;96,7142;84,4828
1054,0219;100,0000;0,7035;96,3737;0,2113;83,8966;96,3737;83,8966
1080,1788;99,9812;0,7029;96,3737;0,2131;84,4828;96,3737;84,4828
1106,4993;99,9962;0,7023;96,6825;0,1963;84,4138;96,6825;84,4138
1132,7116;99,9962;0,7023;96,8092;0,1959;84,1724;96,8092;84,1724
1158,7927;100,0000;0,7022;96,7538;0,1894;84,5345;96,7538;84,5345
1184,8704;99,9962;0,7027;96,9200;0,1911;84,7069;96,9200;84,7069
1209,7981;99,9962;0,7017;96,6904;0,2006;84,5862;96,6904;84,5862
1235,5542;100,0000;0,7013;96,6508;0,1964;84,5690;96,6508;84,5690
1261,7696;100,0000;0,7014;96,7933;0,1936;84,9310;96,7933;84,9310
1288,0505;100,0000;0,7020;96,7221;0,1974;84,8276;96,7221;84,8276
1314,2067;100,0000;0,7020;96,6983;0,1907;84,6897;96,6983;84,6897
1340,3885;100,0000;0,7025;96,7063;0,1954;84,8621;96,7063;84,8621
1366,7958;100,0000;0,7010;96,8963;0,1944;84,7586;96,8963;84,7586
1393,0860;100,0000;0,7017;96,8567;0,1885;84,9655;96,8567;84,9655
1419,2134;100,0000;0,7013;96,6271;0,1960;84,6724;96,6271;84,6724
1445,3943;100,0000;0,7010;96,6825;0,1982;84,8966;96,6825;84,8966
1471,6313;100,0000;0,7015;96,8092;0,1902;85,0172;96,8092;85,0172
1497,9375;100,0000;0,7012;96,7933;0,1947;84,7931;96,7933;84,7931
