time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
356,4612;1,0711;4,6451;1,4200;4,6034;1,2103;1,4200;1,2103
709,7542;1,2386;4,6246;1,8800;4,6214;1,8621;1,8800;1,8621
1076,1335;2,3113;4,6118;4,3000;4,3967;3,7621;4,3000;3,7621
1470,0551;4,9401;4,4642;8,1800;3,9849;5,6138;8,1800;5,6138
1847,5024;7,1068;4,3771;12,5600;3,8126;7,0586;12,5600;7,0586
2198,3244;9,3027;4,3059;14,4600;3,6150;9,0034;14,4600;9,0034
2541,9406;11,3170;4,2351;17,1400;3,5613;8,7069;17,1400;8,7069
2842,9137;13,4087;4,1733;22,0200;3,2365;11,7793;22,0200;11,7793
3131,3230;15,5493;4,1027;22,5200;3,2102;10,6483;22,5200;10,6483
3429,4077;17,3867;4,0407;18,0600;3,5722;9,6172;18,0600;9,6172
3719,2769;19,3370;3,9856;26,7400;2,9777;15,6241;26,7400;15,6241
4006,4747;21,2525;3,9153;28,5800;3,0979;14,7690;28,5800;14,7690
4298,9345;22,7960;3,8676;36,1600;2,5363;18,1379;36,1600;18,1379
4737,6588;24,4840;3,8143;35,6600;2,5386;18,6172;35,6600;18,6172
5100,0265;25,6001;3,7831;40,5200;2,3065;21,9897;40,5200;21,9897
5350,6795;26,9501;3,7423;41,1800;2,3924;20,4069;41,1800;20,4069
5646,6979;28,3064;3,7036;39,6800;2,4874;20,1276;39,6800;20,1276
5924,5676;29,1294;3,6750;38,8000;2,4352;19,1724;38,8000;19,1724
6178,9056;30,2092;3,6451;41,7400;2,3457;21,3276;41,7400;21,3276
6437,5212;31,2717;3,6175;46,9000;2,0927;24,8069;46,9000;24,8069
6689,6028;31,9384;3,5929;49,5000;2,0106;26,2345;49,5000;26,2345
6947,7727;32,9352;3,5621;50,7600;2,0103;25,5690;50,7600;25,5690
7200,4088;33,5893;3,5457;54,5600;1,8394;30,0345;54,5600;30,0345
7443,0510;34,4044;3,5210;50,0400;1,9662;26,6655;50,0400;26,6655
7692,1904;35,1430;3,4973;53,7400;1,8395;29,0828;53,7400;29,0828
7938,8172;35,4977;3,4888;54,5200;1,8772;29,3172;54,5200;29,3172
8187,6191;36,1849;3,4683;58,1600;1,6811;34,5862;58,1600;34,5862
8432,6370;36,8050;3,4540;52,1200;1,9339;29,2000;52,1200;29,2000
8681,1869;37,2363;3,4353;53,4200;1,9059;28,4966;53,4200;28,4966
8929,3687;37,9093;3,4139;55,9400;1,7915;31,4241;55,9400;31,4241
9175,4351;38,1510;3,4112;57,7800;1,6937;33,5448;57,7800;33,5448
9422,0038;38,4140;3,4025;63,0000;1,4613;38,4552;63,0000;38,4552
9671,2694;38,8366;3,3862;56,8800;1,7499;29,8138;56,8800;29,8138
9923,2289;39,0736;3,3851;59,9800;1,5965;33,7759;59,9800;33,7759
10173,1936;39,3106;3,3758;62,0600;1,5418;37,4966;62,0600;37,4966
10422,5642;39,9409;3,3636;59,5800;1,6137;33,0276;59,5800;33,0276
10668,7289;40,5570;3,3529;63,1200;1,5271;37,1966;63,1200;37,1966
10919,6623;40,6297;3,3314;64,1800;1,4967;37,0000;64,1800;37,0000
11229,5654;40,9544;3,3264;61,1800;1,5519;36,4138;61,1800;36,4138
11572,0548;41,0539;3,3230;62,5600;1,4935;36,2690;62,5600;36,2690
11954,9273;41,2506;3,3235;62,1600;1,4918;34,1517;62,1600;34,1517
12282,0245;41,8999;3,3015;64,0800;1,4448;37,5034;64,0800;37,5034
12639,1302;41,4907;3,3179;60,7400;1,5911;32,1793;60,7400;32,1793
12973,1585;41,9196;3,3006;66,2200;1,3080;39,4586;66,2200;39,4586
13570,8628;42,4252;3,2883;64,8200;1,4224;37,7103;64,8200;37,7103
13986,0113;42,5839;3,2848;61,1000;1,5647;34,3828;61,1000;34,3828
14665,6163;42,6029;3,2805;67,1800;1,3727;39,2690;67,1800;39,2690
15164,8485;43,1053;3,2644;69,2600;1,2852;41,0586;69,2600;41,0586
15660,0088;43,1708;3,2716;68,6600;1,2288;42,3966;68,6600;42,3966
16689,0480;43,2562;3,2642;64,2000;1,4470;35,5690;64,2000;35,5690
17458,0892;43,5642;3,2577;64,1400;1,4295;38,0310;64,1400;38,0310
18432,1700;43,7285;3,2565;66,9600;1,3974;37,0897;66,9600;37,0897
19429,6361;43,6788;3,2503;67,9800;1,3352;40,7690;67,9800;40,7690
21146,3298;43,9426;3,2487;65,6800;1,4422;39,5828;65,6800;39,5828
21485,3654;44,3304;3,2310;66,4800;1,3367;41,3828;66,4800;41,3828
21994,8507;44,2672;3,2313;65,5800;1,4033;37,4966;65,5800;37,4966
22311,1374;44,4687;3,2328;68,9800;1,3148;41,3621;68,9800;41,3621
22648,8936;44,6022;3,2227;69,7200;1,2654;41,4517;69,7200;41,4517
22969,7660;44,7759;3,2193;70,7200;1,1976;43,4310;70,7200;43,4310
23286,4657;45,1203;3,2213;67,4800;1,3102;39,7345;67,4800;39,7345
23616,3204;45,2349;3,2063;69,6400;1,2763;42,3862;69,6400;42,3862
23928,1118;45,4379;3,2032;71,1200;1,1693;45,8586;71,1200;45,8586
24244,4438;45,6014;3,1953;67,8600;1,2835;40,4172;67,8600;40,4172
24622,8716;45,7223;3,1940;69,3200;1,2697;44,2448;69,3200;44,2448
24919,4051;45,9584;3,1796;69,2200;1,2758;42,3103;69,2200;42,3103
25251,0427;45,7657;3,1949;71,8800;1,1895;45,7517;71,8800;45,7517
25555,1139;46,3700;3,1746;71,5800;1,1983;44,6897;71,5800;44,6897
25930,0814;46,6077;3,1713;68,4000;1,3588;38,5241;68,4000;38,5241
26256,1897;46,6370;3,1716;69,4800;1,2591;43,3276;69,4800;43,3276
26586,8483;46,6678;3,1687;68,9600;1,2572;42,9897;68,9600;42,9897
26905,8465;46,6852;3,1696;71,1400;1,2201;40,9966;71,1400;40,9966
27303,9996;46,8968;3,1606;72,9000;1,1639;46,2517;72,9000;46,2517
27658,5466;46,9964;3,1577;72,9800;1,1622;43,2069;72,9800;43,2069
27972,3229;47,1433;3,1562;73,1200;1,1121;45,5897;73,1200;45,5897
28307,6022;47,3929;3,1501;72,4000;1,1295;46,9793;72,4000;46,9793
28632,3626;47,4269;3,1474;74,1600;1,0758;45,8345;74,1600;45,8345
28998,8665;47,8187;3,1394;73,6200;1,1089;45,8000;73,6200;45,8000
29305,9611;47,8582;3,1306;72,9400;1,1588;43,7172;72,9400;43,7172
29623,1285;47,5928;3,1403;74,7200;1,0423;46,5586;74,7200;46,5586
30012,4224;47,9316;3,1320;73,1600;1,1016;45,0414;73,1600;45,0414
30323,8939;48,3179;3,1225;72,9200;1,0995;46,9310;72,9200;46,9310
30670,3755;48,2895;3,1186;75,4000;1,0530;49,5034;75,4000;49,5034
30973,1495;48,7705;3,1099;74,6000;1,0503;49,3207;74,6000;49,3207
31269,8492;49,2026;3,0912;74,5600;1,1054;46,6034;74,5600;46,6034
31615,6612;49,0201;3,1034;72,7800;1,1237;45,0862;72,7800;45,0862
31954,7066;49,1568;3,0934;75,6800;1,0665;46,6345;75,6800;46,6345
32340,3815;48,7966;3,1072;74,6600;1,0521;47,1586;74,6600;47,1586
32682,9716;49,3685;3,0875;76,4400;1,0144;48,3517;76,4400;48,3517
33059,9823;49,2855;3,0951;76,4600;1,0067;48,6931;76,4600;48,6931
33376,6126;49,6252;3,0874;76,0200;0,9891;49,2897;76,0200;49,2897
33750,8229;49,6884;3,0857;76,3600;0,9815;49,8207;76,3600;49,8207
34088,7910;49,7058;3,0892;76,1600;1,0528;50,8621;76,1600;50,8621
34503,5351;50,1560;3,0733;76,5200;0,9961;49,8103;76,5200;49,8103
34905,2883;50,0430;3,0732;74,8000;1,0980;45,2310;74,8000;45,2310
35482,6364;50,5786;3,0524;77,5200;0,9604;48,6759;77,5200;48,6759
35789,0481;50,7619;3,0557;76,6400;0,9891;50,4276;76,6400;50,4276
36107,3012;50,7318;3,0549;77,3000;0,9314;51,5759;77,3000;51,5759
36441,1691;50,7500;3,0545;77,5800;0,9326;51,4655;77,5800;51,4655
36792,9628;50,6552;3,0524;78,0000;0,9493;51,3414;78,0000;51,3414
37174,2240;51,1379;3,0417;75,2400;1,0783;46,6207;75,2400;46,6207
37522,6171;51,0984;3,0464;76,5000;1,0205;50,2517;76,5000;50,2517
37990,2236;51,1766;3,0403;77,3400;0,9705;49,7276;77,3400;49,7276
38328,3156;51,5605;3,0378;78,6400;0,9216;53,4483;78,6400;53,4483
38722,4148;51,8788;3,0185;77,8000;0,9276;49,4138;77,8000;49,4138
39094,0089;51,7327;3,0304;79,2200;0,8910;50,6207;79,2200;50,6207
39411,0699;52,3685;3,0029;77,1800;0,9955;50,9586;77,1800;50,9586
39741,8622;52,2058;3,0133;79,9600;0,8535;52,8828;79,9600;52,8828
40063,1644;51,9562;3,0265;79,3800;0,8777;51,5103;79,3800;51,5103
40424,5599;52,6237;3,0027;79,8000;0,9324;54,6241;79,8000;54,6241
40770,5212;52,3393;3,0096;77,8800;0,9245;51,9483;77,8800;51,9483
41130,4815;52,9159;2,9913;79,6200;0,8944;53,4103;79,6200;53,4103
41483,6545;53,0874;2,9913;80,1000;0,8616;54,4034;80,1000;54,4034
41828,8445;53,1174;2,9842;80,3800;0,8488;55,0966;80,3800;55,0966
42170,7260;53,4618;2,9779;76,8400;1,0286;49,3552;76,8400;49,3552
42506,6111;53,2667;2,9859;80,1200;0,8659;51,9207;80,1200;51,9207
42845,8353;53,7730;2,9760;79,8000;0,8777;51,5414;79,8000;51,5414
43214,5371;53,6371;2,9788;79,1000;0,8818;54,3448;79,1000;54,3448
43591,4271;54,0202;2,9602;80,1400;0,8465;51,8000;80,1400;51,8000
43932,6830;54,2904;2,9594;80,4600;0,8912;52,7414;80,4600;52,7414
44306,0521;54,3978;2,9440;80,6200;0,8159;56,1034;80,6200;56,1034
44629,5253;54,6482;2,9427;80,7200;0,8459;53,2621;80,7200;53,2621
45038,5623;54,2541;2,9587;80,0000;0,9178;52,3345;80,0000;52,3345
45363,4541;54,6601;2,9401;80,8200;0,8349;55,1517;80,8200;55,1517
45713,9793;54,8315;2,9386;82,2400;0,8288;53,9276;82,2400;53,9276
46046,3129;55,1877;2,9254;81,4000;0,8075;53,9483;81,4000;53,9483
