;config_526_avg;config_526_std;config_526_run_0;config_526_run_1;config_526_run_2
Standard_Acc;89,7933;0,0680;89,8200;89,8600;89,7000
RMSCE;0,1253;0,0045;0,1286;0,1285;0,1189
gaussian_noise;59,0293;0,2365;59,2200;58,6960;59,1720
shot_noise;58,9507;0,2945;59,3240;58,6040;58,9240
impulse_noise;57,1387;0,2125;57,3920;57,1520;56,8720
defocus_blur;59,5147;0,1907;59,4680;59,7680;59,3080
glass_blur;54,1920;0,2126;54,2760;54,4000;53,9000
motion_blur;69,0840;0,1895;68,8200;69,1760;69,2560
zoom_blur;62,8587;0,5606;62,4000;62,5280;63,6480
snow;60,8973;0,5309;61,0920;60,1720;61,4280
frost;63,7200;0,4802;64,2000;63,8960;63,0640
fog;78,2693;0,1521;78,0560;78,4000;78,3520
brightness;85,8907;0,0735;85,9800;85,8920;85,8000
contrast;79,8320;0,2450;79,7520;79,5800;80,1640
elastic_transform;68,5280;0,3823;68,9560;68,6000;68,0280
pixelate;80,7933;0,1654;80,7760;81,0040;80,6000
jpeg_compression;75,6667;0,3605;75,9920;75,1640;75,8440
speckle_noise;70,3987;0,5491;71,0560;69,7120;70,4280
gaussian_blur;62,1693;0,3353;62,0280;62,6320;61,8480
spatter;68,4587;0,5856;69,2120;68,3800;67,7840
saturate;83,8707;0,1062;83,7440;84,0040;83,8640
blue_noise_sample;69,8160;0,1019;69,8000;69,9480;69,7000
brownish_noise;84,0253;0,1933;84,1560;83,7520;84,1680
caustic_refraction;74,4293;0,3661;74,8880;73,9920;74,4080
checkerboard_cutout;70,0053;0,3574;69,7080;70,5080;69,8000
cocentric_sine_waves;33,7920;0,4865;33,5840;33,3280;34,4640
inverse_sparkles;50,1093;0,6327;50,6840;49,2280;50,4160
perlin_noise;80,5253;0,2007;80,7520;80,5600;80,2640
plasma_noise;60,5813;0,4152;60,6880;60,0280;61,0280
single_frequency_greyscale;40,2400;0,3297;40,6880;39,9040;40,1280
sparkles;81,9107;0,0525;81,8640;81,9840;81,8840
Acc_C-all-19;68,3822;0,0930;68,5128;68,3032;68,3307
Acc_C-original-15;67,6244;0,0727;67,7136;67,5355;67,6240
Acc_C-bar-10;64,5435;0,1574;64,6812;64,3232;64,6260
Acc_all-ex-pixelwise-noise-24;67,8902;0,0831;67,9902;67,7867;67,8937
RMSCE_C;0,0978;0,0021;0,1005;0,0975;0,0955
Acc_A;11,3235;0,3177;10,8824;11,4706;11,6176
Acc_R;56,2822;0,3196;56,3908;56,6079;55,8480
Acc_Sketch;50,0557;0,3429;49,8132;49,8132;50,5406
Acc_ES-auto_exposure;0,0000;0,0000;0,0000;0,0000;0,0000
Acc_ES-param_control;0,1499;0,0249;0,1323;0,1852;0,1323
Acc_V2;80,3000;0,1633;80,3000;80,1000;80,5000
Combined_Noise;64,6267;0,4779;64,2400;65,3000;64,3400
