time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
460,6443;1,2479;4,6482;1,4800;4,5963;1,2862
894,3873;1,7136;4,5859;3,1400;4,4748;2,6552
1240,9942;5,3675;4,3996;10,6200;3,9753;6,7655
1594,4608;11,4603;4,0358;19,6800;3,3145;9,8483
2078,5283;18,0000;3,7179;20,2600;3,4078;10,8586
2494,2298;23,5743;3,4833;29,7600;2,8678;15,0448
2780,4623;29,5424;3,2331;34,2800;2,6086;17,2759
3021,7021;34,1671;3,0562;42,1200;2,2999;20,8759
3371,6599;38,0475;2,9075;45,7400;2,1157;21,4966
3605,6325;41,4180;2,7909;45,9400;2,1607;21,9414
3838,8675;43,9304;2,6924;51,8000;1,9607;24,5172
4067,0133;46,3773;2,6049;55,1000;1,9210;25,9793
4304,4353;48,4265;2,5328;55,4800;1,7571;28,0621
4548,8910;50,1417;2,4709;47,5400;2,2396;23,8862
4784,0408;51,6272;2,4183;60,4000;1,6742;29,7931
5014,4744;52,9793;2,3686;60,3000;1,5613;32,1793
5252,3277;54,5320;2,3159;62,6400;1,5011;32,8724
5481,3468;55,7586;2,2776;62,9400;1,5532;32,7621
5715,7594;56,6071;2,2417;65,7400;1,4766;34,1241
5940,9024;57,7430;2,2065;67,5400;1,4008;34,9517
6177,1455;58,7691;2,1714;66,5800;1,4711;35,1586
6412,0142;59,3927;2,1476;67,3800;1,3560;35,7034
6644,4996;60,1662;2,1201;67,5200;1,3333;35,3172
6889,2283;60,6730;2,1023;68,1800;1,3052;35,2345
7120,9172;61,4994;2,0728;68,8000;1,3542;38,0276
7367,4949;62,3456;2,0468;70,6600;1,2727;38,0793
7645,0700;62,6661;2,0352;68,5800;1,3469;36,3931
7929,7514;63,0852;2,0219;70,6800;1,2730;37,7241
8195,9384;63,9519;1,9921;69,4000;1,2210;40,4690
8448,4577;64,2652;1,9815;71,7200;1,2235;39,0448
8696,8487;64,5273;1,9708;73,3000;1,1382;40,7172
8941,0212;65,0364;1,9523;73,7600;1,1469;41,0828
9183,9234;65,4706;1,9363;68,5600;1,3370;34,1759
9439,1226;65,8794;1,9259;71,7200;1,1634;37,7310
9915,6027;65,8029;1,9196;68,6600;1,2798;34,5724
10196,8213;66,5819;1,9035;74,9400;1,1241;40,9379
10472,6443;66,5662;1,9009;75,2800;1,0689;41,3483
10723,2898;66,9371;1,8851;75,3200;1,0873;40,9138
10984,8370;67,2442;1,8770;75,4000;1,0252;41,3000
11272,0032;67,4092;1,8688;74,0200;1,0895;40,1724
11652,5361;67,9980;1,8524;74,6200;1,1017;40,0552
11940,9074;68,0659;1,8492;74,5400;1,0977;42,9931
12268,4254;68,3651;1,8359;75,2600;1,0635;39,9828
12650,5362;68,6539;1,8268;76,6200;1,0271;41,6897
12941,3592;68,7645;1,8233;76,9400;1,0597;43,1000
13345,6293;69,0455;1,8129;74,3000;1,1003;40,5345
13675,7369;69,0747;1,8098;75,4800;1,0811;40,8034
14025,6385;69,6596;1,7952;75,3000;1,1046;40,2793
14277,3711;69,4093;1,8002;75,1200;1,0505;43,6793
14502,6466;69,8979;1,7866;75,9200;1,0260;41,0034
14728,0303;69,8601;1,7853;78,0000;1,0045;44,4655
14966,3978;70,0598;1,7765;78,9800;0,9802;44,7241
15218,7576;70,1916;1,7721;77,9000;0,9652;43,7276
15457,5220;70,4039;1,7650;77,3400;0,9641;45,1310
15687,2552;70,5831;1,7588;77,7600;0,9594;42,7034
15925,6753;70,8467;1,7539;78,6600;0,9607;45,5069
16183,1592;71,0259;1,7482;77,1600;0,9806;41,3310
16425,7999;71,2303;1,7394;77,0600;0,9909;43,7069
16664,3171;71,3030;1,7376;78,3200;0,9375;47,2793
16899,3223;71,3543;1,7322;78,4000;0,9385;47,6310
17138,8367;71,8002;1,7201;79,0800;0,9350;44,3103
17383,7522;71,8594;1,7182;77,9800;0,9376;46,8655
17621,9769;72,1254;1,7098;79,8200;0,8826;49,0724
17851,6209;72,2241;1,7054;79,8200;0,8949;46,1379
18089,3286;72,4546;1,7011;80,1000;0,9220;47,5793
18308,7357;72,4349;1,6987;77,1600;0,9626;45,4172
18549,5257;72,8240;1,6872;78,9400;0,9707;45,7034
18780,4561;72,8722;1,6859;78,3400;0,9292;46,3828
19022,5860;73,0869;1,6789;79,3200;0,9317;47,6034
19250,6826;73,2171;1,6736;80,0200;0,9126;46,2379
19480,7885;73,4452;1,6630;80,5200;0,8975;47,5828
19736,3054;73,5052;1,6619;80,5800;0,8846;48,8034
19969,4082;73,8659;1,6507;80,6000;0,8741;47,2897
20210,8961;73,9930;1,6481;80,1800;0,9126;45,8793
20436,3024;73,7278;1,6492;79,7400;0,8819;47,5897
20676,7513;74,2630;1,6388;77,8800;0,9636;46,2690
21023,9561;74,2559;1,6346;80,0200;0,9058;43,9483
21319,6820;74,4082;1,6315;78,5800;0,9321;45,6448
21595,4840;74,8384;1,6192;79,3200;0,9014;46,5448
21922,0704;74,7744;1,6211;81,1800;0,8312;48,5655
22257,7476;74,7003;1,6211;81,5800;0,8236;49,2483
22563,8295;75,1486;1,6097;79,7800;0,8998;47,1586
22856,6195;75,5677;1,5952;80,6600;0,8877;48,4448
23142,2948;75,3499;1,6012;80,4200;0,8711;47,2448
23432,1890;75,4430;1,5984;79,8000;0,9094;47,7241
23785,8389;75,6151;1,5894;80,6400;0,8684;48,3759
24132,6406;76,0563;1,5790;83,1200;0,8176;50,7310
24452,3558;76,0800;1,5802;80,5400;0,8729;48,2586
24740,5632;76,0476;1,5782;80,9800;0,8804;48,2138
25041,3321;76,4084;1,5639;81,7800;0,8276;50,1759
25366,4210;76,6081;1,5613;81,0400;0,8746;48,1828
25653,1744;76,6767;1,5583;81,3200;0,8440;50,7897
25994,1246;76,9948;1,5477;81,9200;0,8288;50,5207
26385,1079;76,9546;1,5480;83,7000;0,7804;50,4655
26778,9745;77,2782;1,5379;81,1800;0,8342;48,2655
27135,8859;77,3516;1,5325;81,0800;0,8499;48,3345
27471,6598;77,2964;1,5356;81,9200;0,7910;50,0034
27798,9921;77,8694;1,5192;83,2200;0,7436;52,1172
28103,1384;77,6571;1,5239;83,6800;0,7616;50,4759
28409,9527;77,9570;1,5162;79,4800;0,9188;45,1483
28823,1231;78,2751;1,5054;83,3600;0,7604;51,4000
29126,2383;78,3659;1,5011;83,7800;0,7533;51,1483
29397,8409;78,5009;1,4968;83,2200;0,7707;50,8103
29686,5175;78,7480;1,4889;82,5800;0,8295;49,6069
30064,9447;78,7195;1,4892;83,2400;0,7410;50,8241
30456,0635;79,1339;1,4773;83,9200;0,7578;52,0621
31074,4514;79,1174;1,4756;83,6600;0,7817;52,0276
31600,5432;79,2468;1,4728;82,4000;0,8151;51,1483
31972,2149;79,3281;1,4693;82,6800;0,7721;48,3345
32382,7970;79,6375;1,4597;84,0200;0,7326;52,9552
32768,8031;79,9233;1,4484;84,8200;0,7212;51,3103
33117,8539;79,9698;1,4476;83,7400;0,7606;53,9517
33460,2544;80,2066;1,4421;84,1000;0,7584;52,1241
33777,9745;80,0243;1,4473;83,8400;0,7834;52,0586
34084,1273;80,4442;1,4324;84,8000;0,7046;53,5034
34482,4612;80,6139;1,4276;84,3800;0,7252;52,8138
34870,0033;80,7221;1,4243;83,6800;0,7526;52,5517
35266,4974;81,1231;1,4139;84,6400;0,7051;52,9414
35598,1960;81,2186;1,4112;84,4200;0,7401;52,5862
36034,3832;81,4712;1,4005;85,0200;0,7347;53,3069
36638,5521;81,6203;1,3921;85,2400;0,7249;52,9724
