;config_542_avg
Standard_Acc;87,2400
RMSCE;0,0821
gaussian_noise;45,7640
shot_noise;45,7200
impulse_noise;45,6000
defocus_blur;52,4000
glass_blur;56,0240
motion_blur;52,3320
zoom_blur;58,8880
snow;41,4120
frost;50,8600
fog;45,9880
brightness;77,1560
contrast;36,4560
elastic_transform;68,7360
pixelate;76,9080
jpeg_compression;77,3760
speckle_noise;59,0960
gaussian_blur;55,8760
spatter;64,3680
saturate;71,7240
blue_noise_sample;67,3040
brownish_noise;71,2200
caustic_refraction;71,0560
checkerboard_cutout;68,5280
cocentric_sine_waves;35,4520
inverse_sparkles;48,7400
perlin_noise;72,5800
plasma_noise;36,7240
single_frequency_greyscale;38,2240
sparkles;76,9640
Acc_C-all-19;56,9834
Acc_C-original-15;55,4413
Acc_C-bar-10;58,6792
Acc_all-ex-pixelwise-noise-24;58,5830
RMSCE_C;0,0620
uniform-l1,1403.4,False,max;87,1000
uniform-l2,10.37,False,max;86,7800
uniform-linf,0.1446,False,max;85,7400
uniform-l0.5,200000000.0,True,max;86,9600
uniform-l1,2500.0,True,max;86,9800
uniform-l2,8.0,True,max;86,9400
uniform-l10,0.07,True,max;87,1000
uniform-l50,0.035,True,max;87,1000
uniform-linf,0.015,True,max;87,0000
uniform-l0-impulse,0.01,True,max;86,4000
uniform-l0-impulse,0.02,True,max;85,8000
uniform-l0-impulse,0.05,True,max;84,2000
uniform-l0-impulse,0.1,True,max;82,8400
uniform-l0-impulse,0.2,True,max;79,2200
uniform-l0-impulse,0.5,True,max;66,3600
uniform-l0.5,200000000.0,False,max;86,7600
uniform-l0.5,500000000.0,False,max;86,2800
uniform-l0.5,1000000000.0,False,max;85,1400
uniform-l0.5,2000000000.0,False,max;82,2600
uniform-l0.5,5000000000.0,False,max;75,3400
uniform-l0.5,10000000000.0,False,max;63,8400
uniform-l1,1000.0,False,max;87,2000
uniform-l1,5000.0,False,max;86,4800
uniform-l1,10000.0,False,max;85,2400
uniform-l1,20000.0,False,max;83,2000
uniform-l1,50000.0,False,max;72,6000
uniform-l1,100000.0,False,max;54,3000
uniform-l2,5.0,False,max;87,2000
uniform-l2,10.0,False,max;86,7200
uniform-l2,20.0,False,max;86,4200
uniform-l2,50.0,False,max;84,4600
uniform-l2,100.0,False,max;79,3800
uniform-l2,200.0,False,max;63,8400
uniform-l10,0.05,False,max;87,0800
uniform-l10,0.1,False,max;86,8600
uniform-l10,0.2,False,max;86,6000
uniform-l10,0.5,False,max;84,7400
uniform-l10,1.0,False,max;81,1000
uniform-l10,2.0,False,max;64,7400
uniform-l50,0.02,False,max;87,0800
uniform-l50,0.05,False,max;86,9400
uniform-l50,0.1,False,max;86,1800
uniform-l50,0.2,False,max;85,1400
uniform-l50,0.5,False,max;78,8600
uniform-l50,1.0,False,max;58,5600
uniform-linf,0.02,False,max;87,1600
uniform-linf,0.05,False,max;86,7800
uniform-linf,0.1,False,max;86,0600
uniform-linf,0.2,False,max;84,9200
uniform-linf,0.5,False,max;75,7800
uniform-linf,1.0,False,max;52,9400
Class Separation Robustness;86,5400
imperceptible Robustness;87,0133
Average p-norm robustness;80,2143
