time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
1624,4423;70,8793;2,3115;75,5300;1,2012;42,5586;75,5300;42,5586
3343,0997;72,1320;2,2215;75,7420;1,1888;42,3793;75,7420;42,3793
5093,6922;72,5364;2,1979;75,9480;1,1923;42,9517;75,9480;42,9517
6717,1269;72,7196;2,1828;76,0320;1,1834;43,0276;76,0320;43,0276
8345,0328;72,9379;2,1699;76,1920;1,1764;43,1000;76,1920;43,1000
9954,1265;73,1359;2,1610;76,2800;1,1755;42,8690;76,2800;42,8690
11424,5380;73,2543;2,1533;76,3000;1,1761;43,1448;76,3000;43,1448
12899,7482;73,2964;2,1465;76,3860;1,1776;43,0793;76,3860;43,0793
14453,7213;73,4939;2,1396;76,3600;1,1658;43,7276;76,3600;43,7276
16035,7072;73,5138;2,1342;76,4780;1,1674;43,4241;76,4780;43,4241
17565,5577;73,6168;2,1301;76,3200;1,1765;43,5276;76,3200;43,5276
19102,4502;73,7275;2,1244;76,4040;1,1660;43,6448;76,4040;43,6448
20595,0044;73,7749;2,1207;76,5680;1,1632;43,5069;76,5680;43,5069
22129,9196;73,8495;2,1161;76,5100;1,1866;43,8276;76,5100;43,8276
23755,1911;73,9079;2,1128;76,5600;1,1747;43,8241;76,5600;43,8241
25196,8974;74,0078;2,1079;76,6440;1,1679;43,9034;76,6440;43,9034
26626,5307;74,0293;2,1053;76,5820;1,1739;44,1379;76,5820;44,1379
28054,7793;74,0692;2,1029;76,6740;1,1726;44,0241;76,6740;44,0241
29469,7062;74,1750;2,0993;76,6860;1,1758;44,1414;76,6860;44,1414
30965,2329;74,2073;2,0970;76,5760;1,1822;43,8414;76,5760;43,8414
32456,4844;74,2143;2,0956;76,7160;1,1825;44,0000;76,7160;44,0000
33853,8763;74,2260;2,0925;76,8220;1,1775;44,0241;76,8220;44,0241
35210,6129;74,2638;2,0917;76,7200;1,1758;44,1655;76,7200;44,1655
36620,1208;74,2788;2,0902;76,7900;1,2087;44,2966;76,7900;44,2966
38069,5520;74,3289;2,0879;76,7640;1,1779;44,1379;76,7640;44,1379
39522,2933;74,3338;2,0859;76,8020;1,1853;44,0931;76,8020;44,0931
40990,6300;74,3920;2,0839;76,8280;1,1867;44,2276;76,8280;44,2276
42464,2082;74,4469;2,0815;76,7680;1,1705;44,1414;76,7680;44,1414
43947,3476;74,4466;2,0811;76,8420;1,1760;44,2034;76,8420;44,2034
45420,8005;74,4976;2,0800;76,8480;1,1813;44,1414;76,8480;44,1414
46895,6756;74,4658;2,0794;76,9140;1,1900;44,1862;76,9140;44,1862
48368,0579;74,5187;2,0777;76,9040;1,1787;44,3276;76,9040;44,3276
49883,8452;74,5246;2,0771;76,8340;1,1803;44,2172;76,8340;44,2172
51379,2925;74,5449;2,0766;76,8620;1,1698;44,2690;76,8620;44,2690
52896,9040;74,5558;2,0761;76,8660;1,1805;44,1034;76,8660;44,1034
54397,7452;74,5804;2,0745;76,8980;1,1793;44,2448;76,8980;44,2448
55900,7651;74,6172;2,0738;76,8780;1,1696;44,3966;76,8780;44,3966
57403,4459;74,6530;2,0710;76,8960;1,1790;44,1862;76,8960;44,1862
58870,9471;74,6128;2,0725;76,9260;1,1812;44,3552;76,9260;44,3552
60375,3953;74,6555;2,0715;76,9780;1,1848;44,3034;76,9780;44,3034
62128,3573;74,6254;2,0714;76,8560;1,1853;44,1138;76,8560;44,1138
64037,1663;74,7096;2,0697;76,9060;1,1852;44,2552;76,8940;44,0966
65833,2198;74,6583;2,0701;76,9440;1,1758;44,2655;76,8940;44,1931
67569,8680;74,6629;2,0710;76,9020;1,1738;44,3034;76,9860;44,1517
69290,9293;74,6746;2,0699;76,8660;1,1828;44,2897;76,9280;44,1724
70987,6603;74,6173;2,0719;76,9080;1,1748;44,1931;76,8240;43,9448
72687,0577;74,6000;2,0708;76,9560;1,1816;44,1828;76,7700;43,9000
74476,3701;74,6595;2,0698;76,8120;1,1952;44,3966;76,7280;43,9310
76146,8859;74,7024;2,0695;76,9040;1,1860;44,3759;76,5940;43,4759
77892,5021;74,6397;2,0705;77,0040;1,1789;44,3724;76,6840;43,5207
