time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
2122,2230;52,6513;4,2753;72,0760;1,6863;41,6655
4170,9614;55,4442;4,0797;71,0780;1,8291;41,1828
6300,4165;55,6667;4,0529;72,9360;1,7054;42,8690
8442,7027;56,1280;4,0207;72,7200;1,8103;42,8517
10495,7646;56,4360;4,0069;73,7160;1,6323;43,7000
12628,7648;56,7902;3,9837;73,5080;1,7222;43,4793
14736,2600;56,8472;3,9743;73,3800;1,7675;43,3448
16781,5158;57,3437;3,9373;73,6660;1,6967;43,8793
18871,3771;57,4273;3,9221;73,5520;1,7019;44,0034
20988,5305;57,4615;3,9244;74,2440;1,6504;43,9862
23012,9087;57,6041;3,9177;74,1560;1,7323;44,2103
25180,9727;57,4219;3,9153;74,0620;1,6607;44,2448
27323,9805;57,2235;3,9275;74,3220;1,6319;44,6621
29454,6748;57,6729;3,9085;74,2460;1,6897;44,3069
31626,2993;57,9366;3,8877;74,5560;1,5957;44,9000
33758,7382;57,6218;3,8927;74,7840;1,6086;44,9690
35834,2251;57,6850;3,9000;74,4880;1,6320;44,9483
37835,0115;57,8812;3,8854;74,4660;1,6716;44,9862
39981,5611;57,8802;3,8875;74,8900;1,5809;45,0690
41938,2172;58,0831;3,8722;74,5420;1,6325;44,6379
43356,7240;58,1254;3,8654;74,4120;1,6649;45,0483
44681,3093;58,2828;3,8502;74,2500;1,7305;44,3517
45976,0245;57,9547;3,8621;74,7420;1,6340;45,1966
47299,7018;58,1267;3,8570;74,5160;1,7269;44,9828
48627,4603;58,1709;3,8587;74,9480;1,5520;45,4828
50902,9043;58,0615;3,8562;74,4460;1,7223;44,8034
53192,4090;58,3374;3,8345;74,5380;1,7190;44,6414
55437,2727;58,0959;3,8525;74,5500;1,6830;45,1345
57712,9029;58,4767;3,8289;74,7720;1,6802;45,1655
60053,2313;58,5509;3,8263;74,7080;1,7186;44,9414
