;config_686_avg
Standard_Acc;75,7340
RMSCE;0,2694
gaussian_noise;45,3456
shot_noise;44,0500
impulse_noise;42,5600
defocus_blur;40,5776
glass_blur;28,8384
motion_blur;43,5864
zoom_blur;42,5192
snow;35,4524
frost;42,7684
fog;49,7348
brightness;67,2596
contrast;39,5508
elastic_transform;45,1548
pixelate;47,2748
jpeg_compression;56,0564
speckle_noise;51,1300
gaussian_blur;43,7028
spatter;52,3900
saturate;63,7336
blue_noise_sample;50,2444
brownish_noise;62,3812
caustic_refraction;55,5740
checkerboard_cutout;50,3412
cocentric_sine_waves;16,5660
inverse_sparkles;22,3392
perlin_noise;64,1704
plasma_noise;36,3616
single_frequency_greyscale;24,3372
sparkles;63,9708
Acc_C-all-19;46,4045
Acc_C-original-15;44,7153
Acc_C-bar-10;44,6286
Acc_all-ex-pixelwise-noise-24;45,6101
RMSCE_C;0,1856
Acc_A;0,3467
Acc_R;26,0069
Acc_Sketch;25,9270
Acc_ES-auto_exposure;0,0000
Acc_ES-param_control;0,0074
Acc_V2;63,5000
uniform-l1,1403.4,False,max;75,2980
uniform-l2,10.37,False,max;74,5200
uniform-linf,0.1446,False,max;69,7660
uniform-l0.5,200000000.0,True,max;74,8160
uniform-l1,2500.0,True,max;74,8360
uniform-l2,8.0,True,max;74,9740
uniform-l10,0.07,True,max;75,1780
uniform-l50,0.035,True,max;75,1460
uniform-linf,0.015,True,max;75,2320
uniform-l0-impulse,0.01,True,max;69,1820
uniform-l0-impulse,0.02,True,max;67,4720
uniform-l0-impulse,0.05,True,max;62,1600
uniform-l0-impulse,0.1,True,max;50,4720
uniform-l0-impulse,0.2,True,max;26,5040
uniform-l0-impulse,0.5,True,max;1,2720
uniform-l0.5,200000000.0,False,max;74,8020
uniform-l0.5,500000000.0,False,max;72,2540
uniform-l0.5,1000000000.0,False,max;66,8660
uniform-l0.5,2000000000.0,False,max;51,1680
uniform-l0.5,5000000000.0,False,max;12,6980
uniform-l0.5,10000000000.0,False,max;1,0660
uniform-l1,1000.0,False,max;75,5120
uniform-l1,5000.0,False,max;73,0360
uniform-l1,10000.0,False,max;68,9080
uniform-l1,20000.0,False,max;53,6480
uniform-l1,50000.0,False,max;7,7400
uniform-l1,100000.0,False,max;0,4140
uniform-l2,5.0,False,max;75,4060
uniform-l2,10.0,False,max;74,6580
uniform-l2,20.0,False,max;72,6060
uniform-l2,50.0,False,max;63,7880
uniform-l2,100.0,False,max;33,8440
uniform-l2,200.0,False,max;1,8320
uniform-l10,0.05,False,max;75,4200
uniform-l10,0.1,False,max;74,8780
uniform-l10,0.2,False,max;73,3640
uniform-l10,0.5,False,max;66,8880
uniform-l10,1.0,False,max;43,6160
uniform-l10,2.0,False,max;3,2080
uniform-l50,0.02,False,max;75,4300
uniform-l50,0.05,False,max;74,7580
uniform-l50,0.1,False,max;72,7620
uniform-l50,0.2,False,max;68,0000
uniform-l50,0.5,False,max;34,9600
uniform-l50,1.0,False,max;1,1160
uniform-linf,0.02,False,max;75,4220
uniform-linf,0.05,False,max;74,3820
uniform-linf,0.1,False,max;72,1760
uniform-linf,0.2,False,max;65,6080
uniform-linf,0.5,False,max;23,0020
uniform-linf,1.0,False,max;0,3900
Class Separation Robustness;73,1947
imperceptible Robustness;75,0303
Average p-norm robustness;50,7783
