time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
1632,4979;63,2766;3,5636;79,3400;1,6403;52,2310
3365,1404;64,0423;3,4729;79,3000;1,6493;52,1069
5040,1610;64,2762;3,4346;79,4380;1,5848;52,0931
6757,0213;64,1697;3,4050;79,5820;1,6083;51,5414
8596,5706;63,9750;3,3976;79,3740;1,6954;51,2414
10302,5250;64,3650;3,3783;79,3400;1,6749;51,2069
11952,5629;64,3461;3,3749;79,8100;1,4628;51,9034
13580,3481;64,1354;3,3701;79,7040;1,6051;51,5862
15181,8585;63,8953;3,3594;79,6680;1,5682;51,9897
16793,1122;64,3330;3,3324;79,5540;1,6095;51,6690
18397,9920;64,0408;3,3419;79,7680;1,6185;51,2621
19976,4546;64,2626;3,3295;79,6580;1,5893;51,0724
21558,2246;63,9779;3,3313;79,7020;1,6521;51,2103
23160,9161;64,2400;3,3119;79,7140;1,5965;51,1414
24774,7310;64,2394;3,3145;79,7240;1,5843;50,8069
26407,5215;64,2114;3,3075;79,7280;1,6079;51,2310
28098,4287;64,2172;3,3046;79,5160;1,7014;51,5000
29840,9505;64,1593;3,3091;79,6120;1,5686;51,0379
31537,4619;64,0589;3,3082;79,5900;1,6211;51,5034
33241,8585;64,5497;3,2843;79,7120;1,6416;50,5034
34921,7899;64,3161;3,2838;79,7160;1,5741;50,8621
36607,6615;64,3289;3,2909;79,4660;1,7284;50,8103
38629,2727;64,2348;3,2773;79,7100;1,5408;51,6724
40717,4061;63,9234;3,3033;79,6080;1,5515;50,7862
42518,9284;64,5779;3,2624;79,5920;1,6299;51,1966
44352,6469;64,4245;3,2710;79,5240;1,6541;51,1379
46156,2151;64,4811;3,2701;79,6660;1,6047;51,1862
47935,5111;64,3694;3,2674;79,6180;1,6541;50,8793
49749,4199;63,9625;3,2926;79,6000;1,6255;51,1138
51627,9210;64,2802;3,2835;79,8060;1,4961;50,9862
