;config_670_avg
Standard_Acc;76,6500
RMSCE;0,3623
gaussian_noise;48,1036
shot_noise;45,2264
impulse_noise;47,8064
defocus_blur;39,3044
glass_blur;32,1244
motion_blur;42,4112
zoom_blur;45,2988
snow;38,5268
frost;45,0224
fog;55,2708
brightness;67,3596
contrast;45,7940
elastic_transform;46,0588
pixelate;45,8108
jpeg_compression;56,7560
speckle_noise;49,7804
gaussian_blur;42,7044
spatter;53,9564
saturate;62,3792
blue_noise_sample;47,3212
brownish_noise;63,2328
caustic_refraction;58,2528
checkerboard_cutout;52,0296
cocentric_sine_waves;19,2768
inverse_sparkles;29,8564
perlin_noise;65,8400
plasma_noise;34,5876
single_frequency_greyscale;28,9828
sparkles;65,5996
Acc_C-all-19;47,8787
Acc_C-original-15;46,7250
Acc_C-bar-10;46,4980
Acc_all-ex-pixelwise-noise-24;47,3515
RMSCE_C;0,2274
Acc_A;2,9200
Acc_R;25,5273
Acc_Sketch;23,6043
Acc_ES-auto_exposure;0,0100
Acc_ES-param_control;0,0537
Acc_V2;64,9000
uniform-l1,1403.4,False,max;76,1920
uniform-l2,10.37,False,max;75,3080
uniform-linf,0.1446,False,max;70,7180
uniform-l0.5,200000000.0,True,max;75,6540
uniform-l1,2500.0,True,max;75,4720
uniform-l2,8.0,True,max;75,5940
uniform-l10,0.07,True,max;76,0820
uniform-l50,0.035,True,max;75,9300
uniform-linf,0.015,True,max;76,0400
uniform-l0-impulse,0.01,True,max;74,3000
uniform-l0-impulse,0.02,True,max;72,2600
uniform-l0-impulse,0.05,True,max;67,7000
uniform-l0-impulse,0.1,True,max;62,1120
uniform-l0-impulse,0.2,True,max;53,0380
uniform-l0-impulse,0.5,True,max;32,5620
uniform-l0.5,200000000.0,False,max;75,5980
uniform-l0.5,500000000.0,False,max;73,2700
uniform-l0.5,1000000000.0,False,max;69,1680
uniform-l0.5,2000000000.0,False,max;61,7680
uniform-l0.5,5000000000.0,False,max;45,6980
uniform-l0.5,10000000000.0,False,max;29,6460
uniform-l1,1000.0,False,max;76,3720
uniform-l1,5000.0,False,max;73,9400
uniform-l1,10000.0,False,max;70,2540
uniform-l1,20000.0,False,max;62,5460
uniform-l1,50000.0,False,max;41,6020
uniform-l1,100000.0,False,max;20,2060
uniform-l2,5.0,False,max;76,1480
uniform-l2,10.0,False,max;75,3020
uniform-l2,20.0,False,max;73,5180
uniform-l2,50.0,False,max;67,0160
uniform-l2,100.0,False,max;54,4380
uniform-l2,200.0,False,max;31,5300
uniform-l10,0.05,False,max;76,2740
uniform-l10,0.1,False,max;75,6880
uniform-l10,0.2,False,max;74,1600
uniform-l10,0.5,False,max;68,7840
uniform-l10,1.0,False,max;58,0140
uniform-l10,2.0,False,max;33,9880
uniform-l50,0.02,False,max;76,4140
uniform-l50,0.05,False,max;75,4200
uniform-l50,0.1,False,max;73,7540
uniform-l50,0.2,False,max;69,4520
uniform-l50,0.5,False,max;54,0040
uniform-l50,1.0,False,max;26,4260
uniform-linf,0.02,False,max;76,1980
uniform-linf,0.05,False,max;75,2060
uniform-linf,0.1,False,max;73,1400
uniform-linf,0.2,False,max;67,9260
uniform-linf,0.5,False,max;49,0980
uniform-linf,1.0,False,max;18,9520
Class Separation Robustness;74,0727
imperceptible Robustness;75,7953
Average p-norm robustness;61,0212
