time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
4536,0330;64,4569;2,4755;79,8240;1,1132;53,8000;79,8240;53,8000
9081,2303;67,4224;2,3162;80,0000;1,1212;53,7724;79,7340;54,4138
13665,1245;68,3397;2,2705;80,0340;1,1154;53,8069;79,7860;54,2552
18363,5539;68,7567;2,2477;80,0420;1,1190;53,8241;79,5160;53,7517
23137,0185;69,1274;2,2295;80,0260;1,1058;53,8966;79,1920;52,9724
27950,1571;69,4246;2,2151;79,9820;1,1194;53,6138;78,7060;52,1069
32757,2072;69,6383;2,2059;79,9820;1,1134;53,8552;78,3440;51,0759
37459,2994;69,8207;2,1955;80,0240;1,1221;53,9483;78,0300;50,3655
42081,5191;70,0161;2,1873;79,9320;1,1157;53,9241;77,4620;49,7517
46873,9618;70,1382;2,1810;80,0580;1,1069;53,7621;76,0800;47,7276
