;config_760_avg;config_760_std;config_760_run_0;config_760_run_1;config_760_run_2
Standard_Acc;80,4627;0,0205;80,4360;80,4860;80,4660
RMSCE;0,2637;0,0034;0,2652;0,2589;0,2668
gaussian_noise;46,7960;0,0947;46,8152;46,9012;46,6716
shot_noise;45,5069;0,1109;45,5284;45,6308;45,3616
impulse_noise;43,4092;0,1267;43,4168;43,5604;43,2504
defocus_blur;45,5480;0,1025;45,4252;45,6760;45,5428
glass_blur;39,6039;0,0757;39,5292;39,7076;39,5748
motion_blur;49,6291;0,0786;49,6188;49,7300;49,5384
zoom_blur;44,7035;0,1038;44,6624;44,8460;44,6020
snow;48,8951;0,1590;48,9472;49,0584;48,6796
frost;53,1167;0,0552;53,1884;53,1076;53,0540
fog;62,5169;0,1553;62,3008;62,6588;62,5912
brightness;72,9457;0,0257;72,9668;72,9608;72,9096
contrast;61,4367;0,0489;61,3728;61,4916;61,4456
elastic_transform;55,1743;0,0744;55,1436;55,1024;55,2768
pixelate;59,7496;0,1291;59,7760;59,8928;59,5800
jpeg_compression;62,7297;0,0475;62,6932;62,7968;62,6992
speckle_noise;52,0033;0,1318;52,0088;52,1620;51,8392
gaussian_blur;48,8292;0,1250;48,6740;48,9800;48,8336
spatter;60,0263;0,1069;59,9176;60,1716;59,9896
saturate;70,9936;0,0309;71,0372;70,9692;70,9744
blue_noise_sample;56,4145;0,0304;56,4140;56,4520;56,3776
brownish_noise;69,4703;0,0212;69,4872;69,4404;69,4832
caustic_refraction;62,3180;0,0738;62,2140;62,3780;62,3620
checkerboard_cutout;57,0193;0,1812;57,2584;56,8200;56,9796
cocentric_sine_waves;22,8664;0,0217;22,8436;22,8956;22,8600
inverse_sparkles;28,8347;0,0864;28,7456;28,8068;28,9516
perlin_noise;68,7803;0,0791;68,6892;68,7696;68,8820
plasma_noise;44,9551;0,0778;45,0044;44,8452;45,0156
single_frequency_greyscale;35,9211;0,1603;35,8300;36,1464;35,7868
sparkles;68,3841;0,0507;68,3568;68,3404;68,4552
Acc_C-all-19;53,8744;0,0679;53,8433;53,9686;53,8113
Acc_C-original-15;52,7841;0,0662;52,7590;52,8747;52,7185
Acc_C-bar-10;51,4964;0,0136;51,4843;51,4894;51,5154
Acc_all-ex-pixelwise-noise-24;53,9353;0,0344;53,9034;53,9830;53,9195
RMSCE_C;0,1647;0,0022;0,1663;0,1616;0,1662
Acc_A;5,9378;0,0453;5,8933;5,9200;6,0000
Acc_R;33,1516;0,0318;33,1431;33,1176;33,1940
Acc_Sketch;35,3770;0,0389;35,3849;35,4202;35,3259
Acc_ES-auto_exposure;0,0033;0,0047;0,0000;0,0000;0,0100
Acc_ES-param_control;0,0093;0,0015;0,0074;0,0111;0,0093
Acc_V2;69,4067;0,0741;69,3100;69,4200;69,4900
uniform-l1,1403.4,False,max;79,7813;0,0281;79,8060;79,7960;79,7420
uniform-l2,10.37,False,max;78,5060;0,0182;78,4820;78,5260;78,5100
uniform-linf,0.1446,False,max;70,6627;0,0801;70,7580;70,6680;70,5620
uniform-l0.5,200000000.0,True,max;78,9020;0,0442;78,8980;78,9580;78,8500
uniform-l1,2500.0,True,max;78,8360;0,0319;78,8340;78,8760;78,7980
uniform-l2,8.0,True,max;79,1247;0,0271;79,1200;79,0940;79,1600
uniform-l10,0.07,True,max;79,5527;0,0290;79,5120;79,5680;79,5780
uniform-l50,0.035,True,max;79,4173;0,0369;79,4600;79,4220;79,3700
uniform-linf,0.015,True,max;79,6413;0,0236;79,6580;79,6580;79,6080
uniform-l0-impulse,0.01,True,max;74,5393;0,0512;74,5500;74,5960;74,4720
uniform-l0-impulse,0.02,True,max;70,5473;0,0270;70,5820;70,5440;70,5160
uniform-l0-impulse,0.05,True,max;61,3853;0,0867;61,4880;61,3920;61,2760
uniform-l0-impulse,0.1,True,max;48,1007;0,2103;48,1340;48,3400;47,8280
uniform-l0-impulse,0.2,True,max;28,3153;0,4357;28,2260;28,8880;27,8320
uniform-l0-impulse,0.5,True,max;3,4400;0,1294;3,3660;3,6220;3,3320
uniform-l0.5,200000000.0,False,max;78,8513;0,0343;78,8540;78,8920;78,8080
uniform-l0.5,500000000.0,False,max;74,7513;0,0414;74,8060;74,7420;74,7060
uniform-l0.5,1000000000.0,False,max;66,0347;0,0839;66,0740;66,1120;65,9180
uniform-l0.5,2000000000.0,False,max;47,6773;0,2197;47,7240;47,9200;47,3880
uniform-l0.5,5000000000.0,False,max;16,2320;0,3780;16,1720;16,7220;15,8020
uniform-l0.5,10000000000.0,False,max;2,7413;0,0791;2,6720;2,8520;2,7000
uniform-l1,1000.0,False,max;80,0527;0,0235;80,0740;80,0640;80,0200
uniform-l1,5000.0,False,max;76,2560;0,0444;76,3020;76,2700;76,1960
uniform-l1,10000.0,False,max;69,2847;0,0899;69,3980;69,2780;69,1780
uniform-l1,20000.0,False,max;49,6227;0,1446;49,6140;49,8040;49,4500
uniform-l1,50000.0,False,max;11,2340;0,2920;11,1840;11,6140;10,9040
uniform-l1,100000.0,False,max;0,8500;0,0565;0,7840;0,9220;0,8440
uniform-l2,5.0,False,max;79,7453;0,0253;79,7100;79,7680;79,7580
uniform-l2,10.0,False,max;78,6487;0,0182;78,6320;78,6740;78,6400
uniform-l2,20.0,False,max;75,5893;0,0457;75,6100;75,6320;75,5260
uniform-l2,50.0,False,max;61,2827;0,0645;61,3680;61,2680;61,2120
uniform-l2,100.0,False,max;32,4593;0,4620;32,2680;33,0960;32,0140
uniform-l2,200.0,False,max;3,8553;0,1440;3,8220;4,0460;3,6980
uniform-l10,0.05,False,max;79,9680;0,0212;79,9980;79,9540;79,9520
uniform-l10,0.1,False,max;79,0667;0,0292;79,1060;79,0360;79,0580
uniform-l10,0.2,False,max;76,7173;0,0389;76,7600;76,7260;76,6660
uniform-l10,0.5,False,max;66,1673;0,0726;66,2700;66,1180;66,1140
uniform-l10,1.0,False,max;40,0667;0,2589;40,0360;40,3980;39,7660
uniform-l10,2.0,False,max;5,7660;0,2085;5,7120;6,0440;5,5420
uniform-l50,0.02,False,max;80,0900;0,0212;80,1200;80,0740;80,0760
uniform-l50,0.05,False,max;78,7167;0,0278;78,7500;78,7180;78,6820
uniform-l50,0.1,False,max;75,9240;0,0302;75,9600;75,9260;75,8860
uniform-l50,0.2,False,max;68,2147;0,0988;68,3520;68,1680;68,1240
uniform-l50,0.5,False,max;32,9473;0,3610;32,8560;33,4280;32,5580
uniform-l50,1.0,False,max;2,4613;0,0716;2,4020;2,5620;2,4200
uniform-linf,0.02,False,max;79,8833;0,0313;79,9260;79,8520;79,8720
uniform-linf,0.05,False,max;78,3200;0,0263;78,2900;78,3540;78,3160
uniform-linf,0.1,False,max;74,8707;0,0407;74,9280;74,8380;74,8460
uniform-linf,0.2,False,max;64,2787;0,0637;64,3580;64,2760;64,2020
uniform-linf,0.5,False,max;23,7133;0,4083;23,6400;24,2460;23,2540
uniform-linf,1.0,False,max;0,8833;0,0270;0,8520;0,9180;0,8800
Class Separation Robustness;76,3167;0,0329;76,3487;76,3300;76,2713
imperceptible Robustness;79,2457;0,0145;79,2470;79,2627;79,2273
Average p-norm robustness;52,3703;0,1017;52,3745;52,4927;52,2436
