;config_1_avg
Standard_Acc;75,5480
RMSCE;0,1023
gaussian_noise;35,3668
shot_noise;32,9900
impulse_noise;29,9804
defocus_blur;37,1964
glass_blur;28,6352
motion_blur;39,1592
zoom_blur;38,7424
snow;34,7336
frost;38,9604
fog;47,6324
brightness;66,2468
contrast;38,8292
elastic_transform;45,0036
pixelate;47,8560
jpeg_compression;53,8060
speckle_noise;40,0268
gaussian_blur;41,2632
spatter;49,8308
saturate;61,2864
blue_noise_sample;42,2312
brownish_noise;59,5076
caustic_refraction;54,5888
checkerboard_cutout;50,5724
cocentric_sine_waves;17,4932
inverse_sparkles;26,1572
perlin_noise;60,9712
plasma_noise;28,2132
single_frequency_greyscale;24,0676
sparkles;64,7180
Acc_C-all-19;42,5024
Acc_C-original-15;41,0092
Acc_C-bar-10;42,8520
Acc_all-ex-pixelwise-noise-24;43,9779
RMSCE_C;0,0661
Acc_A;1,4800
Acc_R;26,0154
Acc_Sketch;25,4652
Acc_ES-auto_exposure;0,0000
Acc_ES-param_control;0,0148
Acc_V2;63,6800
uniform-l1,1403.4,False,max;74,7600
uniform-l2,10.37,False,max;72,7680
uniform-linf,0.1446,False,max;61,3400
uniform-l0.5,200000000.0,True,max;73,0780
uniform-l1,2500.0,True,max;73,3320
uniform-l2,8.0,True,max;73,7740
uniform-l10,0.07,True,max;74,4900
uniform-l50,0.035,True,max;74,2820
uniform-linf,0.015,True,max;74,5740
uniform-l0-impulse,0.01,True,max;48,7020
uniform-l0-impulse,0.02,True,max;46,7440
uniform-l0-impulse,0.05,True,max;41,1000
uniform-l0-impulse,0.1,True,max;22,9600
uniform-l0-impulse,0.2,True,max;5,0140
uniform-l0-impulse,0.5,True,max;0,2120
uniform-l0.5,200000000.0,False,max;73,1900
uniform-l0.5,500000000.0,False,max;66,5780
uniform-l0.5,1000000000.0,False,max;53,9720
uniform-l0.5,2000000000.0,False,max;25,4760
uniform-l0.5,5000000000.0,False,max;1,1960
uniform-l0.5,10000000000.0,False,max;0,1980
uniform-l1,1000.0,False,max;75,1740
uniform-l1,5000.0,False,max;69,4000
uniform-l1,10000.0,False,max;58,9060
uniform-l1,20000.0,False,max;29,3480
uniform-l1,50000.0,False,max;0,6760
uniform-l1,100000.0,False,max;0,1340
uniform-l2,5.0,False,max;74,8900
uniform-l2,10.0,False,max;72,9720
uniform-l2,20.0,False,max;68,3800
uniform-l2,50.0,False,max;47,6260
uniform-l2,100.0,False,max;8,9020
uniform-l2,200.0,False,max;0,2460
uniform-l10,0.05,False,max;75,0820
uniform-l10,0.1,False,max;73,6420
uniform-l10,0.2,False,max;70,1720
uniform-l10,0.5,False,max;54,6220
uniform-l10,1.0,False,max;16,7800
uniform-l10,2.0,False,max;0,3420
uniform-l50,0.02,False,max;75,1200
uniform-l50,0.05,False,max;73,2000
uniform-l50,0.1,False,max;69,0120
uniform-l50,0.2,False,max;57,2220
uniform-l50,0.5,False,max;9,4800
uniform-l50,1.0,False,max;0,1960
uniform-linf,0.02,False,max;74,9260
uniform-linf,0.05,False,max;72,4940
uniform-linf,0.1,False,max;67,1880
uniform-linf,0.2,False,max;51,6620
uniform-linf,0.5,False,max;4,0460
uniform-linf,1.0,False,max;0,1360
Class Separation Robustness;69,6227
imperceptible Robustness;73,9217
Average p-norm robustness;41,3647
