time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
1503,7917;0,1198;6,9355;0,1540;6,8932;0,2000
2945,7915;1,1467;6,6156;4,6960;5,5719;2,3310
4481,7364;5,6983;5,8719;14,8380;4,5291;5,5621
6069,8842;12,0102;5,2802;22,9820;3,8942;9,8931
7641,7695;17,5884;4,8671;28,5060;3,5054;12,5000
9142,6288;21,2325;4,6261;34,3000;3,1442;15,1310
10663,5164;24,7143;4,4163;33,2380;3,2505;12,4862
12579,4344;26,8184;4,2947;39,7440;2,8339;17,4586
14268,3364;28,3733;4,2058;40,4860;2,8369;17,9897
15912,5061;29,4262;4,1463;43,1000;2,6398;19,4207
17649,4126;30,3597;4,0932;44,0260;2,6467;17,6138
19437,9149;31,0927;4,0530;43,6080;2,6456;17,6310
21115,9142;31,7601;4,0220;44,0440;2,6335;20,2897
22819,8252;32,1770;3,9953;45,1760;2,5604;19,9138
24521,8551;32,6208;3,9693;46,7560;2,4946;22,3483
26288,0219;33,0805;3,9505;43,8760;2,6589;19,4897
31112,6571;33,3156;3,9352;48,2580;2,3936;22,4103
36759,6925;33,5808;3,9219;45,2620;2,5723;21,0207
40468,3422;33,8517;3,9062;44,2040;2,6295;18,7276
42890,5559;34,1075;3,8933;47,0340;2,4873;22,0759
47029,9517;34,2670;3,8859;48,3120;2,4310;21,1207
49668,7973;34,4694;3,8744;48,7380;2,3810;22,9793
53504,4068;34,5984;3,8680;48,6160;2,3584;21,2310
57483,2392;34,7610;3,8590;48,2900;2,4226;21,0690
60324,9867;34,9604;3,8496;47,6500;2,4021;20,4931
64726,5816;35,0567;3,8435;47,4880;2,4312;21,3414
66292,6844;35,1772;3,8378;49,3120;2,3022;22,2828
68037,5801;35,3020;3,8308;50,3660;2,2690;24,0207
69660,8304;35,4057;3,8263;45,7500;2,5572;18,0690
71268,5849;35,5950;3,8173;49,4500;2,3754;24,5276
73071,4496;35,6246;3,8143;49,1200;2,3239;21,8517
74469,6228;35,6926;3,8114;49,4560;2,3775;22,7828
75850,7892;35,7366;3,8064;50,4700;2,3097;24,3138
77243,3267;35,8746;3,8007;50,9640;2,2767;25,1241
78622,9333;35,9380;3,7980;50,3600;2,3017;23,0448
80004,4200;36,0794;3,7920;45,9000;2,5372;20,5276
81366,3849;36,1022;3,7875;48,0880;2,4384;23,1586
82740,8168;36,1810;3,7828;50,6340;2,3022;24,5897
84105,7863;36,3608;3,7786;49,3340;2,3065;23,9448
85487,9462;36,3796;3,7773;49,9020;2,2891;23,1069
86875,1705;36,5109;3,7696;48,8940;2,4486;21,8931
88258,1828;36,5014;3,7685;47,4840;2,4486;22,1069
89622,6987;36,6139;3,7630;50,5520;2,3130;24,5690
91009,4348;36,6778;3,7613;47,1660;2,4461;20,7897
92378,5014;36,7592;3,7560;49,8780;2,3233;23,9034
93747,3415;36,7770;3,7551;51,9940;2,2297;23,4345
95147,0220;36,9398;3,7491;50,3660;2,3255;24,1897
96535,9101;37,0010;3,7413;51,5700;2,2092;25,0000
97894,2831;37,0740;3,7395;49,9620;2,3537;23,7586
99254,0412;37,1882;3,7351;51,1140;2,2554;23,9621
100610,7866;37,1955;3,7335;52,3300;2,1743;24,5517
101967,9700;37,3199;3,7271;52,0560;2,2065;26,0586
103325,9680;37,3854;3,7240;52,7520;2,2053;24,7379
104700,7444;37,4558;3,7189;50,7100;2,3286;23,4207
106069,4281;37,5349;3,7165;49,5660;2,3287;22,1552
107436,7626;37,6625;3,7104;50,0800;2,3416;22,6379
108788,6590;37,6952;3,7075;50,1460;2,3885;22,6621
110183,4041;37,7811;3,7040;52,1000;2,2375;24,0138
111537,9755;37,8391;3,6997;51,2180;2,2646;24,9103
112907,4040;37,9974;3,6938;51,9420;2,2566;25,2862
114266,7445;38,0082;3,6919;51,1860;2,2712;22,4724
115640,0671;38,1338;3,6883;51,4960;2,2693;24,7724
117017,5551;38,1985;3,6821;52,6360;2,1920;25,7862
118364,1259;38,2856;3,6783;52,0740;2,2470;25,6103
119720,8056;38,3635;3,6726;52,7520;2,1787;26,4379
121088,9944;38,4090;3,6706;53,3360;2,1540;25,1483
122441,3165;38,5342;3,6642;52,1640;2,1941;24,1621
123807,4267;38,5643;3,6633;53,0420;2,2049;25,7310
125173,8901;38,7554;3,6537;53,7300;2,1765;24,6483
126526,5131;38,8344;3,6496;52,5200;2,2375;25,0759
127987,0989;38,8781;3,6475;53,4980;2,1632;27,0414
129441,4284;39,0502;3,6410;51,5060;2,2873;23,3517
131256,4777;39,1572;3,6352;54,8540;2,1021;28,4448
133677,5984;39,2173;3,6284;55,2140;2,0809;26,7724
135765,6757;39,3453;3,6262;54,4480;2,0929;27,5862
137585,2270;39,3870;3,6235;53,7900;2,1846;25,3517
139256,4176;39,5061;3,6167;54,8700;2,1559;26,4310
140891,0114;39,5924;3,6140;55,3160;2,1438;27,7414
142762,8048;39,7340;3,6057;54,7940;2,1266;26,7069
144465,8283;39,8299;3,6014;54,7840;2,0925;26,3897
146130,3111;39,9640;3,5959;55,0500;2,1162;26,0655
147765,3279;40,0632;3,5900;55,0360;2,0956;27,9276
149404,9790;40,1738;3,5825;51,4580;2,2799;23,5379
151043,8464;40,2650;3,5804;54,8900;2,1169;26,8966
152671,5457;40,4537;3,5706;55,7040;2,0710;27,4448
154367,8931;40,5436;3,5664;55,6220;2,0994;28,1483
156108,3374;40,6269;3,5623;54,7820;2,1211;26,6655
157847,6036;40,7667;3,5538;54,3240;2,1368;27,1483
159524,7366;40,8922;3,5501;54,7940;2,1082;25,9483
161244,5557;41,0182;3,5438;55,7360;2,0377;28,4069
162883,7551;41,1106;3,5371;55,3440;2,0604;26,8759
164559,5900;41,2601;3,5310;56,4800;2,0190;28,9207
166197,5610;41,3618;3,5267;56,0740;2,0664;28,1690
167962,4980;41,5239;3,5178;57,9320;1,9630;29,1655
169651,3060;41,7024;3,5106;56,0560;2,0574;27,7759
171385,8835;41,8395;3,5024;58,0440;1,9282;29,7379
173129,5538;41,9064;3,4993;56,5440;2,0553;28,0931
174890,7672;42,0427;3,4905;55,3120;2,0871;26,7793
177688,7685;42,1908;3,4857;58,2600;1,9381;30,3690
182076,1925;42,2930;3,4781;58,4420;1,9271;29,9724
183883,8074;42,4894;3,4721;57,6280;2,0082;28,6862
185581,2699;42,6870;3,4642;57,7720;2,0313;29,9069
187158,9828;42,7352;3,4583;58,1860;1,9742;30,9793
188558,1708;42,8650;3,4528;58,4980;1,9178;28,4103
190012,0005;43,0269;3,4441;57,8220;1,9577;29,5517
191723,6368;43,1635;3,4396;56,7300;2,0006;26,9000
193266,7444;43,3653;3,4286;58,1540;1,9902;29,9552
194721,5465;43,5819;3,4188;57,9220;2,0137;29,1448
196281,8340;43,6804;3,4137;59,1980;1,9270;30,2586
197747,5212;43,8517;3,4057;59,6540;1,8937;30,4586
199200,1115;44,0323;3,3974;60,4080;1,8353;30,2931
200820,5493;44,1394;3,3932;60,1580;1,9293;31,2724
202579,1843;44,2783;3,3852;59,9540;1,9037;29,7655
204413,8805;44,4777;3,3775;60,1380;1,8717;31,2241
206189,3954;44,6574;3,3691;59,2720;1,9142;28,9724
207948,2125;44,8031;3,3610;60,5680;1,8570;30,5483
210017,9558;45,0687;3,3508;60,2360;1,8401;31,5517
211946,3075;45,2751;3,3422;61,6760;1,8331;31,7241
213874,8811;45,3442;3,3373;61,6460;1,8089;32,1103
215729,1316;45,5165;3,3298;61,2640;1,8187;31,9414
217488,9353;45,6597;3,3218;61,2100;1,8383;29,7655
219304,5153;45,8373;3,3111;58,7220;1,9675;27,4793
221233,5369;45,9564;3,3067;62,1360;1,7928;31,7034
223077,0623;46,2709;3,2931;62,1080;1,7964;32,3655
224897,7795;46,3750;3,2872;62,4000;1,7721;31,0103
226603,4052;46,6181;3,2781;62,2120;1,8175;32,9690
229411,9006;46,7484;3,2704;61,9880;1,8010;33,0759
234372,8385;46,9600;3,2608;63,3060;1,7708;32,9690
238165,8207;47,1853;3,2519;62,9780;1,7312;33,0103
241716,8896;47,4074;3,2426;61,8920;1,8263;33,0379
244941,9309;47,6477;3,2306;61,6040;1,8107;30,5828
248556,2722;47,7869;3,2224;63,0660;1,8044;31,7966
251841,6559;48,0112;3,2152;63,7400;1,7463;34,3276
256061,8008;48,1507;3,2064;63,7200;1,7298;34,8793
259686,3502;48,4262;3,1963;63,4680;1,7266;32,6414
