;config_100_avg;config_100_std;config_100_run_0;config_100_run_1;config_100_run_2
Standard_Acc;71,0087;1,5125;73,1463;69,8731;70,0067
RMSCE;0,0964;0,0014;0,0948;0,0983;0,0960
gaussian_noise;69,8013;1,3289;71,6556;69,1391;68,6093
shot_noise;69,4040;1,5793;71,4570;67,6159;69,1391
impulse_noise;69,9558;1,7187;72,3179;68,2781;69,2715
defocus_blur;56,5784;0,4502;57,0199;56,7550;55,9603
glass_blur;62,6711;0,2251;62,5828;62,4503;62,9801
motion_blur;57,3510;0,4714;57,7483;56,6887;57,6159
zoom_blur;48,2119;0,3785;48,5430;48,4106;47,6821
snow;43,5762;1,5073;42,3179;42,7152;45,6954
frost;41,4128;0,6761;41,3907;42,2517;40,5960
fog;46,0927;0,9381;45,0993;47,3510;45,8278
brightness;54,5254;0,5782;54,3709;53,9073;55,2980
contrast;39,4702;0,7965;38,3444;40,0000;40,0662
elastic_transform;67,9249;1,3522;69,0728;66,0265;68,6755
pixelate;68,8962;0,5252;69,6026;68,3444;68,7417
jpeg_compression;68,4106;2,1824;71,3907;66,2252;67,6159
speckle_noise;70,7285;1,4337;72,6490;69,2053;70,3311
gaussian_blur;58,6534;0,3798;58,6093;59,1391;58,2119
spatter;64,4812;1,6722;65,5629;62,1192;65,7616
saturate;52,3400;2,4864;52,8477;55,0993;49,0728
Acc_C-all-19;58,4466;0,4651;59,0833;57,9854;58,2712
Acc_C-original-15;57,6188;0,4566;58,1943;57,0773;57,5850
Acc_C-bar-10;11,6065;0,0916;11,7278;11,5063;11,5856
Acc_all-ex-pixelwise-noise-24;37,4926;0,1444;37,6844;37,3361;37,4572
RMSCE_C;0,0946;0,0008;0,0935;0,0952;0,0950
uniform-l1,4753,False,max;67,4237;0,5463;68,0695;66,7335;67,4683
uniform-l2,8.51,False,max;67,4015;0,4118;67,9359;66,9339;67,3347
uniform-linf,0.39415,False,max;61,6121;0,7324;62,2578;60,5878;61,9906
uniform-l0.5,25000000000.0,True,max;67,4905;0,4094;68,0695;67,2011;67,2011
uniform-l1,40000.0,True,max;67,2679;0,6195;68,1363;66,9339;66,7335
uniform-l2,40.0,True,max;67,2901;0,6203;68,1363;67,0675;66,6667
uniform-l10,0.2,True,max;67,2901;0,2745;67,6019;66,9339;67,3347
uniform-l50,0.08,True,max;67,4015;0,4999;68,0695;66,8671;67,2679
uniform-linf,0.03,True,max;67,4460;0,4949;68,1363;67,2011;67,0007
uniform-l0-impulse,0.01,True,max;67,3347;0,3933;67,7355;66,8003;67,4683
uniform-l0-impulse,0.02,True,max;67,3347;1,0449;68,8043;66,4663;66,7335
