;config_45_avg
Standard_Acc;77,9559
RMSCE;0,1200
gaussian_noise;73,7748
shot_noise;75,4305
impulse_noise;75,4305
defocus_blur;60,9272
glass_blur;54,9007
motion_blur;62,5166
zoom_blur;53,4437
snow;21,1921
frost;21,9868
fog;33,3775
brightness;50,5298
contrast;32,3179
elastic_transform;67,7483
pixelate;76,0927
jpeg_compression;76,1589
speckle_noise;78,1457
gaussian_blur;53,3113
spatter;64,3709
saturate;40,4636
Acc_C-all-19;56,4273
Acc_C-original-15;55,7219
Acc_C-bar-10;11,2149
Acc_all-ex-pixelwise-noise-24;34,8448
RMSCE_C;0,1066
uniform-l1,4753,False,max;71,0087
uniform-l2,8.51,False,max;71,1423
uniform-linf,0.39415,False,max;62,5251
uniform-l0.5,25000000000.0,True,max;71,0755
uniform-l1,40000.0,True,max;71,1423
uniform-l2,40.0,True,max;70,6747
uniform-l10,0.2,True,max;71,1423
uniform-l50,0.08,True,max;71,2759
uniform-linf,0.03,True,max;70,8083
uniform-l0-impulse,0.01,True,max;71,2091
uniform-l0-impulse,0.02,True,max;69,9399
uniform-l0-impulse,0.05,True,max;67,9359
uniform-l0-impulse,0.1,True,max;66,9339
uniform-l0-impulse,0.2,True,max;63,4603
uniform-l0-impulse,0.5,True,max;55,3106
uniform-l0.5,50000000000.0,False,max;70,2071
uniform-l0.5,100000000000.0,False,max;67,6687
uniform-l0.5,200000000000.0,False,max;66,5331
uniform-l0.5,500000000000.0,False,max;58,7842
uniform-l0.5,1000000000000.0,False,max;51,8370
uniform-l0.5,2000000000000.0,False,max;39,5458
uniform-l1,20000.0,False,max;70,9419
uniform-l1,50000.0,False,max;70,1403
uniform-l1,100000.0,False,max;68,6707
uniform-l1,200000.0,False,max;66,1323
uniform-l1,500000.0,False,max;56,9806
uniform-l1,1000000.0,False,max;45,1570
uniform-l2,20.0,False,max;71,2759
uniform-l2,50.0,False,max;70,7415
uniform-l2,100.0,False,max;69,0715
uniform-l2,200.0,False,max;65,1303
uniform-l2,500.0,False,max;56,0454
uniform-l2,1000.0,False,max;42,2178
uniform-l10,0.1,False,max;71,8103
uniform-l10,0.2,False,max;70,6747
uniform-l10,0.5,False,max;68,4035
uniform-l10,1.0,False,max;65,3307
uniform-l10,2.0,False,max;57,3146
uniform-l10,5.0,False,max;35,1369
uniform-l50,0.02,False,max;71,2091
uniform-l50,0.05,False,max;70,9419
uniform-l50,0.1,False,max;70,4075
uniform-l50,0.2,False,max;69,0047
uniform-l50,0.5,False,max;63,5271
uniform-l50,1.0,False,max;50,2338
uniform-linf,0.02,False,max;71,3427
uniform-linf,0.05,False,max;71,0087
uniform-linf,0.1,False,max;70,2071
uniform-linf,0.2,False,max;67,4683
uniform-linf,0.5,False,max;60,2538
uniform-linf,1.0,False,max;45,6914
Class Separation Robustness;68,2253
imperceptible Robustness;71,0198
Average p-norm robustness;63,1390
