time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
173,7166;27,2059;0,6053;32,5317;0,5340;31,6143;32,5317;31,6143
356,3168;32,5368;0,5829;32,7989;0,5308;30,0954;32,7989;30,0954
535,1035;31,6511;0,5819;32,5317;0,4887;31,5436;32,5317;31,5436
721,9005;33,2052;0,5763;38,2766;0,4590;34,0516;38,2766;34,0516
895,8459;34,2413;0,5685;45,8250;0,4574;35,8177;45,8250;35,8177
1075,1542;34,8095;0,5695;39,0782;0,4471;31,6143;39,0782;31,6143
1259,6457;38,6197;0,5536;12,7589;0,7698;18,5447;12,7589;18,5447
1428,4971;40,1571;0,5463;41,7502;0,4229;35,1819;41,7502;35,1819
1633,4156;41,8282;0,5336;48,2966;0,3935;35,6764;48,2966;35,6764
1777,7802;44,5354;0,5213;39,8130;0,4159;32,2148;39,8130;32,2148
1923,5824;45,6217;0,5182;47,6954;0,3903;37,5486;47,6954;37,5486
2063,2616;46,7413;0,5112;46,8938;0,3625;35,5705;46,8938;35,5705
2224,7710;48,6798;0,5019;41,6166;0,4028;33,7337;41,6166;33,7337
2378,1738;50,7019;0,4947;45,2906;0,3992;34,9347;45,2906;34,9347
2512,5338;51,2199;0,4909;41,6834;0,3943;33,3451;41,6834;33,3451
2635,3488;52,4231;0,4853;38,9446;0,4772;32,7446;38,9446;32,7446
2759,3913;51,9719;0,4866;40,4142;0,4223;32,6033;40,4142;32,6033
2898,3039;52,2059;0,4843;33,9345;0,5667;29,9541;33,9345;29,9541
3052,0997;52,9412;0,4799;49,0314;0,3859;36,4535;49,0314;36,4535
3186,8572;53,4425;0,4788;46,1590;0,3679;35,0053;46,1590;35,0053
3331,7711;54,6791;0,4753;58,5170;0,3027;41,9993;58,5170;41,9993
3479,7526;55,9659;0,4717;59,0514;0,3219;40,9043;59,0514;40,9043
3634,3464;55,8824;0,4706;39,2118;0,4738;30,7312;39,2118;30,7312
3788,2033;57,9378;0,4621;62,0574;0,3037;40,1272;62,0574;40,1272
3936,2588;57,4532;0,4643;52,6386;0,3419;35,6764;52,6386;35,6764
4075,1879;59,2413;0,4587;44,9566;0,3655;33,6983;44,9566;33,6983
4185,1934;58,6063;0,4595;40,6814;0,3946;32,2854;40,6814;32,2854
4296,5789;60,3777;0,4540;40,8150;0,4439;31,5083;40,8150;31,5083
4408,5304;60,0769;0,4528;33,4669;0,3967;29,1063;33,4669;29,1063
4515,9927;60,1939;0,4530;47,2946;0,3536;33,7337;47,2946;33,7337
4623,8598;61,0963;0,4507;45,8250;0,4528;32,4974;45,8250;32,4974
4738,1592;62,5167;0,4472;44,5558;0,3571;31,4023;44,5558;31,4023
4845,8539;62,6671;0,4429;53,9746;0,3485;37,1953;53,9746;37,1953
4956,3435;62,4833;0,4444;40,8150;0,3623;33,9456;40,8150;33,9456
5072,7392;63,8703;0,4424;66,2659;0,2799;44,1187;66,2659;44,1187
5189,8037;64,3382;0,4405;60,7214;0,2829;39,3854;60,7214;39,3854
5297,7488;65,2741;0,4360;49,2318;0,3652;35,7118;49,2318;35,7118
5413,8118;65,8924;0,4362;40,2806;0,4304;31,8262;40,2806;31,8262
5532,9424;66,0762;0,4360;51,7702;0,3148;34,7227;51,7702;34,7227
5652,7355;67,2961;0,4280;65,5979;0,2749;42,4585;65,5979;42,4585
5764,8243;68,6999;0,4261;56,1790;0,3438;36,2063;56,1790;36,2063
5886,5806;68,8670;0,4247;41,7502;0,4723;27,3755;41,7502;27,3755
6008,7829;68,2487;0,4261;70,4743;0,2461;43,9774;70,4743;43,9774
6125,6645;69,2012;0,4253;66,1323;0,2619;43,8008;66,1323;43,8008
