time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
57,7395;0,0000;0,5047;11,8236;1,1581;11,8236
114,9338;0,0000;0,4698;41,4162;0,4588;41,4162
172,4067;0,0000;0,4424;31,3961;0,4922;31,3961
228,8834;0,0000;0,4117;28,4569;0,6010;28,4569
287,2537;0,0000;0,3807;53,2398;0,3411;53,2398
345,0250;0,0000;0,3593;52,9726;0,3489;52,9726
406,6497;0,0334;0,3419;32,7989;0,6995;32,7989
468,0527;0,0000;0,3345;45,0902;0,3707;45,0902
528,2732;0,0000;0,3234;35,3373;0,6163;35,3373
585,9863;0,0000;0,3059;42,6186;0,3885;42,6186
644,8561;0,0167;0,2928;46,6266;0,5079;46,6266
701,8022;0,0000;0,2801;56,5798;0,2840;56,5798
760,0692;0,0000;0,2687;47,1610;0,3711;47,1610
817,7842;0,0334;0,2559;59,3186;0,2610;59,3186
875,0240;0,0167;0,2459;45,2238;0,4057;45,2238
933,2371;0,0167;0,2353;59,4522;0,2722;59,4522
990,5326;0,0167;0,2301;60,7214;0,2660;60,7214
1047,6436;0,0668;0,2231;62,2578;0,2383;62,2578
1105,1721;0,0334;0,2190;61,7902;0,2380;61,7902
1162,9249;0,0334;0,2164;62,4582;0,2357;62,4582
1220,0330;0,1504;0,2892;54,0414;0,3814;54,0414
1277,5683;0,0668;0,2911;2,8056;3,2439;2,8056
1335,6825;0,1671;0,2753;48,3634;0,3412;48,3634
1393,4954;0,1504;0,2664;59,6526;0,2617;59,6526
1451,7090;0,4679;0,2579;57,0474;0,2612;57,0474
1510,2213;0,6517;0,2470;52,8390;0,2867;52,8390
1567,8325;0,6016;0,2370;52,5050;0,3150;52,5050
1625,7158;0,8690;0,2326;38,3434;0,4553;38,3434
1683,3121;1,1865;0,2210;38,2766;0,5737;38,2766
1740,7544;1,2199;0,2185;60,1202;0,2573;60,1202
1798,1425;1,4706;0,2094;33,5337;0,9259;33,5337
1856,7334;1,7714;0,2033;35,9385;0,5551;35,9385
1914,3414;2,0722;0,1952;38,8110;0,6878;38,8110
1972,6442;2,0388;0,1903;43,8210;0,3266;43,8210
2031,3228;2,3061;0,1859;54,7762;0,2631;54,7762
2091,2052;2,7574;0,1795;46,9606;0,3637;46,9606
2151,4987;2,8242;0,1752;41,7502;0,5757;41,7502
2213,1290;3,0582;0,1714;60,9218;0,2356;60,9218
2274,5146;2,9913;0,1676;63,5271;0,2574;63,5271
2335,4819;3,1751;0,1612;65,4643;0,2291;65,4643
2396,0659;3,2587;0,1574;63,8611;0,2422;63,8611
2454,1984;3,2420;0,1556;59,2518;0,2891;59,2518
2513,0217;3,4091;0,1521;48,7642;0,4740;48,7642
2570,6067;3,4425;0,1494;61,4562;0,2516;61,4562
2628,2746;3,4425;0,1452;57,5150;0,2835;57,5150
2685,6009;3,5428;0,1449;59,5858;0,3010;59,5858
2743,7796;3,5762;0,1430;51,6366;0,4257;51,6366
2801,9186;3,6263;0,1411;55,3774;0,3411;55,3774
2859,6834;3,6263;0,1395;60,9886;0,2724;60,9886
2916,8448;3,6096;0,1384;58,9178;0,2990;58,9178
2974,4773;3,6263;0,1369;53,9746;0,3331;53,9746
3033,1875;3,6096;0,1369;58,7842;0,2820;58,7842
3091,3330;3,6430;0,1364;60,0534;0,2866;60,0534
3148,8791;3,6263;0,1352;63,1263;0,2612;63,1263
3206,9624;3,6430;0,1350;61,8570;0,2770;61,8570
3264,4805;3,6263;0,1347;59,1182;0,2922;59,1182
3322,1826;3,6430;0,1351;61,5230;0,2767;61,5230
3380,2015;3,6263;0,1341;59,3854;0,2860;59,3854
3437,5144;3,6430;0,1339;60,5210;0,2754;60,5210
3496,0055;3,6430;0,1345;59,6526;0,2766;59,6526
3554,0575;3,4592;0,1551;56,3126;0,3752;56,3126
3611,0605;3,3422;0,1678;53,4402;0,3749;53,4402
3669,4608;3,1751;0,1710;39,9466;0,4485;39,9466
3730,4832;3,2420;0,1693;50,5678;0,3722;50,5678
3790,5574;3,2921;0,1654;52,1042;0,4581;52,1042
3851,2504;3,3255;0,1640;39,2118;0,4338;39,2118
3908,9489;3,4759;0,1651;48,0294;0,5776;48,0294
3966,2418;3,4592;0,1604;65,5979;0,2290;65,5979
4023,5456;3,5094;0,1558;64,4623;0,2608;64,4623
4080,9726;3,5261;0,1535;56,5798;0,4427;56,5798
4138,4050;3,4926;0,1551;53,3734;0,3190;53,3734
4196,8321;3,5762;0,1507;50,9686;0,3610;50,9686
4255,1841;3,6096;0,1487;59,3854;0,3214;59,3854
4313,7276;3,5929;0,1457;65,5979;0,2171;65,5979
4372,5566;3,6263;0,1458;49,4990;0,4842;49,4990
4430,8284;3,6263;0,1422;68,4035;0,2073;68,4035
4489,0588;3,6263;0,1428;57,8490;0,3224;57,8490
4548,5390;3,5762;0,1411;53,1730;0,3190;53,1730
4606,5914;3,6263;0,1390;63,2599;0,2673;63,2599
4665,7553;3,6263;0,1381;46,2258;0,3408;46,2258
4724,3801;3,6430;0,1361;64,7295;0,2293;64,7295
4783,2588;3,6430;0,1352;62,3246;0,2796;62,3246
4840,7192;3,6263;0,1362;47,6286;0,4093;47,6286
4898,6401;3,6263;0,1342;71,5431;0,1918;71,5431
4955,7220;3,6430;0,1336;63,9947;0,2530;63,9947
5013,3253;3,6430;0,1329;57,1810;0,3041;57,1810
5070,3954;3,6430;0,1317;60,7214;0,2627;60,7214
5128,3245;3,6430;0,1319;59,5858;0,2793;59,5858
5185,4844;3,6430;0,1320;59,6526;0,2627;59,6526
5242,7422;3,6430;0,1312;61,2558;0,2879;61,2558
5300,6639;3,6430;0,1319;47,6954;0,3369;47,6954
5358,5372;3,6430;0,1309;51,9038;0,3205;51,9038
5415,8554;3,6430;0,1303;57,6486;0,2831;57,6486
5474,0005;3,6430;0,1292;62,3246;0,2422;62,3246
5531,3375;3,6430;0,1296;53,9078;0,3367;53,9078
5589,4430;3,6430;0,1290;66,5999;0,2145;66,5999
5646,4153;3,6430;0,1293;62,1910;0,2524;62,1910
5703,6398;3,6430;0,1296;59,5190;0,2524;59,5190
5761,0486;3,6430;0,1296;58,5170;0,2681;58,5170
5818,5718;3,6430;0,1295;56,1122;0,2798;56,1122
5876,8020;3,6430;0,1287;60,9218;0,2489;60,9218
5934,5814;3,6430;0,1281;54,7094;0,3014;54,7094
5992,4813;3,6430;0,1281;59,5858;0,2582;59,5858
6049,4749;3,6430;0,1278;59,7862;0,2703;59,7862
6106,4202;3,6430;0,1277;62,3246;0,2593;62,3246
6164,5133;3,6430;0,1280;58,5170;0,2748;58,5170
6222,0361;3,6430;0,1273;58,7842;0,2822;58,7842
6279,6652;3,6430;0,1276;58,9178;0,2656;58,9178
6337,5761;3,6430;0,1281;60,5210;0,2758;60,5210
6395,9835;3,6430;0,1277;57,5818;0,2724;57,5818
6454,1433;3,6430;0,1268;59,2518;0,2796;59,2518
6513,0536;3,6430;0,1273;57,7154;0,2888;57,7154
6572,7371;3,6430;0,1272;58,4502;0,2762;58,4502
6632,0303;3,6430;0,1265;58,3834;0,2736;58,3834
6691,0024;3,6430;0,1267;57,3146;0,2920;57,3146
6750,5828;3,6430;0,1268;59,3186;0,2740;59,3186
6807,9172;3,6430;0,1271;58,5838;0,2778;58,5838
6865,7690;3,6430;0,1265;60,7882;0,2712;60,7882
6923,7107;3,6430;0,1267;59,9198;0,2719;59,9198
6983,5417;3,6430;0,1266;59,1850;0,2786;59,1850
7044,4298;3,6430;0,1262;58,1162;0,2842;58,1162
7105,1783;3,6430;0,1263;59,2518;0,2784;59,2518
7165,6157;3,6430;0,1259;60,3874;0,2729;60,3874
7222,6564;3,6430;0,1265;58,2498;0,2843;58,2498
7280,4276;3,6430;0,1258;58,6506;0,2858;58,6506
7337,8208;3,6430;0,1261;59,9866;0,2771;59,9866
7394,8995;3,6430;0,1259;58,7174;0,2824;58,7174
7452,5879;3,6430;0,1259;59,4522;0,2757;59,4522
7510,9398;3,6430;0,1262;58,8510;0,2845;58,8510
7568,1992;3,6430;0,1261;59,9866;0,2722;59,9866
7625,4054;3,6430;0,1259;58,7842;0,2857;58,7842
7683,5170;3,6430;0,1261;60,3874;0,2723;60,3874
7741,5664;3,6430;0,1259;59,0514;0,2799;59,0514
7798,9530;3,6430;0,1259;57,4482;0,2941;57,4482
7857,3784;3,6430;0,1263;60,6546;0,2744;60,6546
7914,8397;3,6430;0,1262;58,1162;0,2901;58,1162
7971,9782;3,6430;0,1262;59,6526;0,2711;59,6526
8029,9034;3,6430;0,1259;58,3834;0,2869;58,3834
8087,4585;3,6430;0,1259;58,6506;0,2912;58,6506
8145,5434;3,6430;0,1260;58,3166;0,2861;58,3166
8203,3635;3,6430;0,1279;56,7802;0,2902;56,7802
8260,5381;3,6430;0,1293;58,2498;0,3328;58,2498
8317,8514;3,6430;0,1295;62,1242;0,2694;62,1242
8376,0646;3,6430;0,1299;61,0554;0,2816;61,0554
