;config_21_avg
Standard_Acc;59,3103
RMSCE;0,0628
gaussian_noise;42,4658
shot_noise;41,0959
impulse_noise;41,7808
defocus_blur;55,8219
glass_blur;55,4795
motion_blur;55,1370
zoom_blur;57,5342
snow;48,9726
frost;39,0411
fog;33,9041
brightness;48,2877
contrast;35,2740
elastic_transform;53,7671
pixelate;57,5342
jpeg_compression;55,4795
speckle_noise;43,1507
gaussian_blur;50,3425
spatter;52,0548
saturate;47,2603
Acc_C-all-19;48,1255
Acc_C-original-15;48,1050
Acc_C-bar-10;9,6230
Acc_all-ex-pixelwise-noise-24;33,4841
RMSCE_C;0,1868
uniform-l1,71410,False,max;52,0690
uniform-l2,105.25,False,max;50,3448
uniform-linf,0.4685,False,max;35,8621
uniform-l0.5,25000000000.0,True,max;56,2069
uniform-l1,40000.0,True,max;56,5517
uniform-l2,40.0,True,max;55,8621
uniform-l10,0.2,True,max;56,5517
uniform-l50,0.08,True,max;54,4828
uniform-linf,0.03,True,max;57,9310
uniform-l0-impulse,0.01,True,max;55,1724
uniform-l0-impulse,0.02,True,max;51,7241
uniform-l0-impulse,0.05,True,max;47,2414
uniform-l0-impulse,0.1,True,max;37,5862
uniform-l0-impulse,0.2,True,max;35,1724
uniform-l0-impulse,0.5,True,max;26,8966
uniform-l0.5,50000000000.0,False,max;54,4828
uniform-l0.5,100000000000.0,False,max;48,9655
uniform-l0.5,200000000000.0,False,max;36,8966
uniform-l0.5,500000000000.0,False,max;31,3793
uniform-l0.5,1000000000000.0,False,max;27,9310
uniform-l0.5,2000000000000.0,False,max;33,1034
uniform-l1,20000.0,False,max;59,6552
uniform-l1,50000.0,False,max;53,7931
uniform-l1,100000.0,False,max;51,7241
uniform-l1,200000.0,False,max;37,5862
uniform-l1,500000.0,False,max;33,1034
uniform-l1,1000000.0,False,max;33,1034
uniform-l2,20.0,False,max;58,2759
uniform-l2,50.0,False,max;55,5172
uniform-l2,100.0,False,max;52,0690
uniform-l2,200.0,False,max;39,6552
uniform-l2,500.0,False,max;34,4828
uniform-l2,1000.0,False,max;33,1034
uniform-l10,0.1,False,max;59,6552
uniform-l10,0.2,False,max;55,5172
uniform-l10,0.5,False,max;50,0000
uniform-l10,1.0,False,max;39,3103
uniform-l10,2.0,False,max;36,8966
uniform-l10,5.0,False,max;33,1034
uniform-l50,0.02,False,max;57,9310
uniform-l50,0.05,False,max;56,8966
uniform-l50,0.1,False,max;54,1379
uniform-l50,0.2,False,max;48,9655
uniform-l50,0.5,False,max;36,2069
uniform-l50,1.0,False,max;29,3103
uniform-linf,0.02,False,max;58,9655
uniform-linf,0.05,False,max;58,6207
uniform-linf,0.1,False,max;51,3793
uniform-linf,0.2,False,max;47,9310
uniform-linf,0.5,False,max;36,2069
uniform-linf,1.0,False,max;33,1034
Class Separation Robustness;46,0920
imperceptible Robustness;56,2644
Average p-norm robustness;44,5895
