time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
36,5321;34,9481;1,2651;34,4828;1,0916;36,1162;34,4828;36,1162
72,1863;36,6782;1,1717;32,4138;1,1098;29,7641;32,4138;29,7641
108,3156;35,2941;1,1343;32,4138;1,1488;29,0381;32,4138;29,0381
147,0831;35,6401;1,1122;35,1724;1,0977;38,2940;35,1724;38,2940
184,4069;32,8720;1,1168;32,7586;1,1337;29,5826;32,7586;29,5826
224,8964;35,2941;1,1132;39,6552;1,0954;40,4719;39,6552;40,4719
259,9326;29,4118;1,0962;32,4138;1,1223;29,4011;32,4138;29,4011
298,5975;31,8339;1,1037;33,4483;1,1004;35,7532;33,4483;35,7532
337,2337;28,0277;1,1162;27,9310;1,1040;29,2196;27,9310;29,2196
374,7244;35,6401;1,1066;44,4828;1,0865;38,8385;44,4828;38,8385
416,2340;36,6782;1,0953;33,1034;1,1688;34,4828;33,1034;34,4828
454,3258;33,9100;1,1052;34,4828;1,1004;36,1162;34,4828;36,1162
490,4990;30,7958;1,1414;38,2759;1,1879;38,6570;38,2759;38,6570
523,8712;34,9481;1,1390;34,4828;1,1071;35,7532;34,4828;35,7532
565,9317;34,6021;1,1025;33,1034;1,1038;34,6642;33,1034;34,6642
605,7639;35,9862;1,1060;36,8966;1,0784;36,1162;36,8966;36,1162
641,6126;34,9481;1,1337;34,8276;1,1050;29,5826;34,8276;29,5826
678,1087;34,9481;1,1099;32,4138;1,0959;30,8530;32,4138;30,8530
716,5065;31,1419;1,1135;32,7586;1,1090;31,7604;32,7586;31,7604
756,6396;30,1038;1,1143;35,1724;1,0961;31,3975;35,1724;31,3975
794,2370;33,9100;1,0986;33,1034;1,1688;34,8457;33,1034;34,8457
832,3568;30,7958;1,1444;32,4138;1,2435;29,2196;32,4138;29,2196
873,8070;34,6021;1,1475;37,2414;1,1528;35,9347;37,2414;35,9347
917,4175;34,2561;1,1309;32,4138;1,2615;29,2196;32,4138;29,2196
956,3866;33,2180;1,1794;34,4828;1,0583;36,1162;34,4828;36,1162
997,5654;33,2180;1,1046;38,6207;1,0810;34,4828;38,6207;34,4828
1041,4046;37,7163;1,0995;35,8621;1,0721;35,9347;35,8621;35,9347
1078,4926;32,5260;1,1269;41,7241;1,1392;33,5753;41,7241;33,5753
1115,2916;34,2561;1,1200;44,4828;1,0627;36,4791;44,4828;36,4791
1158,7689;34,9481;1,1205;42,7586;1,0607;37,3866;42,7586;37,3866
1196,4207;32,1799;1,1558;32,4138;1,1434;29,2196;32,4138;29,2196
1240,1590;31,4879;1,1008;33,1034;1,1098;35,2087;33,1034;35,2087
1275,1323;31,4879;1,1459;34,4828;1,0627;36,2976;34,4828;36,2976
1315,4893;31,8339;1,1476;32,4138;1,1040;31,2160;32,4138;31,2160
1352,0089;27,6817;1,1511;40,0000;1,0784;36,2976;40,0000;36,2976
1389,9953;36,3322;1,0958;36,8966;1,0771;37,0236;36,8966;37,0236
1428,4379;37,0242;1,0836;32,4138;1,1575;29,2196;32,4138;29,2196
1466,2657;34,9481;1,1311;34,1379;1,1033;36,1162;34,1379;36,1162
1503,3045;35,6401;1,1331;34,4828;1,0657;36,1162;34,4828;36,1162
1540,7488;34,6021;1,1167;49,3103;1,0623;37,3866;49,3103;37,3866
1581,7138;34,2561;1,0931;33,1034;1,1264;31,5789;33,1034;31,5789
1620,5294;28,3737;1,1379;30,3448;1,1357;31,9419;30,3448;31,9419
1660,7837;32,5260;1,1331;32,4138;1,0968;38,8385;32,4138;38,8385
1696,6214;33,9100;1,1677;37,2414;1,1090;32,3049;37,2414;32,3049
1735,4350;34,2561;1,1018;45,8621;1,0365;40,4719;45,8621;40,4719
