time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
19,3331;38,4083;1,1655;32,4138;1,1181;32,4138
37,3227;33,9100;1,2516;32,7586;1,1052;32,7586
55,1754;39,1003;1,1596;32,4138;1,2340;32,4138
74,2560;34,2561;1,1575;32,4138;1,2606;32,4138
92,5525;35,6401;1,1313;34,4828;1,2268;34,4828
110,4095;39,1003;1,1166;33,1034;1,1964;33,1034
128,3788;43,5986;1,0828;32,7586;1,1433;32,7586
146,0916;44,9827;1,0767;42,0690;1,0837;42,0690
163,7179;41,8685;1,0885;32,4138;1,1589;32,4138
181,7006;40,8304;1,1018;40,6897;1,0971;40,6897
199,3411;41,5225;1,0921;33,1034;1,2554;33,1034
216,9035;39,1003;1,1242;47,2414;1,0878;47,2414
234,0244;41,1765;1,1083;36,2069;1,1258;36,2069
251,3790;39,7924;1,0685;40,0000;1,0515;40,0000
268,7912;44,9827;1,0719;43,4483;1,1139;43,4483
286,2236;45,3287;1,0637;38,9655;1,1645;38,9655
304,0488;44,9827;1,0444;41,3793;1,1065;41,3793
321,2071;46,3668;1,0555;38,2759;1,0779;38,2759
337,9583;47,7509;1,0601;49,6552;1,0835;49,6552
355,7687;47,4048;1,0602;48,6207;1,0873;48,6207
372,8249;45,3287;1,0779;34,4828;1,2045;34,4828
390,2379;39,4464;1,0909;45,1724;1,0065;45,1724
407,4452;43,9446;1,0786;37,9310;1,1767;37,9310
424,3602;38,0623;1,1493;41,7241;1,0581;41,7241
442,2020;42,9066;1,1085;34,8276;2,6045;34,8276
459,5199;37,0242;1,1419;36,2069;1,2880;36,2069
477,1827;42,5606;1,1431;34,1379;2,0183;34,1379
494,1314;41,5225;1,1155;32,7586;1,6715;32,7586
511,1311;43,5986;1,0603;33,7931;3,8221;33,7931
528,2158;45,6747;1,0472;32,4138;2,2724;32,4138
545,3357;38,0623;1,1275;35,8621;1,5883;35,8621
561,7269;40,1384;1,0977;34,4828;1,9796;34,4828
578,6841;41,1765;1,1156;43,1034;1,5207;43,1034
595,3447;45,3287;1,0512;34,4828;1,7095;34,4828
611,6402;43,9446;1,0987;34,4828;4,9234;34,4828
628,9126;48,4429;1,0405;35,5172;2,5432;35,5172
645,1668;54,6713;0,9836;34,8276;2,0688;34,8276
662,1163;52,9412;0,9672;33,7931;3,1130;33,7931
679,0874;54,6713;0,9682;34,4828;5,2551;34,4828
695,2464;51,5571;0,9914;34,1379;2,2720;34,1379
711,3988;62,6298;0,9605;47,2414;1,1048;47,2414
727,7252;62,6298;0,9784;43,7931;1,0654;43,7931
745,0330;54,3253;0,9747;47,9310;1,1279;47,9310
761,9349;50,5190;0,9533;46,8966;1,0775;46,8966
779,5664;57,7855;0,9641;42,4138;1,1260;42,4138
796,5089;51,5571;0,9485;48,2759;1,0797;48,2759
813,1592;67,8201;0,9089;43,7931;1,1473;43,7931
829,1681;60,2076;0,9184;50,0000;1,0803;50,0000
844,7477;66,0900;0,8969;48,6207;1,0673;48,6207
861,5459;60,5536;0,9058;52,0690;1,0544;52,0690
877,1868;67,1280;0,9069;48,6207;1,0301;48,6207
893,3212;62,2837;0,8946;51,7241;1,0307;51,7241
909,2919;68,8581;0,8713;54,4828;1,0353;54,4828
925,4149;69,2042;0,8830;48,6207;1,0455;48,6207
941,4869;68,1661;0,8709;48,2759;1,0372;48,2759
957,9326;71,2803;0,8662;53,4483;1,0148;53,4483
974,2639;71,6263;0,8592;53,4483;1,0087;53,4483
990,3932;68,5121;0,8670;52,4138;1,0078;52,4138
1006,5464;70,2422;0,8786;52,0690;1,0076;52,0690
1023,1749;69,2042;0,8604;52,7586;1,0078;52,7586
1039,3702;65,7439;0,8840;42,4138;1,1458;42,4138
1055,9751;53,6332;1,0003;50,6897;1,0379;50,6897
1072,1356;56,7474;0,9542;37,2414;1,3058;37,2414
1088,5944;58,8235;0,9625;33,7931;1,4653;33,7931
1105,2415;52,5952;1,0407;35,8621;1,6398;35,8621
1121,7990;56,7474;0,9611;46,5517;1,3860;46,5517
1138,5920;57,7855;0,9514;38,9655;2,2551;38,9655
1154,8764;63,3218;0,9608;44,4828;1,6716;44,4828
1171,0627;57,0934;1,0432;50,0000;1,1038;50,0000
1187,7296;65,7439;0,8860;51,3793;1,0100;51,3793
1204,0559;69,5502;0,8420;53,1034;0,9759;53,1034
1220,5315;69,2042;0,8386;48,2759;1,1249;48,2759
1236,8299;71,6263;0,8284;49,6552;1,0979;49,6552
1253,3736;72,6644;0,8029;57,9310;0,8940;57,9310
1269,4419;69,5502;0,8365;43,4483;1,2250;43,4483
1285,7718;62,2837;0,8990;54,1379;0,9712;54,1379
1301,9851;71,2803;0,8041;55,5172;0,9407;55,5172
