;config_766_avg;config_766_std;config_766_run_0;config_766_run_1;config_766_run_2
Standard_Acc;51,1494;3,2389;47,2414;55,1724;51,0345
RMSCE;0,1129;0,0225;0,0812;0,1269;0,1307
gaussian_noise;44,7489;7,6595;34,5890;53,0822;46,5753
shot_noise;44,7489;7,0203;36,6438;53,7671;43,8356
impulse_noise;42,9224;5,0202;35,9589;45,2055;47,6027
defocus_blur;49,5434;0,9820;48,2877;50,6849;49,6575
glass_blur;54,1096;5,0873;46,9178;57,8767;57,5342
motion_blur;49,8858;2,5372;46,5753;52,7397;50,3425
zoom_blur;49,2009;3,4170;45,5479;53,7671;48,2877
snow;46,1187;6,8169;36,6438;52,3973;49,3151
frost;41,3242;5,2487;33,9041;44,8630;45,2055
fog;33,5616;1,0082;32,1918;33,9041;34,5890
brightness;40,6393;2,3451;37,3288;42,1233;42,4658
contrast;31,7352;0,4271;32,1918;31,8493;31,1644
elastic_transform;50,2283;2,0611;49,3151;53,0822;48,2877
pixelate;50,6849;1,8336;48,6301;53,0822;50,3425
jpeg_compression;49,0868;2,9371;45,5479;52,7397;48,9726
speckle_noise;48,4018;6,5954;40,7534;56,8493;47,6027
gaussian_blur;49,3151;5,0410;42,4658;54,4521;51,0274
spatter;49,8858;2,8009;46,5753;53,4247;49,6575
saturate;48,0594;0,5821;48,6301;47,2603;48,2877
Acc_C-all-19;46,0106;3,3754;41,5105;49,6395;46,8818
Acc_C-original-15;45,2359;3,3718;40,6849;48,7443;46,2785
Acc_C-bar-10;9,1246;0,6746;8,2195;9,8384;9,3160
Acc_all-ex-pixelwise-noise-24;31,1558;1,7962;28,7357;33,0346;31,6971
RMSCE_C;0,1361;0,0124;0,1228;0,1330;0,1526
uniform-l1,71410,True,max;51,4943;3,8433;47,2414;56,5517;50,6897
uniform-l2,105.25,True,max;48,6207;5,2144;42,4138;55,1724;48,2759
uniform-linf,0.4685,True,max;40,5747;5,2998;33,1034;43,7931;44,8276
uniform-l0.5,25000000000.0,True,max;50,9195;1,9975;48,2759;53,1034;51,3793
uniform-l1,40000.0,True,max;50,2299;3,1141;46,2069;53,7931;50,6897
uniform-l2,40.0,True,max;51,2644;2,6760;47,9310;54,4828;51,3793
uniform-l10,0.2,True,max;50,5747;3,2632;46,8966;54,8276;50,0000
uniform-l50,0.08,True,max;50,8046;3,5651;45,8621;54,1379;52,4138
uniform-linf,0.03,True,max;50,4598;2,8896;46,5517;53,4483;51,3793
uniform-l0-impulse,0.01,True,max;49,5402;2,1319;46,5517;51,3793;50,6897
uniform-l0-impulse,0.02,True,max;48,9655;1,4078;47,2414;48,9655;50,6897
uniform-l0-impulse,0.05,True,max;45,2874;4,8467;38,6207;47,2414;50,0000
uniform-l0-impulse,0.1,True,max;42,2989;5,5910;34,4828;45,1724;47,2414
uniform-l0-impulse,0.2,True,max;40,2299;6,0539;32,0690;42,0690;46,5517
uniform-l0-impulse,0.5,True,max;37,8161;3,9451;33,1034;42,7586;37,5862
uniform-l0.5,50000000000.0,False,max;51,3793;3,1978;48,6207;55,8621;49,6552
uniform-l0.5,100000000000.0,False,max;46,4368;6,9898;36,8966;53,4483;48,9655
uniform-l0.5,200000000000.0,False,max;44,4828;8,1650;34,4828;54,4828;44,4828
uniform-l0.5,500000000000.0,False,max;41,6092;6,7650;33,1034;49,6552;42,0690
uniform-l0.5,1000000000000.0,False,max;38,5057;4,5077;33,1034;44,1379;38,2759
uniform-l0.5,2000000000000.0,False,max;34,2529;1,8747;33,1034;32,7586;36,8966
uniform-l1,20000.0,False,max;50,8046;2,5392;47,5862;53,7931;51,0345
uniform-l1,50000.0,False,max;50,5747;3,0885;47,5862;54,8276;49,3103
uniform-l1,100000.0,False,max;48,7356;6,4777;40,6897;56,5517;48,9655
uniform-l1,200000.0,False,max;45,1724;8,3379;34,4828;54,8276;46,2069
uniform-l1,500000.0,False,max;41,0345;6,2133;33,1034;48,2759;41,7241
uniform-l1,1000000.0,False,max;35,2874;1,8319;33,1034;35,1724;37,5862
uniform-l2,20.0,False,max;51,1494;3,5203;46,8966;55,5172;51,0345
uniform-l2,50.0,False,max;50,3448;3,5946;46,5517;55,1724;49,3103
uniform-l2,100.0,False,max;49,3103;4,3708;44,1379;54,8276;48,9655
uniform-l2,200.0,False,max;45,7471;8,7341;34,8276;56,2069;46,2069
uniform-l2,500.0,False,max;41,4943;7,0463;33,1034;50,3448;41,0345
uniform-l2,1000.0,False,max;34,9425;2,3612;33,1034;33,4483;38,2759
uniform-l10,0.1,False,max;51,6092;2,8896;48,6207;55,5172;50,6897
uniform-l10,0.2,False,max;50,6897;3,5278;46,5517;55,1724;50,3448
uniform-l10,0.5,False,max;50,0000;4,5048;44,4828;55,5172;50,0000
uniform-l10,1.0,False,max;44,7126;9,0462;33,1034;55,1724;45,8621
uniform-l10,2.0,False,max;40,3448;6,2133;33,1034;48,2759;39,6552
uniform-l10,5.0,False,max;33,6782;1,3306;33,1034;32,4138;35,5172
uniform-l50,0.02,False,max;51,8391;2,9574;48,2759;55,5172;51,7241
uniform-l50,0.05,False,max;50,9195;3,5651;46,2069;54,8276;51,7241
uniform-l50,0.1,False,max;49,1954;2,2931;47,9310;52,4138;47,2414
uniform-l50,0.2,False,max;48,2759;6,3770;40,0000;55,5172;49,3103
uniform-l50,0.5,False,max;42,1839;7,1910;33,1034;50,6897;42,7586
uniform-l50,1.0,False,max;39,6552;5,9925;33,1034;47,5862;38,2759
uniform-linf,0.02,False,max;51,2644;2,8202;47,9310;54,8276;51,0345
uniform-linf,0.05,False,max;51,4943;2,6760;48,2759;54,8276;51,3793
uniform-linf,0.1,False,max;50,1149;2,6760;46,8966;53,4483;50,0000
uniform-linf,0.2,False,max;46,4368;7,9252;36,2069;55,5172;47,5862
uniform-linf,0.5,False,max;41,6092;6,4224;33,1034;48,6207;43,1034
uniform-linf,1.0,False,max;35,7471;1,8747;33,1034;36,8966;37,2414
Class Separation Robustness;46,8966;4,5175;40,9195;51,8391;47,9310
imperceptible Robustness;50,7088;2,8840;46,9540;53,9655;51,2069
Average p-norm robustness;45,1232;4,3087;39,5156;49,9918;45,8621
