time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
22,6645;20,4167;1,8129;16,6667;1,7938;16,9540;16,6667;16,9540
46,5666;20,6250;1,8508;16,6667;1,8345;17,7203;16,6667;17,7203
68,6570;19,7222;1,9104;18,8889;2,0126;18,1992;18,8889;18,1992
89,4783;22,2917;1,8990;21,1111;2,4192;22,3180;21,1111;22,3180
111,2250;21,3889;2,0059;28,0556;1,9420;24,2337;28,0556;24,2337
132,5317;23,6806;2,0623;21,9444;2,1312;20,2107;21,9444;20,2107
153,9481;21,1806;2,0379;28,3333;1,8692;26,3410;28,3333;26,3410
174,6642;24,7222;1,8442;16,3889;2,4555;14,5594;16,3889;14,5594
196,2540;23,6111;1,8571;13,8889;1,8796;12,8352;13,8889;12,8352
218,7335;27,9167;1,8100;24,1667;2,1472;21,8391;24,1667;21,8391
240,1119;26,6667;1,8120;22,7778;2,5895;21,0728;22,7778;21,0728
261,1487;22,9167;1,8885;20,2778;2,0825;22,0307;20,2778;22,0307
282,8764;21,5278;1,8874;25,0000;1,7174;23,9464;25,0000;23,9464
304,2252;25,1389;1,8071;28,8889;1,8263;25,0958;28,8889;25,0958
324,6548;21,3889;1,8516;28,3333;1,7504;25,6705;28,3333;25,6705
347,6609;23,8194;1,8225;15,0000;25,2701;14,6552;15,0000;14,6552
368,9682;26,1111;1,8319;20,8333;340,8901;19,1571;20,8333;19,1571
391,6926;24,8611;1,7816;20,0000;3,9259;19,7318;20,0000;19,7318
413,7915;26,1111;1,7743;24,4444;1,7159;23,0843;24,4444;23,0843
435,8954;27,6389;1,7759;22,5000;1,7816;22,7011;22,5000;22,7011
457,2065;22,0139;1,7845;29,7222;1,6017;28,3525;29,7222;28,3525
477,8330;25,0000;1,7685;20,5556;1,6337;22,2222;20,5556;22,2222
498,9713;24,7222;1,7926;26,9444;1,7388;25,4789;26,9444;25,4789
520,7977;24,7222;1,7630;28,8889;1,6605;30,5556;28,8889;30,5556
541,4974;27,0139;1,7540;34,7222;1,6657;32,9502;34,7222;32,9502
561,4364;25,8333;1,7590;32,5000;1,6835;29,2146;32,5000;29,2146
583,5334;29,5139;1,7405;30,5556;1,8306;27,7778;30,5556;27,7778
606,4981;26,5972;1,7415;22,5000;1,8174;25,0958;22,5000;25,0958
627,5983;25,5556;1,7539;29,7222;1,7979;29,7893;29,7222;29,7893
649,4558;28,9583;1,7358;22,5000;1,7738;24,0421;22,5000;24,0421
670,7491;28,6806;1,7206;39,4444;1,5158;31,2261;39,4444;31,2261
692,7298;29,0972;1,7286;39,1667;1,6081;31,6092;39,1667;31,6092
714,4312;32,9167;1,7079;37,7778;1,4539;28,4483;37,7778;28,4483
737,6941;33,4722;1,6785;40,8333;1,7612;25,7663;40,8333;25,7663
758,3327;27,2917;1,7480;37,2222;1,5865;33,2375;37,2222;33,2375
779,3158;32,9861;1,7013;45,5556;1,6541;30,8429;45,5556;30,8429
799,4403;34,4444;1,7042;25,5556;1,5114;26,7241;25,5556;26,7241
820,2193;34,3056;1,7050;48,0556;1,3683;33,5249;48,0556;33,5249
841,1140;31,5278;1,7101;40,2778;1,3426;30,5556;40,2778;30,5556
864,1208;33,9583;1,7053;50,0000;1,4892;34,2912;50,0000;34,2912
884,6061;34,4444;1,6943;33,8889;1,6080;30,1724;33,8889;30,1724
905,6666;36,3194;1,6770;43,8889;1,3589;32,4713;43,8889;32,4713
926,9819;32,2222;1,6830;49,1667;1,1787;31,5134;49,1667;31,5134
948,8484;34,7917;1,6745;65,5556;0,9387;39,8467;65,5556;39,8467
969,0296;38,2639;1,6540;49,4444;1,1775;31,8966;49,4444;31,8966
989,5306;33,8194;1,6654;51,1111;1,1993;33,7165;51,1111;33,7165
1011,8420;36,1806;1,7062;51,6667;1,4143;38,1226;51,6667;38,1226
1035,5083;36,7361;1,6748;70,2778;0,8916;39,8467;70,2778;39,8467
1059,8429;34,9306;1,6656;55,2778;1,2413;35,4406;55,2778;35,4406
1083,8660;36,0417;1,6611;30,0000;1,5847;28,4483;30,0000;28,4483
1106,0552;37,7778;1,6538;55,5556;1,2570;32,1839;55,5556;32,1839
1126,5191;35,6250;1,6568;48,6111;1,2345;31,8966;48,6111;31,8966
1150,8253;34,5139;1,6771;42,5000;1,5871;32,3755;42,5000;32,3755
1174,0425;37,1528;1,6720;46,6667;1,2361;34,8659;46,6667;34,8659
1194,6043;36,4583;1,6532;54,1667;1,1664;35,6322;54,1667;35,6322
1216,1261;35,2083;1,6778;53,8889;1,1839;36,7816;53,8889;36,7816
1237,4738;36,1806;1,6736;64,7222;1,0691;38,8889;64,7222;38,8889
1257,8681;38,4722;1,6540;60,5556;1,0483;39,3678;60,5556;39,3678
1279,3277;37,5694;1,6459;51,9444;1,1797;37,8352;51,9444;37,8352
1301,7732;39,2361;1,6322;60,8333;1,1941;34,5785;60,8333;34,5785
1324,2876;37,2917;1,6518;59,1667;1,1740;39,0805;59,1667;39,0805
1345,7642;41,0417;1,6218;65,2778;0,9197;40,5172;65,2778;40,5172
1368,4164;38,6111;1,6565;66,1111;1,2023;36,3027;66,1111;36,3027
1389,3564;38,8194;1,6133;39,7222;1,4037;35,0575;39,7222;35,0575
1409,4476;40,5556;1,6445;39,1667;2,3206;31,8966;39,1667;31,8966
1431,0074;38,0556;1,6685;35,2778;1,6416;28,1609;35,2778;28,1609
1452,4272;37,7083;1,6386;57,5000;1,2284;41,4751;57,5000;41,4751
1473,5908;37,4306;1,6448;75,0000;0,8218;44,0613;75,0000;44,0613
1493,8288;36,1806;1,6458;61,9444;1,1689;38,1226;61,9444;38,1226
1514,8203;38,8889;1,6483;59,7222;1,0242;36,7816;59,7222;36,7816
1536,2913;37,8472;1,6551;42,2222;1,3484;32,2797;42,2222;32,2797
1557,6447;37,8472;1,6352;25,2778;3,4868;23,2759;25,2778;23,2759
1578,7630;38,4722;1,6652;44,7222;1,4384;32,6628;44,7222;32,6628
1600,1075;36,1806;1,6581;75,0000;0,8895;44,2529;75,0000;44,2529
1621,1452;40,6250;1,6153;77,2222;0,7616;44,9234;77,2222;44,9234
1641,2929;42,7083;1,6238;84,1667;0,7652;43,7739;84,1667;43,7739
1661,6237;39,4444;1,6271;80,5556;0,7512;45,5939;80,5556;45,5939
1682,8377;40,6944;1,6249;82,2222;0,6743;44,6360;82,2222;44,6360
1704,9139;40,0000;1,6164;51,9444;1,7360;33,5249;51,9444;33,5249
1726,7628;39,8611;1,6090;78,0556;0,7324;43,6782;78,0556;43,6782
1748,6373;42,8472;1,6016;84,7222;0,6290;46,0728;84,7222;46,0728
1769,5343;39,8611;1,6174;52,7778;1,3887;39,4636;52,7778;39,4636
1791,3958;38,4722;1,6294;76,6667;0,8205;41,9540;76,6667;41,9540
1812,8722;41,8056;1,6049;39,7222;1,5351;28,3525;39,7222;28,3525
1834,1167;40,1389;1,6311;75,2778;0,9098;45,4023;75,2778;45,4023
1855,5100;42,7083;1,6005;26,3889;4,8756;22,7011;26,3889;22,7011
1876,9624;39,3750;1,6382;61,9444;1,1768;38,6015;61,9444;38,6015
1898,5993;41,2500;1,5928;70,2778;0,8341;42,3372;70,2778;42,3372
1920,2238;41,3194;1,5901;62,2222;1,1208;37,2605;62,2222;37,2605
1941,6960;39,7222;1,6138;81,6667;0,7078;41,3793;81,6667;41,3793
1964,0540;38,6806;1,6252;70,5556;0,8285;42,6245;70,5556;42,6245
1985,3498;41,6667;1,6020;74,4444;0,7702;43,4866;74,4444;43,4866
2006,2983;40,1389;1,6405;38,6111;1,8823;29,6935;38,6111;29,6935
2028,3655;40,9028;1,5949;87,5000;0,5406;47,3180;87,5000;47,3180
2048,4921;42,7778;1,6239;61,9444;0,9612;42,6245;61,9444;42,6245
2069,6591;42,8472;1,5829;63,8889;0,9949;39,2720;63,8889;39,2720
2091,4667;40,4861;1,5980;74,1667;0,8386;39,4636;74,1667;39,4636
2112,6633;41,3889;1,5951;81,1111;0,7549;48,4674;81,1111;48,4674
2134,3325;45,7639;1,5651;61,6667;1,3818;40,0383;61,6667;40,0383
2156,0144;42,9861;1,6037;65,5556;0,9826;36,0153;65,5556;36,0153
2177,1697;44,9306;1,5732;76,6667;0,6743;44,7318;76,6667;44,7318
2199,1270;41,1806;1,6183;67,7778;0,9386;39,1762;67,7778;39,1762
2220,0122;42,2917;1,6116;60,5556;1,1308;33,9080;60,5556;33,9080
2241,2999;40,8333;1,6090;88,0556;0,5549;45,7854;88,0556;45,7854
2261,9373;43,5417;1,5792;68,3333;0,9184;40,5172;68,3333;40,5172
2282,4175;44,0972;1,5858;68,8889;0,9506;41,9540;68,8889;41,9540
2303,5855;44,8611;1,5663;81,9444;0,6402;46,1686;81,9444;46,1686
2324,8652;44,5833;1,5679;71,9444;0,8626;43,4866;71,9444;43,4866
2346,9855;40,4167;1,5954;20,0000;3,1577;20,0192;20,0000;20,0192
2368,4827;43,8889;1,5768;68,6111;0,9502;41,5709;68,6111;41,5709
2389,8012;44,2361;1,5814;71,9444;0,7876;39,8467;71,9444;39,8467
2410,8545;42,7778;1,5724;87,7778;0,5446;48,3716;87,7778;48,3716
2435,9939;44,6528;1,5947;52,2222;4,0214;30,7471;52,2222;30,7471
2459,5775;43,7500;1,5867;58,3333;1,1239;36,9732;58,3333;36,9732
2481,0882;41,8750;1,5887;69,7222;0,8290;36,3027;69,7222;36,3027
2504,8973;43,4028;1,5991;88,3333;0,5442;46,7433;88,3333;46,7433
2527,3251;42,9861;1,5809;51,1111;1,2898;34,0996;51,1111;34,0996
2550,2322;43,6111;1,5808;86,3889;0,5529;51,2452;86,3889;51,2452
2573,9950;43,2639;1,5806;65,0000;1,0984;42,4330;65,0000;42,4330
2595,8718;41,2500;1,5876;56,6667;1,2481;35,9195;56,6667;35,9195
2616,5023;43,5417;1,5906;72,5000;0,7845;40,1341;72,5000;40,1341
2638,0409;42,0833;1,6102;88,8889;0,5213;48,9464;88,8889;48,9464
2658,4776;44,5139;1,5621;82,2222;0,5769;46,9349;82,2222;46,9349
2680,9752;45,9028;1,5713;71,6667;0,8094;46,1686;71,6667;46,1686
2703,1861;45,1389;1,5531;85,2778;0,5361;42,5287;85,2778;42,5287
2725,5992;44,4444;1,5524;78,6111;0,6301;42,4330;78,6111;42,4330
2748,7341;45,4861;1,5428;67,2222;0,8879;36,5900;67,2222;36,5900
2770,8178;48,2639;1,5504;86,1111;0,5174;44,0613;86,1111;44,0613
2792,1620;43,7500;1,5750;83,8889;0,5610;41,8582;83,8889;41,8582
2813,9678;45,0694;1,5683;73,8889;0,7786;40,1341;73,8889;40,1341
2837,0454;46,6667;1,5403;49,4444;1,6479;28,6398;49,4444;28,6398
2859,1817;46,5278;1,5516;90,5556;0,4954;45,4023;90,5556;45,4023
2880,5843;43,3333;1,5648;87,7778;0,4690;50,7663;87,7778;50,7663
2902,0421;45,7639;1,5613;67,5000;0,9221;43,5824;67,5000;43,5824
2924,1470;46,3194;1,5419;75,0000;0,6859;43,9655;75,0000;43,9655
2944,7022;45,1389;1,5616;75,2778;2,7159;34,9617;75,2778;34,9617
2966,3683;46,3889;1,5417;73,0556;0,7468;40,9962;73,0556;40,9962
2988,1686;48,3333;1,5340;48,0556;1,3837;34,0996;48,0556;34,0996
3010,8784;46,6667;1,5575;87,2222;0,5472;44,4444;87,2222;44,4444
3032,5476;46,3194;1,5270;75,2778;0,8715;46,3602;75,2778;46,3602
3054,6944;46,5278;1,5652;58,6111;1,7964;35,6322;58,6111;35,6322
3075,5865;46,6667;1,5432;92,2222;0,4205;48,0843;92,2222;48,0843
3096,0538;46,8056;1,5390;81,1111;0,7578;43,0077;81,1111;43,0077
3117,3092;46,3194;1,5446;77,2222;0,6550;42,4330;77,2222;42,4330
3139,1216;46,5972;1,5511;93,6111;0,3583;47,5096;93,6111;47,5096
3159,8432;49,1667;1,5054;83,0556;0,5050;41,0920;83,0556;41,0920
3180,7619;48,3333;1,5448;63,8889;1,0807;39,3678;63,8889;39,3678
3202,3435;46,3889;1,5660;56,6667;1,1175;31,9923;56,6667;31,9923
3224,0812;46,8750;1,5324;85,5556;0,5252;50,0000;85,5556;50,0000
3246,4544;48,1944;1,5563;90,2778;0,4135;46,5517;90,2778;46,5517
3268,5334;48,1250;1,5486;89,7222;0,4713;49,5211;89,7222;49,5211
3290,0549;50,4861;1,5252;87,2222;0,3958;50,0000;87,2222;50,0000
3311,9300;48,2639;1,5427;85,8333;0,4969;49,2337;85,8333;49,2337
