;config_572_avg;config_572_std;config_572_run_0;config_572_run_1;config_572_run_2
Standard_Acc;99,3519;0,1309;99,1667;99,4444;99,4444
RMSCE;0,0801;0,0051;0,0849;0,0731;0,0823
gaussian_noise;53,7037;2,2028;53,0556;51,3889;56,6667
shot_noise;50,1852;2,2028;50,8333;52,5000;47,2222
impulse_noise;53,9815;1,3095;53,0556;53,0556;55,8333
defocus_blur;53,8889;4,5190;57,2222;56,9444;47,5000
glass_blur;73,7037;0,4721;74,1667;73,8889;73,0556
motion_blur;69,5370;4,0083;71,9444;72,7778;63,8889
zoom_blur;79,3519;1,5438;80,0000;80,8333;77,2222
snow;45,9259;2,6287;48,8889;42,5000;46,3889
frost;49,4444;4,9118;50,2778;55,0000;43,0556
fog;41,9444;2,3895;44,7222;38,8889;42,2222
brightness;87,4074;1,0718;88,8889;86,3889;86,9444
contrast;42,7778;1,2628;42,5000;44,4444;41,3889
elastic_transform;93,3333;0,3928;93,6111;93,6111;92,7778
pixelate;88,6111;2,8419;88,8889;91,9444;85,0000
jpeg_compression;86,9444;2,5760;83,3333;89,1667;88,3333
speckle_noise;57,7778;1,5876;59,7222;57,7778;55,8333
gaussian_blur;56,0185;2,8719;59,1667;56,6667;52,2222
spatter;70,0000;4,1574;71,1111;64,4444;74,4444
saturate;94,7222;2,2338;95,5556;96,9444;91,6667
blue_noise_sample;70,6481;5,6943;71,3889;77,2222;63,3333
brownish_noise;81,0185;4,2147;85,2778;82,5000;75,2778
caustic_refraction;51,2037;3,2579;52,7778;46,6667;54,1667
checkerboard_cutout;72,4074;2,9601;75,8333;72,7778;68,6111
cocentric_sine_waves;47,3148;5,5199;48,6111;53,3333;40,0000
inverse_sparkles;55,9259;5,8282;56,9444;62,5000;48,3333
perlin_noise;66,4815;3,4422;70,2778;61,9444;67,2222
plasma_noise;46,0185;2,8539;49,7222;42,7778;45,5556
single_frequency_greyscale;42,6852;1,5101;43,8889;43,6111;40,5556
sparkles;70,6481;4,4579;74,7222;64,4444;72,7778
Acc_C-all-19;65,7505;1,0404;66,6813;66,2719;64,2982
Acc_C-original-15;64,7160;1,0969;65,4259;65,5556;63,1667
Acc_C-bar-10;60,4352;2,2020;62,9444;60,7778;57,5833
Acc_all-ex-pixelwise-noise-24;65,3048;1,5429;67,0139;65,6250;63,2755
RMSCE_C;0,1332;0,0094;0,1288;0,1245;0,1462
uniform-l1,429.79,False,max;99,2593;0,1309;99,1667;99,1667;99,4444
uniform-l2,2.494,False,max;99,3519;0,1309;99,4444;99,1667;99,4444
uniform-linf,0.05352,False,max;96,5741;1,5930;96,3889;94,7222;98,6111
uniform-l0.5,4000000.0,True,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-l1,300.0,True,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-l2,1.5,True,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-l10,0.03,True,max;99,3519;0,1309;99,4444;99,1667;99,4444
uniform-l50,0.02,True,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-linf,0.01,True,max;99,4444;0,2268;99,4444;99,1667;99,7222
uniform-l0-impulse,0.01,True,max;97,0370;0,8587;97,7778;95,8333;97,5000
uniform-l0-impulse,0.02,True,max;83,7037;7,2625;83,3333;75,0000;92,7778
uniform-l0-impulse,0.05,True,max;67,4074;4,0656;70,0000;61,6667;70,5556
uniform-l0-impulse,0.1,True,max;59,3519;1,5101;60,2778;60,5556;57,2222
uniform-l0-impulse,0.2,True,max;35,7407;2,4251;34,1667;39,1667;33,8889
uniform-l0-impulse,0.5,True,max;20,6481;2,8539;23,8889;16,9444;21,1111
uniform-l0.5,5000000.0,False,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-l0.5,10000000.0,False,max;99,3519;0,2619;99,1667;99,1667;99,7222
uniform-l0.5,20000000.0,False,max;98,7963;0,5708;98,0556;98,8889;99,4444
uniform-l0.5,50000000.0,False,max;82,2222;4,2005;82,5000;76,9444;87,2222
uniform-l0.5,100000000.0,False,max;67,7778;3,1753;66,1111;65,0000;72,2222
uniform-l0.5,200000000.0,False,max;58,5185;3,9043;60,5556;61,9444;53,0556
uniform-l1,200.0,False,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-l1,500.0,False,max;99,3519;0,2619;99,1667;99,1667;99,7222
uniform-l1,1000.0,False,max;97,1296;0,8587;96,6667;96,3889;98,3333
uniform-l1,2000.0,False,max;80,0926;4,0846;80,2778;75,0000;85,0000
uniform-l1,5000.0,False,max;65,8333;1,2628;66,1111;64,1667;67,2222
uniform-l1,10000.0,False,max;39,1667;4,2371;38,3333;44,7222;34,4444
uniform-l2,1.0,False,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-l2,2.0,False,max;99,3519;0,1309;99,4444;99,1667;99,4444
uniform-l2,5.0,False,max;98,8889;0,4536;98,3333;98,8889;99,4444
uniform-l2,10.0,False,max;87,8704;4,9759;85,8333;83,0556;94,7222
uniform-l2,20.0,False,max;68,9815;3,4867;66,9444;66,1111;73,8889
uniform-l2,50.0,False,max;46,4815;6,3922;43,8889;55,2778;40,2778
uniform-l10,0.02,False,max;99,4444;0,0000;99,4444;99,4444;99,4444
uniform-l10,0.05,False,max;99,4444;0,2268;99,4444;99,1667;99,7222
uniform-l10,0.1,False,max;98,7963;0,4721;98,3333;98,6111;99,4444
uniform-l10,0.2,False,max;85,3704;3,3436;83,8889;82,2222;90,0000
uniform-l10,0.5,False,max;66,0185;2,7059;65,0000;63,3333;69,7222
uniform-l10,1.0,False,max;42,6852;5,4872;40,2778;50,2778;37,5000
uniform-l50,0.01,False,max;99,4444;0,0000;99,4444;99,4444;99,4444
