;config_595_avg
Standard_Acc;99,1667
RMSCE;0,1126
gaussian_noise;40,0000
shot_noise;37,5000
impulse_noise;41,3889
defocus_blur;35,0000
glass_blur;55,0000
motion_blur;52,7778
zoom_blur;64,1667
snow;47,7778
frost;63,8889
fog;38,0556
brightness;92,5000
contrast;90,0000
elastic_transform;92,7778
pixelate;72,5000
jpeg_compression;74,7222
speckle_noise;50,8333
gaussian_blur;41,3889
spatter;73,6111
saturate;99,1667
blue_noise_sample;63,3333
brownish_noise;85,0000
caustic_refraction;56,1111
checkerboard_cutout;82,5000
cocentric_sine_waves;42,2222
inverse_sparkles;49,7222
perlin_noise;73,8889
plasma_noise;58,6111
single_frequency_greyscale;38,3333
sparkles;58,8889
Acc_C-all-19;61,2135
Acc_C-original-15;59,8704
Acc_C-bar-10;60,8611
Acc_all-ex-pixelwise-noise-24;64,1088
RMSCE_C;0,1961
uniform-l1,429.79,False,max;99,7222
uniform-l2,2.494,False,max;99,4444
uniform-linf,0.05352,False,max;95,0000
uniform-l0.5,4000000.0,True,max;99,1667
uniform-l1,300.0,True,max;99,1667
uniform-l2,1.5,True,max;99,1667
uniform-l10,0.03,True,max;99,4444
uniform-l50,0.02,True,max;99,4444
uniform-linf,0.01,True,max;99,4444
uniform-l0-impulse,0.01,True,max;96,3889
uniform-l0-impulse,0.02,True,max;78,8889
uniform-l0-impulse,0.05,True,max;49,4444
uniform-l0-impulse,0.1,True,max;38,3333
uniform-l0-impulse,0.2,True,max;24,1667
uniform-l0-impulse,0.5,True,max;16,6667
uniform-l0.5,5000000.0,False,max;99,1667
uniform-l0.5,10000000.0,False,max;99,1667
uniform-l0.5,20000000.0,False,max;98,3333
uniform-l0.5,50000000.0,False,max;82,7778
uniform-l0.5,100000000.0,False,max;51,3889
uniform-l0.5,200000000.0,False,max;37,7778
uniform-l1,200.0,False,max;99,1667
uniform-l1,500.0,False,max;99,1667
uniform-l1,1000.0,False,max;94,7222
uniform-l1,2000.0,False,max;80,2778
uniform-l1,5000.0,False,max;44,4444
uniform-l1,10000.0,False,max;22,7778
uniform-l2,1.0,False,max;99,1667
uniform-l2,2.0,False,max;99,1667
uniform-l2,5.0,False,max;98,0556
uniform-l2,10.0,False,max;85,8333
uniform-l2,20.0,False,max;54,4444
uniform-l2,50.0,False,max;28,8889
uniform-l10,0.02,False,max;99,1667
uniform-l10,0.05,False,max;99,1667
uniform-l10,0.1,False,max;96,9444
uniform-l10,0.2,False,max;85,2778
uniform-l10,0.5,False,max;47,2222
uniform-l10,1.0,False,max;24,1667
uniform-l50,0.01,False,max;99,1667
uniform-l50,0.02,False,max;99,4444
uniform-l50,0.05,False,max;96,3889
uniform-l50,0.1,False,max;83,0556
uniform-l50,0.2,False,max;48,3333
uniform-l50,0.5,False,max;22,7778
uniform-linf,0.02,False,max;99,1667
uniform-linf,0.05,False,max;95,2778
uniform-linf,0.1,False,max;81,1111
uniform-linf,0.2,False,max;46,6667
uniform-linf,0.5,False,max;18,8889
uniform-linf,1.0,False,max;16,6667
Class Separation Robustness;98,0556
imperceptible Robustness;99,3056
Average p-norm robustness;69,9405
