;Train-Train;Train-Test;Test-Test
non-zero images;1440,000000;360,000000;360,000000
Mean Distance;3387,359375;3399,888184;3742,703369
Minimal Distance;859,586304;822,581055;1529,042725
2th;859,586304;1024,542725;1529,042725
3th;873,783936;1166,615723;1552,615234
4th;873,783936;1175,189453;1552,615234
5th;893,371948;1178,586182;1627,927124
6th;926,362671;1186,513184;1666,147705
7th;991,601562;1221,473145;1737,884277
8th;991,601562;1234,466553;1737,884277
9th;1015,132690;1242,531738;1752,645996
10th;1015,132690;1257,870850;1760,920166
11th;1047,604004;1269,540405;1760,920166
12th;1047,604004;1275,801514;1789,767090
13th;1074,693726;1286,791016;1800,835938
14th;1074,693726;1290,253662;1800,835938
15th;1095,965820;1320,030640;1804,378296
16th;1096,596436;1383,165283;1819,135132
17th;1101,199219;1391,427246;1819,868408
18th;1101,199219;1396,907959;1819,868408
19th;1107,995117;1411,438721;1832,774170
20th;1107,995117;1415,263672;1838,955811
21th;1133,414062;1436,615234;1841,809570
22th;1133,414062;1437,343994;1847,983154
23th;1140,696777;1451,359131;1849,491089
24th;1148,247559;1458,022461;1858,572021
25th;1156,744507;1470,438965;1858,572021
26th;1156,744507;1471,524902;1867,261353
27th;1166,786865;1483,032471;1874,769531
28th;1166,786865;1498,061279;1875,968994
29th;1166,839600;1508,149414;1878,526855
30th;1182,819214;1509,977051;1879,398682
31th;1206,514648;1510,205200;1879,398682
32th;1206,514648;1515,439941;1879,685303
33th;1210,531006;1521,958740;1884,748535
34th;1226,497070;1522,195190;1889,451172
35th;1230,166138;1527,063599;1895,957031
36th;1232,144043;1532,180786;1899,671753
37th;1232,144043;1533,058838;1900,799316
38th;1236,259644;1545,791260;1931,734375
39th;1236,991089;1546,522705;1931,734375
40th;1242,846924;1552,465698;1946,071045
41th;1267,697754;1561,510986;1957,168701
42th;1278,207520;1573,103760;1960,458984
43th;1278,725586;1573,379883;1961,737549
44th;1279,093262;1583,844849;1961,880127
45th;1279,093262;1597,871338;1968,307129
46th;1292,882812;1601,222900;1968,307129
47th;1297,174194;1606,142578;1968,618164
48th;1297,273804;1608,465820;1995,441040
49th;1299,995605;1610,159912;1995,441040
50th;1309,676758;1610,533447;1999,239502
51th;1312,725098;1615,700928;2007,211182
52th;1312,784546;1617,891113;2011,992188
53th;1312,784546;1618,204834;2013,782959
54th;1313,326294;1619,654785;2032,066772
55th;1315,887817;1628,746338;2033,324585
56th;1335,337891;1629,151855;2036,111084
57th;1336,042603;1630,374634;2036,454468
58th;1338,160767;1635,916260;2036,454468
59th;1342,205078;1637,041382;2043,152710
60th;1346,224731;1637,463745;2043,784546
61th;1356,622803;1641,904297;2046,664551
62th;1361,110596;1642,119751;2048,192871
