time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
239,5702;67,2230;0,6276;78,0701;0,4874;69,1034;78,0701;69,1034
487,9179;70,8767;0,6061;81,1096;0,4542;73,5690;81,1096;73,5690
722,2849;74,9584;0,5788;82,0312;0,4341;74,8966;82,0312;74,8966
964,8476;77,3048;0,5597;85,0464;0,3717;78,3621;85,0464;78,3621
1197,9274;78,5015;0,5489;81,8054;0,4219;72,3793;81,8054;72,3793
1449,8183;79,2046;0,5424;84,6802;0,3655;77,7414;84,6802;77,7414
1675,6484;79,9023;0,5361;86,7096;0,3331;76,9828;86,7096;76,9828
1921,1343;80,3623;0,5322;85,6018;0,3491;77,8103;85,6018;77,8103
2161,9633;80,7350;0,5284;84,9762;0,3677;77,0517;84,9762;77,0517
2405,3676;81,1028;0,5246;87,3474;0,3206;77,7759;87,3474;77,7759
2665,7024;81,6238;0,5203;85,3821;0,3513;79,2759;85,3821;79,2759
2936,0244;82,0583;0,5166;78,4790;0,4655;69,6034;78,4790;69,6034
3192,3298;82,4680;0,5127;82,6843;0,4286;75,1034;82,6843;75,1034
3465,2780;82,7843;0,5092;86,9537;0,3228;79,5000;85,3119;78,4828
3763,8114;83,1772;0,5055;86,6730;0,3307;79,9655;81,5491;75,6379
4058,6510;83,6052;0,5016;87,3535;0,3128;80,6552;84,5490;78,8103
4323,1364;84,0595;0,4969;85,7605;0,3559;78,7759;80,6183;75,2759
4598,4189;84,5306;0,4921;87,8754;0,3054;80,3621;80,5054;73,9310
4856,6683;84,5272;0,4920;86,7065;0,3348;79,5345;71,2646;67,5862
5115,6171;84,6169;0,4907;86,0016;0,3460;78,8103;66,1987;62,1897
