;config_323_avg;config_323_std;config_323_run_0;config_323_run_1;config_323_run_2
Standard_Acc;87,4613;0,2787;87,8357;87,3810;87,1674
RMSCE;0,0506;0,0052;0,0543;0,0432;0,0543
gaussian_noise;73,5850;3,9111;77,3926;75,1556;68,2068
shot_noise;76,1770;3,6912;79,4891;78,0151;71,0266
impulse_noise;77,4913;3,6644;81,2714;78,6713;72,5311
defocus_blur;79,7923;3,2223;84,2682;78,2959;76,8127
glass_blur;79,1707;1,8200;81,6620;78,4851;77,3651
motion_blur;85,6974;2,0716;88,5406;84,8877;83,6639
zoom_blur;81,1401;0,5571;80,6305;81,9153;80,8746
snow;77,2003;2,6640;79,7485;78,3295;73,5229
frost;81,4087;2,1300;82,3608;83,4076;78,4576
fog;87,0524;0,3703;86,6425;86,9751;87,5397
brightness;77,9775;2,6539;79,7974;79,9103;74,2249
contrast;68,4275;2,8583;71,6461;68,9362;64,7003
elastic_transform;86,1176;1,2698;87,7625;85,9192;84,6710
pixelate;87,7330;1,2688;89,4318;87,3840;86,3831
jpeg_compression;85,8307;2,3111;88,1622;86,6486;82,6813
speckle_noise;74,2055;4,6231;78,2288;76,6571;67,7307
gaussian_blur;83,2041;0,2612;83,5724;82,9956;83,0444
spatter;87,0148;1,0677;88,1470;87,3138;85,5835
saturate;78,0884;0,7291;78,4454;77,0721;78,7476
blue_noise_sample;86,0229;1,3487;86,9659;86,9873;84,1156
brownish_noise;83,8430;1,5270;85,6384;83,9844;81,9061
caustic_refraction;82,9142;2,5168;85,3119;83,9935;79,4373
checkerboard_cutout;81,0842;1,8276;83,4106;80,8960;78,9459
cocentric_sine_waves;78,6652;3,1249;81,3690;80,3406;74,2859
inverse_sparkles;74,8260;1,3867;76,6235;74,6063;73,2483
perlin_noise;86,6791;0,0500;86,6089;86,7065;86,7218
plasma_noise;75,9878;3,5071;80,2155;76,1200;71,6278
single_frequency_greyscale;70,6309;2,1383;73,1110;70,8893;67,8925
sparkles;87,9588;0,3703;88,4460;87,8815;87,5488
Acc_C-all-19;80,3850;1,9549;82,4842;80,8934;77,7773
Acc_C-original-15;80,3201;2,1076;82,5871;80,8624;77,5108
Acc_C-bar-10;80,8612;1,7343;82,7701;81,2405;78,5730
Acc_all-ex-pixelwise-noise-24;81,1852;1,5675;82,9814;81,4123;79,1620
RMSCE_C;0,0668;0,0078;0,0681;0,0567;0,0756
uniform-l1,16.81,False,max;87,4502;0,2746;87,8113;87,3932;87,1460
uniform-l2,0.18685,False,max;87,4369;0,2877;87,8235;87,3535;87,1338
uniform-linf,0.007843,False,max;87,4247;0,3153;87,8174;87,4115;87,0453
uniform-l0.5,700000.0,True,max;87,2742;0,2930;87,6404;87,2589;86,9232
uniform-l1,125.0,True,max;87,3189;0,3279;87,7472;87,2589;86,9507
uniform-l2,2.0,True,max;87,0575;0,3545;87,4756;87,0880;86,6089
uniform-l10,0.06,True,max;87,1857;0,3601;87,6282;87,1826;86,7462
uniform-l50,0.04,True,max;87,0372;0,3320;87,4573;87,0087;86,6455
uniform-linf,0.01,True,max;87,3576;0,3102;87,7380;87,3566;86,9781
uniform-l0-impulse,0.01,True,max;86,1837;0,6915;86,7310;86,6119;85,2081
uniform-l0-impulse,0.02,True,max;84,5256;1,2319;85,5591;85,2234;82,7942
uniform-l0-impulse,0.05,True,max;80,3792;2,9694;82,9285;81,9946;76,2146
uniform-l0-impulse,0.1,True,max;73,1842;5,6955;79,2725;74,7070;65,5731
uniform-l0-impulse,0.2,True,max;59,5449;6,9503;69,2139;56,2408;53,1799
uniform-l0-impulse,0.5,True,max;50,2248;0,2877;50,6317;50,0214;50,0214
uniform-l0.5,500000.0,False,max;87,3383;0,2943;87,7075;87,3199;86,9873
uniform-l0.5,1000000.0,False,max;87,1297;0,3653;87,5671;87,1490;86,6730
uniform-l0.5,2000000.0,False,max;86,2295;0,6157;86,9293;86,3281;85,4309
uniform-l0.5,5000000.0,False,max;80,4901;2,0473;82,2815;81,5643;77,6245
uniform-l0.5,10000000.0,False,max;71,3664;5,4987;76,6449;73,6725;63,7817
uniform-l0.5,20000000.0,False,max;59,6436;6,9929;69,1010;57,4188;52,4109
uniform-l1,100.0,False,max;87,2803;0,3115;87,6404;87,3199;86,8805
uniform-l1,200.0,False,max;86,8479;0,3565;87,2772;86,8622;86,4044
uniform-l1,500.0,False,max;83,8776;0,9787;84,8572;84,2346;82,5409
uniform-l1,1000.0,False,max;75,2289;3,6120;78,3478;77,1729;70,1660
uniform-l1,2000.0,False,max;62,4674;7,0282;71,2372;62,1338;54,0314
uniform-l1,5000.0,False,max;50,3937;0,5157;51,1230;50,0275;50,0305
uniform-l2,1.0,False,max;87,3759;0,2884;87,7411;87,3505;87,0361
uniform-l2,2.0,False,max;87,1663;0,3513;87,5488;87,2498;86,7004
uniform-l2,5.0,False,max;85,2529;0,7301;86,0565;85,4126;84,2896
uniform-l2,10.0,False,max;78,6021;2,4642;80,7007;79,9622;75,1434
uniform-l2,20.0,False,max;65,6281;6,7506;73,1079;67,0258;56,7505
uniform-l2,50.0,False,max;50,4964;0,6718;51,4465;50,0214;50,0214
uniform-l10,0.05,False,max;87,2253;0,3294;87,6160;87,2498;86,8103
uniform-l10,0.1,False,max;86,7004;0,4584;87,1948;86,8164;86,0901
uniform-l10,0.2,False,max;84,0291;0,9542;84,9609;84,4086;82,7179
uniform-l10,0.5,False,max;70,4854;5,2820;75,5829;72,6654;63,2080
uniform-l10,1.0,False,max;55,4159;5,3518;62,9242;52,4872;50,8362
uniform-l10,2.0,False,max;50,0254;0,0058;50,0336;50,0214;50,0214
uniform-l50,0.02,False,max;87,3535;0,3520;87,7991;87,3230;86,9385
uniform-l50,0.05,False,max;86,7655;0,4355;87,2498;86,8530;86,1938
uniform-l50,0.1,False,max;84,5042;0,9281;85,4065;84,8785;83,2275
uniform-l50,0.2,False,max;76,1780;3,1566;78,9185;77,8595;71,7560
uniform-l50,0.5,False,max;56,8247;6,1105;65,2985;54,0558;51,1200
uniform-l50,1.0,False,max;50,0285;0,0101;50,0427;50,0214;50,0214
uniform-linf,0.01,False,max;87,4074;0,3259;87,8296;87,3566;87,0361
uniform-linf,0.02,False,max;87,3016;0,3115;87,6862;87,2955;86,9232
uniform-linf,0.05,False,max;86,5082;0,4924;87,0819;86,5631;85,8795
uniform-linf,0.1,False,max;83,6639;1,0858;84,7809;84,0179;82,1930
uniform-linf,0.2,False,max;74,1150;4,0230;77,6855;76,1658;68,4937
uniform-linf,0.5,False,max;54,3549;4,7867;61,1084;51,3794;50,5768
Class Separation Robustness;87,4373;0,2917;87,8174;87,3861;87,1084
imperceptible Robustness;87,2052;0,3290;87,6144;87,1923;86,8088
Average p-norm robustness;75,1368;2,0905;77,6393;75,2486;72,5223
