;config_338_avg
Standard_Acc;85,4065
RMSCE;0,0836
gaussian_noise;85,4218
shot_noise;85,4736
impulse_noise;84,7290
defocus_blur;82,0862
glass_blur;64,8010
motion_blur;84,6008
zoom_blur;80,6061
snow;71,2250
frost;71,2219
fog;83,5205
brightness;73,9136
contrast;64,9750
elastic_transform;84,2712
pixelate;83,5205
jpeg_compression;85,2386
speckle_noise;85,4065
gaussian_blur;66,2354
spatter;85,1624
saturate;67,4377
blue_noise_sample;83,7677
brownish_noise;77,0111
caustic_refraction;80,8807
checkerboard_cutout;82,3425
cocentric_sine_waves;77,8412
inverse_sparkles;71,7529
perlin_noise;87,1826
plasma_noise;62,6892
single_frequency_greyscale;70,9442
sparkles;85,4889
Acc_C-all-19;78,4130
Acc_C-original-15;79,0403
Acc_C-bar-10;77,9901
Acc_all-ex-pixelwise-noise-24;76,8729
RMSCE_C;0,1021
uniform-l1,16.81,False,max;85,3729
uniform-l2,0.18685,False,max;85,3485
uniform-linf,0.007843,False,max;85,3729
uniform-l0.5,700000.0,True,max;85,4004
uniform-l1,125.0,True,max;85,3973
uniform-l2,2.0,True,max;85,3241
uniform-l10,0.06,True,max;85,3729
uniform-l50,0.04,True,max;85,4279
uniform-linf,0.01,True,max;85,4065
uniform-l0-impulse,0.01,True,max;84,9243
uniform-l0-impulse,0.02,True,max;84,4177
uniform-l0-impulse,0.05,True,max;83,4656
uniform-l0-impulse,0.1,True,max;82,8339
uniform-l0-impulse,0.2,True,max;81,2836
uniform-l0-impulse,0.5,True,max;70,5688
uniform-l0.5,500000.0,False,max;85,4034
uniform-l0.5,1000000.0,False,max;85,3973
uniform-l0.5,2000000.0,False,max;85,3027
uniform-l0.5,5000000.0,False,max;84,6924
uniform-l0.5,10000000.0,False,max;83,7555
uniform-l0.5,20000000.0,False,max;82,0648
uniform-l1,100.0,False,max;85,3638
uniform-l1,200.0,False,max;85,3912
uniform-l1,500.0,False,max;85,2448
uniform-l1,1000.0,False,max;84,3079
uniform-l1,2000.0,False,max;82,7484
uniform-l1,5000.0,False,max;71,6553
uniform-l2,1.0,False,max;85,3607
uniform-l2,2.0,False,max;85,3149
uniform-l2,5.0,False,max;85,3058
uniform-l2,10.0,False,max;84,7137
uniform-l2,20.0,False,max;83,5114
uniform-l2,50.0,False,max;71,9513
uniform-l10,0.05,False,max;85,3302
uniform-l10,0.1,False,max;85,4340
uniform-l10,0.2,False,max;85,3333
uniform-l10,0.5,False,max;83,9691
uniform-l10,1.0,False,max;80,1178
uniform-l10,2.0,False,max;56,7474
uniform-l50,0.02,False,max;85,3912
uniform-l50,0.05,False,max;85,3668
uniform-l50,0.1,False,max;85,2325
uniform-l50,0.2,False,max;84,5398
uniform-l50,0.5,False,max;80,9235
uniform-l50,1.0,False,max;58,1299
uniform-linf,0.01,False,max;85,3271
uniform-linf,0.02,False,max;85,4095
uniform-linf,0.05,False,max;85,4218
uniform-linf,0.1,False,max;85,2448
uniform-linf,0.2,False,max;84,6375
uniform-linf,0.5,False,max;79,2908
Class Separation Robustness;85,3648
imperceptible Robustness;85,3882
Average p-norm robustness;82,0673
