;Train-Train;Train-Test;Test-Test
non-zero images;294912,000000;32768,000000;32768,000000
Mean Distance;20,456316;20,582411;21,829142
Minimal Distance;0,373696;0,577914;0,577914
2th;0,373696;0,648014;0,577914
3th;0,413399;0,656994;0,707107
4th;0,413399;0,664384;0,720785
5th;0,450694;0,695971;0,746083
6th;0,456079;0,697372;0,784369
7th;0,456079;0,708486;0,823246
8th;0,464565;0,740829;0,847791
9th;0,465615;0,765466;0,860369
10th;0,465615;0,765466;0,880563
11th;0,484123;0,768013;0,940620
12th;0,496078;0,778119;0,960143
13th;0,496078;0,780625;0,972272
14th;0,507752;0,781875;0,982265
15th;0,508713;0,785613;1,026028
16th;0,508713;0,789333;1,031723
17th;0,514440;0,790569;1,056047
18th;0,522913;0,807678;1,133647
19th;0,522913;0,818488;1,133647
20th;0,531250;0,825615;1,144791
21th;0,532168;0,832682;1,148198
22th;0,534000;0,835024;1,156672
23th;0,534000;0,836193;1,162567
24th;0,542167;0,836193;1,198143
25th;0,542167;0,842012;1,213531
26th;0,544862;0,845484;1,218349
27th;0,546652;0,850092;1,236647
28th;0,548435;0,860369;1,259340
29th;0,548435;0,875000;1,278580
30th;0,550213;0,878342;1,280869
31th;0,551985;0,884988;1,283154
32th;0,551985;0,887192;1,286195
33th;0,553751;0,890488;1,289228
34th;0,557267;0,899218;1,296781
35th;0,559017;0,903552;1,298286
36th;0,564233;0,904632;1,303541
37th;0,568544;0,916430;1,309520
38th;0,568544;0,917495;1,313987
39th;0,572822;0,919090;1,316215
40th;0,572822;0,924916;1,316957
41th;0,572822;0,924916;1,317698
42th;0,573674;0,956066;1,319919
43th;0,574524;0,964203;1,330971
44th;0,574524;0,966227;1,334635
45th;0,575374;0,981270;1,367165
46th;0,576222;0,985243;1,368593
47th;0,579601;0,986233;1,377129
48th;0,579601;0,991172;1,395445
49th;0,584634;0,991172;1,398241
50th;0,587965;0,992157;1,403817
51th;0,587965;0,993141;1,404513
52th;0,588795;0,995105;1,427957
53th;0,588795;1,009718;1,432737
54th;0,592927;1,023169;1,433418
55th;0,594572;1,036445;1,437500
56th;0,599479;1,041146;1,461752
57th;0,599479;1,063419;1,480999
58th;0,601106;1,075291;1,490202
59th;0,602728;1,085235;1,511027
60th;0,604346;1,089725;1,524539
61th;0,608373;1,090621;1,532844
62th;0,609175;1,094196;1,532844
63th;0,609175;1,098650;1,550580
64th;0,610776;1,106621;1,567492
65th;0,612372;1,110145;1,574950
66th;0,613169;1,118907;1,584840
67th;0,613169;1,131923;1,593444
68th;0,615554;1,171771;1,601391
69th;0,615554;1,171771;1,633392
70th;0,616346;1,180076;1,665364
71th;0,621867;1,193243;1,689235
72th;0,631992;1,219951;1,691546
73th;0,634306;1,245304;1,717898
74th;0,634306;1,249218;1,718466
75th;0,637377;1,250781;1,720737
76th;0,637377;1,274755;1,734305
77th;0,640434;1,282393;1,759461
78th;0,644993;1,303541;1,785357
79th;0,649519;1,307281;1,815730
80th;0,649519;1,311756;1,847718
81th;0,651021;1,328768;1,852469
82th;0,651021;1,341204;1,866648
83th;0,652519;1,349190;1,923335
84th;0,653267;1,356408;1,966517
85th;0,654760;1,360003;2,042517
86th;0,656994;1,361439;2,058709
87th;0,660699;1,365736;2,060605
88th;0,661438;1,377838;2,068174
89th;0,661438;1,379255;2,068174
90th;0,661438;1,389132;2,098874
