;config_103_avg;config_103_std;config_103_run_0;config_103_run_1;config_103_run_2
Standard_Acc;99,8917;0,0165;99,8700;99,8950;99,9100
RMSCE;0,0795;0,0069;0,0889;0,0724;0,0772
gaussian_noise;39,4506;1,2593;41,1515;39,0574;38,1428
shot_noise;45,0447;2,0126;47,4686;45,1247;42,5409
impulse_noise;32,8619;1,6855;35,2441;31,6008;31,7407
defocus_blur;34,8293;0,7470;35,5490;33,7998;35,1392
glass_blur;54,8770;0,5351;54,4355;55,6300;54,5654
motion_blur;58,9268;0,5387;58,9135;58,2738;59,5932
zoom_blur;96,5482;0,1603;96,7565;96,5216;96,3666
snow;21,5153;0,1590;21,3054;21,5503;21,6902
frost;31,1976;0,9206;31,2359;30,0515;32,3055
fog;62,5868;1,0010;63,0466;61,1975;63,5164
brightness;99,4969;0,0805;99,4303;99,6102;99,4502
contrast;98,5290;0,0533;98,4607;98,5906;98,5357
elastic_transform;84,4303;0,4075;84,0222;84,2821;84,9868
pixelate;87,9354;0,8937;89,1349;86,9909;87,6805
jpeg_compression;66,0436;1,8654;68,6791;64,8258;64,6259
speckle_noise;67,6196;3,7375;71,3229;69,0339;62,5019
gaussian_blur;41,2481;1,5084;42,0361;39,1374;42,5708
spatter;32,3388;1,3301;31,7757;31,0660;34,1746
saturate;99,8334;0,0125;99,8201;99,8501;99,8301
blue_noise_sample;50,3450;3,4743;53,7800;51,6700;45,5850
brownish_noise;83,3933;0,7310;84,4200;82,9850;82,7750
caustic_refraction;19,0933;1,9311;18,9650;21,5200;16,7950
checkerboard_cutout;16,8817;0,6737;17,7950;16,6600;16,1900
cocentric_sine_waves;16,2067;0,3351;15,7450;16,3450;16,5300
inverse_sparkles;22,3117;1,3657;23,9750;20,6300;22,3300
perlin_noise;33,8367;0,7961;34,9050;32,9950;33,6100
plasma_noise;33,6167;3,7793;38,3050;33,4950;29,0500
single_frequency_greyscale;31,7733;1,4618;33,5450;29,9650;31,8100
sparkles;62,5500;1,0896;62,7950;61,1100;63,7450
Acc_C-all-19;60,8060;0,5447;61,5678;60,3260;60,5241
Acc_C-original-15;60,9516;0,5083;61,6556;60,4738;60,7253
Acc_C-bar-10;37,0008;1,0700;38,4230;36,7375;35,8420
Acc_all-ex-pixelwise-noise-24;53,7500;0,4799;54,3771;53,2118;53,6611
RMSCE_C;0,1483;0,0040;0,1489;0,1430;0,1528
uniform-l1,13.27,False,max;99,8917;0,0165;99,8700;99,8950;99,9100
uniform-l2,0.419,False,max;99,8917;0,0193;99,8650;99,9000;99,9100
uniform-linf,0.0332,False,max;97,2967;0,5424;98,0600;96,8500;96,9800
