time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
170,6649;10,2500;2,3116;9,5600;2,3089;9,5600
339,5788;12,0162;2,3481;10,2000;2,3828;10,2000
510,1321;17,6425;2,2528;18,0600;2,0618;18,0600
681,0470;30,9213;1,9554;19,0800;2,1651;19,0800
853,2677;45,0787;1,7013;69,9850;0,9734;69,9850
1023,9422;57,6613;1,4596;75,9400;0,8824;75,9400
1195,7731;66,1700;1,2870;80,6200;0,8186;80,6200
1366,0029;70,9325;1,1822;78,6800;0,7869;78,6800
1536,8760;74,3287;1,1061;86,9200;0,6098;86,9200
1709,7931;76,1437;1,0612;94,1400;0,4151;94,1400
1884,9130;77,8988;1,0242;93,8450;0,3961;93,8450
2058,4450;79,1700;0,9965;93,1500;0,4685;93,1500
2230,9895;79,7387;0,9803;94,2950;0,4165;94,2950
2403,3868;80,9525;0,9574;95,2550;0,4610;95,2550
2575,2927;81,3287;0,9464;97,2000;0,3584;97,2000
2745,9918;81,9663;0,9310;97,6550;0,3388;97,6550
2916,6360;82,4163;0,9228;93,8550;0,4351;93,8550
3090,2825;82,8337;0,9130;97,7850;0,3516;97,7850
3263,4228;82,9400;0,9099;94,6150;0,4602;94,6150
3435,7384;83,4200;0,9010;98,1500;0,3096;98,1500
3608,4649;83,8287;0,8913;98,4200;0,3352;98,4200
3782,3976;84,2175;0,8829;96,7950;0,3727;96,7950
3953,3627;84,4950;0,8760;98,7300;0,3148;98,7300
4124,9886;84,7163;0,8710;98,3250;0,3334;98,3250
4297,4997;84,9338;0,8672;98,5550;0,3345;98,5550
4471,2943;85,1112;0,8599;98,3100;0,3177;98,3100
4644,5001;85,3625;0,8571;99,1300;0,3169;99,1300
4813,8903;85,7175;0,8473;99,4100;0,3222;99,4100
4988,2712;86,1450;0,8399;99,3350;0,3040;99,3350
5160,0394;86,0700;0,8409;99,1850;0,3107;99,1850
5334,8320;86,6550;0,8292;99,6200;0,3011;99,6200
5508,8525;86,7812;0,8247;99,3600;0,3270;99,3600
5682,6105;87,2025;0,8177;99,5050;0,2962;99,5050
5856,9114;87,2562;0,8151;99,6350;0,2971;99,6350
6027,3669;87,4338;0,8103;99,7100;0,3010;99,7100
6200,8025;87,7725;0,8020;99,7050;0,3239;99,7050
6374,0166;87,9338;0,8002;99,8400;0,2919;99,8400
6545,5755;88,1300;0,7940;99,8550;0,2996;99,8550
6718,0683;88,4500;0,7867;99,7950;0,2993;99,7950
6890,2425;88,4500;0,7858;99,8550;0,2907;99,8550
7062,1513;88,9663;0,7763;99,8300;0,2993;99,8300
7250,4060;89,1488;0,7721;99,9350;0,2895;99,9350
7437,5252;89,1650;0,7708;99,9300;0,2939;99,9250
7623,1940;88,9100;0,7769;99,9200;0,2917;99,9100
7808,3294;88,9912;0,7747;99,9300;0,2904;99,7850
7994,3326;88,9675;0,7758;99,9450;0,2887;99,8700
8181,2315;89,0100;0,7737;99,9550;0,2894;99,8750
8369,8126;89,1988;0,7696;99,8800;0,2909;99,8400
8556,3781;89,0700;0,7730;99,9050;0,3033;99,6000
8741,2539;89,0800;0,7723;99,9550;0,2921;99,8200
