time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
530,7195;10,6829;2,3134;11,5800;2,2960;10,7931;11,5800;10,7931
840,2168;12,1357;2,3497;11,0600;2,2918;10,8966;11,0600;10,8966
1390,6282;16,5600;2,2961;9,9800;2,3757;8,9310;9,9800;8,9310
1927,2726;29,2671;1,9832;53,6200;1,2993;21,3966;53,6200;21,3966
2220,5588;44,0957;1,7115;57,0700;1,5414;20,2241;57,0700;20,2241
2827,8430;55,1157;1,5057;76,3400;0,7968;29,3276;76,3400;29,3276
3175,7379;62,3971;1,3528;78,3300;0,7606;35,3276;78,3300;35,3276
3770,2882;67,3414;1,2456;79,9300;0,7804;30,7414;79,9300;30,7414
4301,0975;70,6129;1,1733;68,4300;1,0396;24,8621;68,4300;24,8621
4726,3462;72,8171;1,1268;23,7800;4,1810;20,5862;23,7800;20,5862
5338,7145;75,2871;1,0797;94,2000;0,4182;45,4828;94,2000;45,4828
5669,5410;76,8286;1,0478;87,4100;0,6259;37,6034;87,4100;37,6034
6129,8676;77,7814;1,0259;93,1200;0,4410;36,3621;93,1200;36,3621
6576,1678;78,7614;1,0050;95,5600;0,3860;47,4310;95,5600;47,4310
6919,4622;80,2086;0,9760;83,3000;0,7201;35,3448;83,3000;35,3448
7468,7663;80,6214;0,9633;96,2300;0,3722;48,3621;96,2300;48,3621
7933,0827;81,3171;0,9449;91,8000;0,5128;37,1552;91,8000;37,1552
8272,7492;81,9800;0,9337;96,0000;0,4100;48,5000;96,0000;48,5000
8713,8687;82,2343;0,9276;91,2000;0,6727;42,6724;91,2000;42,6724
9089,2777;82,5043;0,9192;94,4500;0,4646;43,1379;94,4500;43,1379
9733,1203;83,4443;0,9020;94,4600;0,4136;49,4138;94,4600;49,4138
10282,1588;83,3600;0,8996;94,9800;0,4442;45,3103;94,9800;45,3103
10809,9747;83,8600;0,8889;97,0100;0,3287;45,5172;97,0100;45,5172
11337,3270;84,3100;0,8831;96,3300;0,3796;44,8448;96,3300;44,8448
11891,9710;84,5986;0,8758;96,2300;0,4549;45,0000;96,2300;45,0000
12420,1083;85,1814;0,8642;99,3700;0,2951;49,7759;99,3700;49,7759
12778,5512;85,1057;0,8621;96,3600;0,3913;43,7586;96,3600;43,7586
12915,0611;85,3057;0,8594;97,8700;0,3439;49,0345;97,8700;49,0345
13095,4365;85,6029;0,8508;96,5100;0,5358;44,6552;96,5100;44,6552
13257,4314;85,9914;0,8432;99,2200;0,2931;51,8276;99,2200;51,8276
13430,7719;86,0114;0,8393;99,3300;0,3099;51,8276;99,3300;51,8276
13551,8924;86,2857;0,8358;99,5200;0,2902;50,0690;99,5200;50,0690
13702,1729;86,6471;0,8264;99,5200;0,2851;50,4828;99,5200;50,4828
13821,5913;86,7257;0,8245;98,9000;0,3322;44,7759;98,9000;44,7759
14006,9505;87,2971;0,8138;99,7000;0,3078;53,2069;99,7000;53,2069
14179,7898;87,5771;0,8084;99,6500;0,2946;50,2931;99,6500;50,2931
14351,3244;87,7600;0,8008;99,6400;0,3167;49,5345;99,6400;49,5345
14683,7332;87,6071;0,8055;99,7200;0,2936;50,9483;99,7700;51,7586
14846,3198;88,0314;0,7969;99,7000;0,4348;51,0000;99,2300;49,0862
14967,3873;87,8871;0,8012;99,8100;0,3017;52,4828;99,5500;46,9138
15112,4477;88,1714;0,7937;99,6100;0,2871;52,8793;99,6200;44,5172
15257,0471;88,1429;0,7933;99,7600;0,3102;50,9828;72,0100;36,7586
15391,6991;87,8357;0,8009;99,7300;0,2989;52,1552;99,1500;42,5517
15534,6599;88,1457;0,7920;99,7600;0,3186;47,5000;99,2500;38,5172
15671,2267;88,2271;0,7918;99,7400;0,2924;52,8966;36,8800;26,3966
15793,8014;88,3557;0,7899;99,6900;0,2954;50,5345;90,3200;36,8966
15934,7099;88,1943;0,7925;99,5700;0,3070;51,4655;14,9800;22,0000
16086,8409;88,4014;0,7898;99,3800;0,3217;52,6897;96,2300;31,9655
16226,0023;88,0514;0,7940;99,4800;0,3121;49,8793;89,3500;28,3276
16469,4116;88,3914;0,7883;99,7500;0,2948;53,5862;20,6900;16,2931
