;config_98_avg
Standard_Acc;99,8150
RMSCE;0,2476
gaussian_noise;91,9636
shot_noise;93,8927
impulse_noise;93,6978
defocus_blur;40,5867
glass_blur;59,4433
motion_blur;55,9048
zoom_blur;97,6611
snow;23,4045
frost;41,8712
fog;54,4905
brightness;99,1054
contrast;90,6342
elastic_transform;86,1962
pixelate;94,5275
jpeg_compression;82,7528
speckle_noise;98,2108
gaussian_blur;48,0034
spatter;39,2124
saturate;99,7851
blue_noise_sample;83,2400
brownish_noise;83,7800
caustic_refraction;25,5550
checkerboard_cutout;16,3100
cocentric_sine_waves;18,2900
inverse_sparkles;22,3300
perlin_noise;45,6950
plasma_noise;34,6950
single_frequency_greyscale;48,9650
sparkles;44,1550
Acc_C-all-19;73,2286
Acc_C-original-15;73,7421
Acc_C-bar-10;42,3015
Acc_all-ex-pixelwise-noise-24;56,3897
RMSCE_C;0,1911
uniform-l1,13.27,False,max;99,8200
uniform-l2,0.419,False,max;99,8200
uniform-linf,0.0332,False,max;99,7200
uniform-l0.5,200000000.0,True,max;99,7100
uniform-l1,2500.0,True,max;99,7300
uniform-l2,8.0,True,max;99,7550
uniform-l10,0.07,True,max;99,7600
uniform-l50,0.035,True,max;99,7150
uniform-linf,0.015,True,max;99,7650
uniform-l0-impulse,0.01,True,max;99,4750
uniform-l0-impulse,0.02,True,max;99,0500
uniform-l0-impulse,0.05,True,max;98,0350
uniform-l0-impulse,0.1,True,max;96,0000
uniform-l0-impulse,0.2,True,max;90,8050
uniform-l0-impulse,0.5,True,max;72,8800
uniform-l0.5,200000000.0,False,max;99,7050
uniform-l0.5,500000000.0,False,max;99,4100
uniform-l0.5,1000000000.0,False,max;98,3800
uniform-l0.5,2000000000.0,False,max;95,4300
uniform-l0.5,5000000000.0,False,max;83,7200
uniform-l0.5,10000000000.0,False,max;65,3250
uniform-l1,1000.0,False,max;99,7900
uniform-l1,5000.0,False,max;99,4550
uniform-l1,10000.0,False,max;98,6550
uniform-l1,20000.0,False,max;95,4500
uniform-l1,50000.0,False,max;78,7850
uniform-l1,100000.0,False,max;49,7250
uniform-l2,5.0,False,max;99,7700
uniform-l2,10.0,False,max;99,7000
uniform-l2,20.0,False,max;99,4650
uniform-l2,50.0,False,max;97,3750
uniform-l2,100.0,False,max;89,6700
uniform-l2,200.0,False,max;64,9200
uniform-l10,0.05,False,max;99,7900
uniform-l10,0.1,False,max;99,7600
uniform-l10,0.2,False,max;99,5500
uniform-l10,0.5,False,max;98,1200
uniform-l10,1.0,False,max;91,5800
uniform-l10,2.0,False,max;65,3650
uniform-l50,0.02,False,max;99,8000
uniform-l50,0.05,False,max;99,7250
uniform-l50,0.1,False,max;99,4500
uniform-l50,0.2,False,max;98,5200
uniform-l50,0.5,False,max;88,5100
uniform-l50,1.0,False,max;54,7450
uniform-linf,0.02,False,max;99,7750
uniform-linf,0.05,False,max;99,6550
uniform-linf,0.1,False,max;99,4000
uniform-linf,0.2,False,max;97,9000
uniform-linf,0.5,False,max;83,5750
uniform-linf,1.0,False,max;45,5600
Class Separation Robustness;99,7867
imperceptible Robustness;99,7392
Average p-norm robustness;90,2799
