;config_109_avg
Standard_Acc;72,6500
RMSCE;0,0129
gaussian_noise;34,2380
shot_noise;37,7000
impulse_noise;37,6720
defocus_blur;47,3360
glass_blur;36,5800
motion_blur;53,4540
zoom_blur;50,0240
snow;47,9120
frost;50,5060
fog;54,9920
brightness;61,5980
contrast;41,2240
elastic_transform;55,7140
pixelate;58,2880
jpeg_compression;58,0140
speckle_noise;30,3580
gaussian_blur;50,1320
spatter;50,6420
saturate;55,2820
blue_noise_sample;55,4200
brownish_noise;56,9940
caustic_refraction;36,6980
checkerboard_cutout;47,6120
cocentric_sine_waves;31,5620
inverse_sparkles;28,8340
perlin_noise;59,7660
plasma_noise;31,7600
single_frequency_greyscale;29,4500
sparkles;63,6180
Acc_C-all-19;47,9824
Acc_C-original-15;48,3501
Acc_C-bar-10;44,1714
Acc_all-ex-pixelwise-noise-24;48,2497
RMSCE_C;0,0983
uniform-l1,130.9,False,max;71,5100
uniform-l2,2.611,False,max;70,2100
uniform-linf,0.1303,False,max;59,8100
uniform-l0.5,700000.0,True,max;71,7800
uniform-l1,125.0,True,max;71,6300
uniform-l2,2.0,True,max;71,3600
uniform-l10,0.06,True,max;71,4100
uniform-l50,0.04,True,max;70,5400
uniform-linf,0.01,True,max;72,2100
uniform-l0-impulse,0.01,True,max;68,8000
uniform-l0-impulse,0.02,True,max;65,0500
uniform-l0-impulse,0.05,True,max;55,9000
uniform-l0-impulse,0.1,True,max;39,7800
uniform-l0-impulse,0.2,True,max;17,2500
uniform-l0-impulse,0.5,True,max;1,3600
uniform-l0.5,500000.0,False,max;72,2800
uniform-l0.5,1000000.0,False,max;71,0900
uniform-l0.5,2000000.0,False,max;68,5600
uniform-l0.5,5000000.0,False,max;60,4600
uniform-l0.5,10000000.0,False,max;44,7400
uniform-l0.5,20000000.0,False,max;20,1400
uniform-l1,100.0,False,max;71,8300
uniform-l1,200.0,False,max;70,2200
uniform-l1,500.0,False,max;64,5800
uniform-l1,1000.0,False,max;52,2600
uniform-l1,2000.0,False,max;27,3900
uniform-l1,5000.0,False,max;2,3600
uniform-l2,1.0,False,max;72,3800
uniform-l2,2.0,False,max;70,8900
uniform-l2,5.0,False,max;66,1500
uniform-l2,10.0,False,max;56,7700
uniform-l2,20.0,False,max;34,8800
uniform-l2,50.0,False,max;2,7200
uniform-l10,0.05,False,max;71,5800
uniform-l10,0.1,False,max;69,2700
uniform-l10,0.2,False,max;64,1400
uniform-l10,0.5,False,max;44,2900
uniform-l10,1.0,False,max;13,3600
uniform-l10,2.0,False,max;1,0300
uniform-l50,0.02,False,max;72,1200
uniform-l50,0.05,False,max;69,7600
uniform-l50,0.1,False,max;64,8700
uniform-l50,0.2,False,max;53,2800
uniform-l50,0.5,False,max;16,3400
uniform-l50,1.0,False,max;0,9500
uniform-linf,0.01,False,max;72,3800
uniform-linf,0.02,False,max;72,0900
uniform-linf,0.05,False,max;69,0700
uniform-linf,0.1,False,max;63,3900
uniform-linf,0.2,False,max;50,0700
uniform-linf,0.5,False,max;11,2300
Class Separation Robustness;67,1767
imperceptible Robustness;71,4883
Average p-norm robustness;48,9776
