;config_784_avg;config_784_std;config_784_run_0;config_784_run_1;config_784_run_2
Standard_Acc;66,8900;0,1608;67,1100;66,7300;66,8300
RMSCE;0,0540;0,0065;0,0630;0,0480;0,0510
gaussian_noise;22,4780;1,0582;23,5560;22,8380;21,0400
shot_noise;27,5320;1,1779;28,9220;27,6320;26,0420
impulse_noise;26,2300;0,5504;26,8460;26,3340;25,5100
defocus_blur;35,7587;0,2320;36,0760;35,6720;35,5280
glass_blur;30,6687;1,6415;32,1840;31,4340;28,3880
motion_blur;43,6107;0,6393;43,6560;44,3700;42,8060
zoom_blur;40,0827;0,2799;39,9240;40,4760;39,8480
snow;42,3040;0,8316;43,0520;42,7160;41,1440
frost;44,0807;1,1207;44,8520;44,8940;42,4960
fog;48,3287;0,8124;48,3200;49,3280;47,3380
brightness;50,1327;0,4491;50,6300;50,2260;49,5420
contrast;34,6813;1,5072;35,7260;35,7680;32,5500
elastic_transform;47,2613;1,0051;47,8760;48,0640;45,8440
pixelate;51,1133;0,5058;50,4160;51,3240;51,6000
jpeg_compression;49,7740;0,7398;50,4060;50,1800;48,7360
speckle_noise;21,7507;1,2867;23,4820;21,3700;20,4000
gaussian_blur;37,9847;0,1412;38,1460;38,0060;37,8020
spatter;41,3913;1,0068;42,1360;42,0700;39,9680
saturate;45,4767;0,4085;45,8400;45,6840;44,9060
blue_noise_sample;40,6693;0,6384;41,5460;40,4180;40,0440
brownish_noise;47,0260;0,3743;47,4040;47,1580;46,5160
caustic_refraction;30,2313;1,4247;31,5120;30,9380;28,2440
checkerboard_cutout;40,1920;0,3862;39,7160;40,6620;40,1980
cocentric_sine_waves;25,7793;0,2674;25,8340;26,0760;25,4280
inverse_sparkles;27,7060;0,1348;27,6640;27,8880;27,5660
perlin_noise;52,6160;1,4467;53,6440;53,6340;50,5700
plasma_noise;24,4773;0,4949;24,2860;25,1560;23,9900
single_frequency_greyscale;22,7853;0,2437;22,8040;23,0740;22,4780
sparkles;58,4873;0,3155;58,9160;58,1660;58,3800
Acc_C-all-19;38,9811;0,7171;39,5814;39,3887;37,9731
Acc_C-original-15;39,6024;0,7373;40,1628;40,0837;38,5608
Acc_C-bar-10;36,9970;0,4636;37,3326;37,3170;36,3414
Acc_all-ex-pixelwise-noise-24;40,4979;0,5927;40,8758;40,9568;39,6611
RMSCE_C;0,1646;0,0074;0,1724;0,1547;0,1668
uniform-l1,130.9,True,max;66,2033;0,2691;66,5600;66,1400;65,9100
uniform-l2,2.611,True,max;65,1900;0,4391;65,8100;64,8500;64,9100
uniform-linf,0.1303,True,max;30,2667;0,6373;30,5700;30,8500;29,3800
uniform-l0.5,700000.0,True,max;66,3167;0,2800;66,7100;66,0800;66,1600
uniform-l1,125.0,True,max;66,2333;0,2853;66,6200;66,1400;65,9400
uniform-l2,2.0,True,max;65,9233;0,3210;66,3700;65,6300;65,7700
uniform-l10,0.06,True,max;66,1000;0,1930;66,3500;65,8800;66,0700
uniform-l50,0.04,True,max;65,5500;0,3488;66,0000;65,5000;65,1500
uniform-linf,0.01,True,max;66,5133;0,2537;66,8600;66,4200;66,2600
uniform-l0-impulse,0.01,True,max;62,6367;0,2330;62,9600;62,4200;62,5300
uniform-l0-impulse,0.02,True,max;57,3333;0,4383;57,9400;57,1400;56,9200
uniform-l0-impulse,0.05,True,max;40,0033;0,5555;40,6700;40,0300;39,3100
uniform-l0-impulse,0.1,True,max;21,5067;0,2932;21,7800;21,1000;21,6400
uniform-l0-impulse,0.2,True,max;7,5667;0,6014;8,2400;6,7800;7,6800
uniform-l0-impulse,0.5,True,max;1,1067;0,1517;1,2600;0,9000;1,1600
uniform-l0.5,500000.0,False,max;66,6667;0,1228;66,8400;66,5700;66,5900
uniform-l0.5,1000000.0,False,max;66,0133;0,1826;66,2700;65,9100;65,8600
uniform-l0.5,2000000.0,False,max;63,3133;0,3222;63,5800;63,5000;62,8600
uniform-l0.5,5000000.0,False,max;48,2067;0,8366;48,6200;48,9600;47,0400
uniform-l0.5,10000000.0,False,max;27,1300;0,6860;27,6300;27,6000;26,1600
uniform-l0.5,20000000.0,False,max;9,7900;0,4925;10,2900;9,1200;9,9600
uniform-l1,100.0,False,max;66,4233;0,2696;66,7600;66,1000;66,4100
uniform-l1,200.0,False,max;65,2500;0,3278;65,6700;64,8700;65,2100
uniform-l1,500.0,False,max;56,5033;0,6954;56,9800;57,0100;55,5200
uniform-l1,1000.0,False,max;37,6700;0,9687;38,3600;38,3500;36,3000
uniform-l1,2000.0,False,max;14,2133;0,3866;14,7600;13,9400;13,9400
uniform-l1,5000.0,False,max;1,4067;0,1008;1,5100;1,2700;1,4400
uniform-l2,1.0,False,max;66,5767;0,2876;66,9800;66,3300;66,4200
uniform-l2,2.0,False,max;65,8700;0,2736;66,2100;65,8600;65,5400
uniform-l2,5.0,False,max;60,1100;0,4755;60,6600;60,1700;59,5000
uniform-l2,10.0,False,max;44,2733;0,7237;44,8000;44,7700;43,2500
uniform-l2,20.0,False,max;19,8133;0,3499;20,2900;19,4600;19,6900
uniform-l2,50.0,False,max;1,6467;0,2451;1,9400;1,3400;1,6600
uniform-l10,0.05,False,max;66,2900;0,2858;66,6900;66,1400;66,0400
uniform-l10,0.1,False,max;64,4500;0,3106;64,8400;64,4300;64,0800
