time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
51,0304;1,3160;5,2582;2,7400;5,1271;2,2586;2,7400;2,2586
102,9331;4,9860;4,8764;9,0000;4,3139;4,4690;9,0000;4,4690
155,2790;9,6090;4,5048;11,8900;4,1711;5,6241;11,8900;5,6241
207,3849;14,1610;4,2251;16,8600;3,8310;7,8483;16,8600;7,8483
260,0231;17,9300;4,0332;18,0800;3,7883;8,7724;18,0800;8,7724
312,1772;21,0740;3,8806;17,6900;3,8020;6,4207;17,6900;6,4207
365,0336;24,8090;3,7060;23,7700;3,4440;9,5103;23,7700;9,5103
417,9704;27,7370;3,5736;30,1700;3,0986;13,4103;30,1700;13,4103
469,4405;30,3490;3,4654;33,5100;2,8491;14,1897;33,5100;14,1897
521,5678;32,3740;3,3681;31,3600;3,0454;13,2310;31,3600;13,2310
573,9523;34,1360;3,2999;36,3400;2,7336;12,7690;36,3400;12,7690
625,5098;35,8450;3,2282;38,5200;2,6518;15,2414;38,5200;15,2414
678,5940;37,1730;3,1776;37,5000;2,6780;13,7241;37,5000;13,7241
730,7110;38,3380;3,1254;38,9900;2,6762;17,2655;38,9900;17,2655
783,2413;39,4580;3,0817;38,7900;2,6989;15,7379;38,7900;15,7379
835,2168;40,2350;3,0481;41,4300;2,4970;16,9069;41,4300;16,9069
888,8669;41,3220;3,0086;43,4900;2,3638;19,3862;43,4900;19,3862
940,9572;41,8970;2,9814;44,4200;2,3461;20,6207;44,4200;20,6207
992,8398;42,8000;2,9477;42,1000;2,4780;19,2552;42,1000;19,2552
1045,4008;43,2660;2,9298;44,0000;2,3531;21,8138;44,0000;21,8138
1097,3601;43,9140;2,9085;45,2800;2,2966;19,8000;45,2800;19,8000
1149,8734;44,6210;2,8801;47,2400;2,1875;20,9862;47,2400;20,9862
1202,1537;44,7800;2,8679;42,1600;2,5704;18,7690;42,1600;18,7690
1254,3032;45,5160;2,8466;45,9200;2,2606;19,0793;45,9200;19,0793
1306,7692;45,9890;2,8285;48,0300;2,1739;21,7241;48,0300;21,7241
1358,7016;46,6440;2,8063;46,6500;2,2413;20,9448;46,6500;20,9448
1410,7964;46,9830;2,7955;48,5500;2,1470;21,7828;48,5500;21,7828
1462,9881;47,0690;2,7837;47,0700;2,1980;19,9621;47,0700;19,9621
1515,1123;47,4790;2,7672;49,7200;2,1035;24,7345;49,7200;24,7345
1566,9399;47,8050;2,7551;48,3900;2,1459;23,5517;48,3900;23,5517
1619,1298;47,7960;2,7549;50,9100;2,0113;25,8207;50,9100;25,8207
1671,3636;48,3480;2,7342;51,3200;2,0150;24,0103;51,3200;24,0103
1723,8571;48,3450;2,7304;49,6700;2,0976;21,2138;49,6700;21,2138
1775,8059;48,7180;2,7206;50,2800;2,0856;21,2483;50,2800;21,2483
1828,1088;49,0930;2,7090;50,1700;2,0894;22,6897;50,1700;22,6897
1880,5009;49,3650;2,6947;49,7100;2,0960;24,2724;49,7100;24,2724
1933,0475;49,8700;2,6782;49,5800;2,1009;23,7069;49,5800;23,7069
1985,2785;49,7380;2,6779;49,7000;2,1081;21,0931;49,7000;21,0931
2036,9813;50,1010;2,6709;48,6400;2,1982;24,0103;48,6400;24,0103
2089,2068;49,8610;2,6723;50,8100;2,0561;24,6000;50,8100;24,6000
