time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
94,3743;12,3298;2,8447;13,4208;2,7223;13,2241;13,4208;13,2241
198,1656;13,2229;2,8012;18,8685;2,6537;15,8103;18,8685;15,8103
376,8029;18,2214;2,7935;26,6431;2,4840;18,5000;26,6431;18,5000
489,4891;22,6485;2,7390;26,0807;2,4979;20,6724;26,0807;20,6724
632,9372;26,2600;2,5657;33,8222;2,2065;22,7414;33,8222;22,7414
762,7566;28,3265;2,4754;37,3291;2,0073;25,4655;37,3291;25,4655
876,3959;30,0158;2,4373;32,7636;2,3860;24,5000;32,7636;24,5000
1019,0099;31,2585;2,3958;33,1495;2,4716;24,0172;33,1495;24,0172
1136,8534;31,9214;2,3729;40,1522;1,9432;26,5517;40,1522;26,5517
1231,9034;33,5220;2,3331;38,9060;2,0042;26,8621;38,9060;26,8621
1379,5752;34,3375;2,3128;42,8099;1,8848;30,2586;42,8099;30,2586
1522,6518;35,0004;2,3014;35,4543;2,1590;25,6897;35,4543;25,6897
1641,6245;35,0975;2,2877;42,3136;2,1658;29,7241;42,3136;29,7241
1745,2236;36,3402;2,2606;35,2448;2,2487;26,6207;35,2448;26,6207
1883,5991;36,7285;2,2525;32,5981;2,6217;23,0862;32,5981;23,0862
2019,7750;37,7548;2,2180;43,7142;1,8732;28,4138;43,7142;28,4138
2132,9761;38,3651;2,2026;46,5152;1,6970;30,6724;46,5152;30,6724
2287,0300;40,1598;2,1674;47,5739;1,7436;31,1552;47,5739;31,1552
2438,0238;39,8713;2,1535;42,6555;1,8475;28,9655;42,6555;28,9655
2613,9995;41,0668;2,1328;49,4817;1,6503;30,1207;49,4817;30,1207
2806,8210;41,4746;2,1148;44,1112;1,7621;30,4655;44,1112;30,4655
2945,6875;41,8324;2,1101;47,7724;1,6850;29,2069;47,7724;29,2069
3083,0612;42,0016;2,1017;52,2828;1,5336;32,1379;52,2828;32,1379
3210,6232;42,7478;2,0850;51,3785;1,5980;30,8966;51,3785;30,8966
3367,6264;43,8407;2,0604;47,9819;1,7823;29,6724;47,9819;29,6724
3477,9131;43,6410;2,0605;52,8341;1,4965;29,9138;52,8341;29,9138
3592,0287;43,7269;2,0540;47,4967;1,8862;27,5517;47,4967;27,5517
3745,5424;44,4038;2,0444;47,2982;1,6848;31,7759;47,2982;31,7759
