;config_476_avg
Standard_Acc;78,0730
RMSCE;0,0758
gaussian_noise;58,7794
shot_noise;58,0683
impulse_noise;58,7201
defocus_blur;22,7928
glass_blur;26,0320
motion_blur;36,8754
zoom_blur;35,4335
snow;31,0290
frost;34,8410
fog;51,8270
brightness;59,1349
contrast;28,5799
elastic_transform;70,6103
pixelate;59,2929
jpeg_compression;53,5256
speckle_noise;65,2973
gaussian_blur;21,7855
spatter;41,3786
saturate;43,7883
blue_noise_sample;38,2777
brownish_noise;49,7136
caustic_refraction;63,1641
checkerboard_cutout;44,7758
cocentric_sine_waves;24,3136
inverse_sparkles;35,7693
perlin_noise;55,1057
plasma_noise;22,8916
single_frequency_greyscale;38,5740
sparkles;70,4325
Acc_C-all-19;45,1469
Acc_C-original-15;45,7028
Acc_C-bar-10;44,3018
Acc_all-ex-pixelwise-noise-24;42,5695
RMSCE_C;0,1352
uniform-l1,2614.2,False,max;77,8747
uniform-l2,9.093,False,max;77,6764
uniform-linf,0.10237,False,max;75,5551
uniform-l0.5,200000000.0,True,max;77,6566
uniform-l1,2500.0,True,max;77,6764
uniform-l2,11.0,True,max;77,3989
uniform-l10,0.11,True,max;77,7557
uniform-l50,0.06,True,max;77,9937
uniform-linf,0.03,True,max;77,4980
uniform-l0-impulse,0.01,True,max;76,7843
uniform-l0-impulse,0.02,True,max;74,7026
uniform-l0-impulse,0.05,True,max;68,4576
uniform-l0-impulse,0.1,True,max;60,5274
uniform-l0-impulse,0.2,True,max;51,3283
uniform-l0-impulse,0.5,True,max;34,2387
uniform-l0.5,200000000.0,False,max;77,9540
uniform-l0.5,500000000.0,False,max;75,5353
uniform-l0.5,1000000000.0,False,max;70,3807
uniform-l0.5,2000000000.0,False,max;59,0801
uniform-l0.5,5000000000.0,False,max;45,0634
uniform-l0.5,10000000000.0,False,max;32,6328
uniform-l1,1000.0,False,max;77,9937
uniform-l1,5000.0,False,max;76,7248
uniform-l1,10000.0,False,max;72,2244
uniform-l1,20000.0,False,max;60,2300
uniform-l1,50000.0,False,max;41,1776
uniform-l1,100000.0,False,max;25,0793
uniform-l2,5.0,False,max;77,9540
uniform-l2,10.0,False,max;77,5971
uniform-l2,20.0,False,max;76,0309
uniform-l2,50.0,False,max;67,4068
uniform-l2,100.0,False,max;50,9120
uniform-l2,200.0,False,max;33,6241
uniform-l10,0.05,False,max;77,9144
uniform-l10,0.1,False,max;77,9540
uniform-l10,0.2,False,max;76,9033
uniform-l10,0.5,False,max;71,0944
uniform-l10,1.0,False,max;54,1039
uniform-l10,2.0,False,max;34,8335
uniform-l50,0.02,False,max;77,9342
uniform-l50,0.05,False,max;78,1324
uniform-l50,0.1,False,max;76,2490
uniform-l50,0.2,False,max;71,3323
uniform-l50,0.5,False,max;50,2974
uniform-l50,1.0,False,max;30,0159
uniform-linf,0.02,False,max;77,8549
uniform-linf,0.05,False,max;77,3394
uniform-linf,0.1,False,max;75,5948
uniform-linf,0.2,False,max;69,4885
uniform-linf,0.5,False,max;46,4711
uniform-linf,1.0,False,max;23,1562
Class Separation Robustness;77,0354
imperceptible Robustness;77,6632
Average p-norm robustness;62,1502
