;config_495_avg;config_495_std;config_495_run_0;config_495_run_1;config_495_run_2
Standard_Acc;80,2075;0,2113;80,2339;80,4520;79,9366
RMSCE;0,0384;0,0023;0,0407;0,0392;0,0352
gaussian_noise;27,0788;1,0822;28,5206;26,8023;25,9135
shot_noise;26,7365;1,2861;28,5206;26,1505;25,5382
impulse_noise;24,3136;1,7265;26,1900;24,7284;22,0225
defocus_blur;18,6385;0,6862;18,6846;19,4549;17,7760
glass_blur;21,7723;1,2079;22,5360;22,7138;20,0672
motion_blur;34,8147;1,7451;36,3421;35,7298;32,3721
zoom_blur;31,3846;1,8634;33,2412;32,0758;28,8367
snow;28,7577;0,9485;28,6194;27,6713;29,9822
frost;38,1131;0,5820;38,5345;37,2901;38,5147
fog;47,2974;1,3124;48,3508;48,0940;45,4474
brightness;59,2337;0,1129;59,2337;59,3719;59,0954
contrast;28,6391;0,6135;28,6786;29,3699;27,8689
elastic_transform;70,1824;0,3556;70,5511;70,2943;69,7018
pixelate;59,9447;1,0497;61,3865;59,5299;58,9176
jpeg_compression;52,4458;0,7071;51,6492;53,3676;52,3208
speckle_noise;36,8227;0,2743;37,0729;36,9544;36,4408
gaussian_blur;19,3298;1,2229;19,6524;20,6399;17,6970
spatter;36,9939;0,2343;37,0136;36,6976;37,2704
saturate;37,5337;0,4476;38,1197;37,4482;37,0334
blue_noise_sample;30,0612;0,8229;30,0217;31,0883;29,0737
brownish_noise;47,9163;0,6019;47,4422;48,7656;47,5410
caustic_refraction;61,8145;0,7041;61,9001;62,6309;60,9125
checkerboard_cutout;42,4452;0,8552;42,2082;43,5908;41,5366
cocentric_sine_waves;22,2529;0,8414;22,0620;23,3656;21,3312
inverse_sparkles;29,3041;0,2607;29,0144;29,2514;29,6465
perlin_noise;56,0011;0,7566;55,6982;57,0413;55,2637
plasma_noise;22,1410;1,2935;22,5163;23,5039;20,4029
single_frequency_greyscale;32,6289;0,3792;32,3129;32,4116;33,1622
sparkles;71,4991;1,1336;70,6103;73,0990;70,7881
Acc_C-all-19;36,8438;0,6663;37,5209;37,0729;35,9377
Acc_C-original-15;37,9569;0,7421;38,7359;38,1763;36,9583
Acc_C-bar-10;41,6064;0,6368;41,3786;42,4748;40,9658
Acc_all-ex-pixelwise-noise-24;40,4618;0,5322;40,6816;40,9754;39,7286
RMSCE_C;0,2516;0,0151;0,2338;0,2503;0,2707
uniform-l1,2614.2,False,max;79,5467;0,2233;79,4409;79,8573;79,3418
uniform-l2,9.093,False,max;79,6260;0,0247;79,6590;79,5995;79,6193
uniform-linf,0.10237,False,max;70,7441;0,4927;71,4314;70,3013;70,4996
uniform-l0.5,200000000.0,True,max;79,6590;0,1439;79,5202;79,8573;79,5995
uniform-l1,2500.0,True,max;79,5533;0,3852;79,6392;79,9762;79,0444
uniform-l2,11.0,True,max;79,1039;0,1222;79,0841;79,2625;78,9651
uniform-l10,0.11,True,max;79,7053;0,2024;79,6987;79,9564;79,4607
uniform-l50,0.06,True,max;79,2096;0,1102;79,1634;79,3616;79,1039
uniform-linf,0.03,True,max;79,1237;0,2450;79,0246;79,4607;78,8858
uniform-l0-impulse,0.01,True,max;71,7156;0,6355;72,1649;72,1649;70,8168
uniform-l0-impulse,0.02,True,max;60,2961;1,1074;61,5583;60,4679;58,8620
uniform-l0-impulse,0.05,True,max;31,8398;1,3050;33,3862;31,9389;30,1943
uniform-l0-impulse,0.1,True,max;19,9775;1,5951;21,1935;21,0151;17,7240
uniform-l0-impulse,0.2,True,max;12,8469;2,0037;15,4441;12,5297;10,5670
uniform-l0-impulse,0.5,True,max;9,2321;1,1549;10,8644;8,4655;8,3664
uniform-l0.5,200000000.0,False,max;79,5268;0,2156;79,4607;79,8176;79,3021
uniform-l0.5,500000000.0,False,max;71,9469;0,2845;72,2046;72,0856;71,5504
uniform-l0.5,1000000000.0,False,max;38,3690;1,1852;40,0278;37,7478;37,3315
uniform-l0.5,2000000000.0,False,max;18,7087;1,6217;19,8255;19,8850;16,4155
uniform-l0.5,5000000000.0,False,max;10,6727;2,0895;13,5805;9,6749;8,7629
uniform-l0.5,10000000000.0,False,max;9,1858;0,9928;10,5868;8,5646;8,4060
uniform-l1,1000.0,False,max;80,2075;0,3412;80,0952;80,6701;79,8573
uniform-l1,5000.0,False,max;75,6146;0,1439;75,4758;75,8128;75,5551
uniform-l1,10000.0,False,max;48,0174;0,8643;49,1872;47,1253;47,7399
uniform-l1,20000.0,False,max;19,6934;1,4251;20,8366;20,5591;17,6844
uniform-l1,50000.0,False,max;10,1969;2,0079;13,0254;9,0008;8,5646
uniform-l1,100000.0,False,max;8,6505;0,3090;9,0801;8,5052;8,3664
uniform-l2,5.0,False,max;80,0291;0,3555;79,7581;80,5313;79,7978
uniform-l2,10.0,False,max;79,4872;0,2186;79,4806;79,7581;79,2228
uniform-l2,20.0,False,max;74,2797;0,0799;74,3259;74,3458;74,1673
uniform-l2,50.0,False,max;30,2405;0,8999;31,3045;30,3132;29,1039
uniform-l2,100.0,False,max;13,2038;2,1203;15,6622;13,4615;10,4877
uniform-l2,200.0,False,max;9,4105;1,2561;11,1816;8,6439;8,4060
uniform-l10,0.05,False,max;80,2472;0,2739;80,3331;80,5313;79,8771
uniform-l10,0.1,False,max;79,8440;0,2325;79,9564;80,0555;79,5202
uniform-l10,0.2,False,max;76,9099;0,0920;77,0024;76,9429;76,7843
uniform-l10,0.5,False,max;39,1753;1,2302;40,8406;37,9064;38,7787
uniform-l10,1.0,False,max;15,3912;1,7764;16,8121;16,4750;12,8866
uniform-l10,2.0,False,max;9,4502;1,3654;11,3799;8,5448;8,4259
uniform-l50,0.02,False,max;80,2141;0,1839;80,3132;80,3727;79,9564
uniform-l50,0.05,False,max;79,7317;0,2520;79,6987;80,0555;79,4409
uniform-l50,0.1,False,max;75,0264;0,0654;75,0397;74,9405;75,0991
uniform-l50,0.2,False,max;44,6207;0,9479;45,6780;43,3783;44,8057
uniform-l50,0.5,False,max;13,2038;1,8758;15,2260;13,6796;10,7058
uniform-l50,1.0,False,max;9,2189;0,9898;10,6067;8,6836;8,3664
uniform-linf,0.02,False,max;80,1612;0,2274;80,1348;80,4520;79,8969
uniform-linf,0.05,False,max;79,0642;0,2675;78,8462;79,4409;78,9056
uniform-linf,0.1,False,max;71,6297;0,4218;72,2244;71,2926;71,3719
uniform-linf,0.2,False,max;35,6661;1,0819;37,1927;34,8136;34,9921
uniform-linf,0.5,False,max;11,4195;2,2697;14,4925;10,6860;9,0801
uniform-linf,1.0,False,max;8,6175;0,2632;8,9810;8,5052;8,3664
Class Separation Robustness;76,6389;0,1504;76,8438;76,5860;76,4869
imperceptible Robustness;79,3925;0,1934;79,3550;79,6458;79,1766
Average p-norm robustness;44,1176;0,7789;45,1064;44,0438;43,2027
